experiment_id,horizon,regime_column,model_name,model_type,regime_count,mean_rank,rank_std,best_regime_count,rank_min,rank_max,stable_best_across_observed_regimes
EXP-FC-001,1,combined_regime,bilstm,model,6,8.0,0.0,0,8,8,False
EXP-FC-001,1,combined_regime,ets,model,6,5.333333333333333,0.9428090415820634,0,4,6,False
EXP-FC-001,1,combined_regime,lightgbm,model,6,4.333333333333333,0.4714045207910317,0,4,5,False
EXP-FC-001,1,combined_regime,lstm,model,6,7.0,0.0,0,7,7,False
EXP-FC-001,1,combined_regime,moving_average_rule,baseline,6,3.0,0.0,0,3,3,False
EXP-FC-001,1,combined_regime,persistence,baseline,6,1.0,0.0,6,1,1,True
EXP-FC-001,1,combined_regime,sarimax,model,6,9.0,0.0,0,9,9,False
EXP-FC-001,1,combined_regime,xgboost,model,6,5.333333333333333,0.4714045207910317,0,5,6,False
EXP-FC-001,1,combined_regime,zero_return,baseline,6,2.0,0.0,0,2,2,False
EXP-FC-001,1,trend_regime,bilstm,model,3,8.0,0.0,0,8,8,False
EXP-FC-001,1,trend_regime,ets,model,3,5.333333333333333,0.9428090415820634,0,4,6,False
EXP-FC-001,1,trend_regime,lightgbm,model,3,4.333333333333333,0.4714045207910317,0,4,5,False
EXP-FC-001,1,trend_regime,lstm,model,3,7.0,0.0,0,7,7,False
EXP-FC-001,1,trend_regime,moving_average_rule,baseline,3,3.0,0.0,0,3,3,False
EXP-FC-001,1,trend_regime,persistence,baseline,3,1.0,0.0,3,1,1,True
EXP-FC-001,1,trend_regime,sarimax,model,3,9.0,0.0,0,9,9,False
EXP-FC-001,1,trend_regime,xgboost,model,3,5.333333333333333,0.4714045207910317,0,5,6,False
EXP-FC-001,1,trend_regime,zero_return,baseline,3,2.0,0.0,0,2,2,False
EXP-FC-001,1,volatility_regime,bilstm,model,2,8.0,0.0,0,8,8,False
EXP-FC-001,1,volatility_regime,ets,model,2,5.0,1.0,0,4,6,False
EXP-FC-001,1,volatility_regime,lightgbm,model,2,4.5,0.5,0,4,5,False
EXP-FC-001,1,volatility_regime,lstm,model,2,7.0,0.0,0,7,7,False
EXP-FC-001,1,volatility_regime,moving_average_rule,baseline,2,3.0,0.0,0,3,3,False
EXP-FC-001,1,volatility_regime,persistence,baseline,2,1.0,0.0,2,1,1,True
EXP-FC-001,1,volatility_regime,sarimax,model,2,9.0,0.0,0,9,9,False
EXP-FC-001,1,volatility_regime,xgboost,model,2,5.5,0.5,0,5,6,False
EXP-FC-001,1,volatility_regime,zero_return,baseline,2,2.0,0.0,0,2,2,False
EXP-FC-003,1,combined_regime,ets,model,6,5.333333333333333,0.9428090415820634,0,4,6,False
EXP-FC-003,1,combined_regime,lightgbm,model,6,4.333333333333333,0.4714045207910317,0,4,5,False
EXP-FC-003,1,combined_regime,moving_average_rule,baseline,6,3.0,0.0,0,3,3,False
EXP-FC-003,1,combined_regime,persistence,baseline,6,1.0,0.0,6,1,1,True
EXP-FC-003,1,combined_regime,sarimax,model,6,7.0,0.0,0,7,7,False
EXP-FC-003,1,combined_regime,xgboost,model,6,5.333333333333333,0.4714045207910317,0,5,6,False
EXP-FC-003,1,combined_regime,zero_return,baseline,6,2.0,0.0,0,2,2,False
EXP-FC-003,1,trend_regime,ets,model,3,5.333333333333333,0.9428090415820634,0,4,6,False
EXP-FC-003,1,trend_regime,lightgbm,model,3,4.333333333333333,0.4714045207910317,0,4,5,False
EXP-FC-003,1,trend_regime,moving_average_rule,baseline,3,3.0,0.0,0,3,3,False
EXP-FC-003,1,trend_regime,persistence,baseline,3,1.0,0.0,3,1,1,True
EXP-FC-003,1,trend_regime,sarimax,model,3,7.0,0.0,0,7,7,False
