experiment_id,ticker,horizon,model_name,model_type,regime_column,regime,prediction_count,missing_prediction_rate,mae,rmse,directional_accuracy,error_std,extreme_prediction_flag,baseline_gap_flag,eligible,status,exclusion_reason
EXP-FC-001,ACB,1,bilstm,model,trend_regime,bear,22,0.0,20.558892659382387,20.565200484108146,0.45454545454545453,0.5093167693635519,False,True,True,flagged,baseline_gap_flag
EXP-FC-001,ACB,1,bilstm,model,trend_regime,bull,31,0.0,21.475053266565638,21.481239290812773,0.6451612903225806,0.5154887654707919,False,True,True,flagged,baseline_gap_flag
EXP-FC-001,ACB,1,bilstm,model,trend_regime,sideway,76,0.0,20.836913288129786,20.84291324302664,0.35526315789473684,0.5000770733552197,False,True,True,flagged,baseline_gap_flag
EXP-FC-001,ACB,1,ets,model,trend_regime,bear,22,0.0,0.7748360688402397,0.8322082671932995,0.45454545454545453,0.34462387981912396,False,True,True,flagged,baseline_gap_flag
EXP-FC-001,ACB,1,ets,model,trend_regime,bull,31,0.0,0.5255764045029772,0.5836456963594736,0.41935483870967744,0.5663051655217423,False,True,True,flagged,baseline_gap_flag
EXP-FC-001,ACB,1,ets,model,trend_regime,sideway,76,0.0,0.49553081325538717,0.6071139153168059,0.5921052631578947,0.4952160385421851,False,True,True,flagged,baseline_gap_flag
EXP-FC-001,ACB,1,lightgbm,model,trend_regime,bear,22,0.0,0.9499973098001345,0.981723716597127,0.45454545454545453,0.24756123909405373,False,True,True,flagged,baseline_gap_flag
EXP-FC-001,ACB,1,lightgbm,model,trend_regime,bull,31,0.0,1.6334262211765198,1.7159666639059623,0.6451612903225806,0.5257949900955255,False,True,True,flagged,baseline_gap_flag
EXP-FC-001,ACB,1,lightgbm,model,trend_regime,sideway,76,0.0,1.077720501070738,1.153246127979459,0.35526315789473684,0.4104816113682226,False,True,True,flagged,baseline_gap_flag
EXP-FC-001,ACB,1,lstm,model,trend_regime,bear,22,0.0,20.176023289439353,20.182044999827877,0.45454545454545453,0.49297525199371145,False,True,True,flagged,baseline_gap_flag
EXP-FC-001,ACB,1,lstm,model,trend_regime,bull,31,0.0,21.06057040072256,21.066305186173715,0.6451612903225806,0.49151662557648823,False,True,True,flagged,baseline_gap_flag
EXP-FC-001,ACB,1,lstm,model,trend_regime,sideway,76,0.0,20.460908268137196,20.46675799526256,0.35526315789473684,0.4893012155298002,False,True,True,flagged,baseline_gap_flag
EXP-FC-001,ACB,1,moving_average_rule,baseline,trend_regime,bear,22,0.0,0.22718181818181823,0.28229417280560387,0.4090909090909091,0.2590074028106992,False,False,True,eligible,
