experiment_id,source_experiment_id,policy_id,candidate_type,regime_column,regime,horizon,top_n,average_realized_return,hit_ratio,return_volatility_proxy,max_drawdown,var_95,cvar_95,worst_period_return,candidate_count,missing_outcome_rate,basket_count,small_sample_flag
EXP-RG-002,EXP-RK-001,candidate_policy_forecast_only,forecast_only,trend_regime,bear,1,1,-0.000842463063573178,0.4888888888888889,-0.05071844822697614,-0.09408616603579723,-0.026152072789480518,-0.04569086696248977,-0.0550605666232856,45,0.0,45,False
EXP-RG-002,EXP-RK-001,candidate_policy_forecast_only,forecast_only,trend_regime,bear,3,1,0.001716319635806132,0.5121951219512195,0.059967213712268784,-0.2091287766468104,-0.04721480351011057,-0.06852326626783871,-0.0964005360903694,41,0.0,41,False
EXP-RG-002,EXP-RK-001,candidate_policy_forecast_only,forecast_only,trend_regime,bear,5,1,0.005619257289964636,0.65,0.1636323298555097,-0.295401510508255,-0.05404533931462248,-0.08070155878624476,-0.1044592030360531,40,0.0,40,False
EXP-RG-002,EXP-RK-001,candidate_policy_forecast_only,forecast_only,trend_regime,bull,1,1,-0.004077016809285375,0.25,-0.3548873744026029,-0.1165081537769358,-0.018041768430230552,-0.030653126127519498,-0.0428771166692559,28,0.0,28,False
EXP-RG-002,EXP-RK-001,candidate_policy_forecast_only,forecast_only,trend_regime,bull,3,1,0.006284265074613594,0.6153846153846154,0.3145349327199086,-0.02139831017443694,-0.017008138440356417,-0.0206370569762225,-0.0206370569762225,13,0.0,13,False
EXP-RG-002,EXP-RK-001,candidate_policy_forecast_only,forecast_only,trend_regime,bull,5,1,0.017352423106796893,0.6428571428571429,0.6316110546636423,-0.027495847942424656,-0.02349967161232026,-0.0274958479424246,-0.0274958479424246,14,0.0,14,False
EXP-RG-002,EXP-RK-001,candidate_policy_forecast_only,forecast_only,trend_regime,sideway,1,1,0.001385079191047302,0.46808510638297873,0.10818620377524524,-0.09219827471215625,-0.015436480344267886,-0.022846580499238236,-0.0349380132023828,47,0.0,47,False
EXP-RG-002,EXP-RK-001,candidate_policy_forecast_only,forecast_only,trend_regime,sideway,3,1,0.006962714989016051,0.6379310344827587,0.3177518033057103,-0.1395211549991875,-0.026481818533865106,-0.0295737578219404,-0.0308045977011494,58,0.0,58,False
EXP-RG-002,EXP-RK-001,candidate_policy_forecast_only,forecast_only,trend_regime,sideway,5,1,0.00858364009182723,0.6779661016949152,0.29495474346624645,-0.250727633148184,-0.03782948362432943,-0.053958208341673836,-0.065287356321839,59,0.0,59,False
EXP-RG-002,EXP-RK-001,candidate_policy_risk_aware,risk_aware,trend_regime,bear,1,1,-0.000702068672038032,0.47058823529411764,-0.05102197209603724,-0.06657906185182472,-0.01764961444716257,-0.03326158228731995,-0.0479964773227652,34,0.0,34,False
EXP-RG-002,EXP-RK-001,candidate_policy_risk_aware,risk_aware,trend_regime,bear,3,1,-0.0013810991047087425,0.4,-0.05541962627953168,-0.21694646700350373,-0.04636162239870799,-0.05458463135657335,-0.0619544592030361,40,0.0,40,False
EXP-RG-002,EXP-RK-001,candidate_policy_risk_aware,risk_aware,trend_regime,bear,5,1,0.0076721752585856276,0.5384615384615384,0.2759867703133894,-0.0964872150469751,-0.023635020258017867,-0.03570958205540905,-0.0423467137185707,39,0.0,39,False
EXP-RG-002,EXP-RK-001,candidate_policy_risk_aware,risk_aware,trend_regime,bull,1,1,-0.0037707328629630835,0.3333333333333333,-0.3480002084331455,-0.11550190805257077,-0.017931092100072682,-0.030653126127519498,-0.0428771166692559,30,0.0,30,False
EXP-RG-002,EXP-RK-001,candidate_policy_risk_aware,risk_aware,trend_regime,bull,3,1,-0.007891550899619564,0.25,-0.8182807196007583,-0.04199854079036358,-0.018520187830300617,-0.0206370569762225,-0.0206370569762225,8,0.0,8,False
EXP-RG-002,EXP-RK-001,candidate_policy_risk_aware,risk_aware,trend_regime,bull,5,1,0.0060366329331072045,0.5,0.22758302367748787,-0.08564024455455432,-0.024871344184559,-0.0274958479424246,-0.0274958479424246,16,0.0,16,False
EXP-RG-002,EXP-RK-001,candidate_policy_risk_aware,risk_aware,trend_regime,sideway,1,1,-2.4008186168696745e-05,0.39285714285714285,-0.0015905761203349616,-0.15312591790766383,-0.020336041553889753,-0.0296959931843115,-0.0349380132023828,56,0.0,56,False
EXP-RG-002,EXP-RK-001,candidate_policy_risk_aware,risk_aware,trend_regime,sideway,3,1,0.003001671093557716,0.59375,0.13252362684814117,-0.2423708934763953,-0.030102039675113282,-0.042733955990223026,-0.0592790633354843,64,0.0,64,False
EXP-RG-002,EXP-RK-001,candidate_policy_risk_aware,risk_aware,trend_regime,sideway,5,1,0.003673986501040503,0.5862068965517241,0.10764987903058784,-0.32078448815897587,-0.05506130727390054,-0.0673710666802904,-0.0805890962312476,58,0.0,58,False
EXP-RG-002,EXP-RK-001,candidate_policy_forecast_only,forecast_only,volatility_regime,high_vol,1,1,0.0019073949163064309,0.5,0.10355631675458557,-0.06008111769245972,-0.012502928689872798,-0.0550605666232856,-0.0550605666232856,20,0.0,20,False
EXP-RG-002,EXP-RK-001,candidate_policy_forecast_only,forecast_only,volatility_regime,high_vol,3,1,0.009068026458442145,0.64,0.3598691768109828,-0.07153306018023997,-0.02438289653217085,-0.04379774242203085,-0.0619544592030361,25,0.0,25,False
EXP-RG-002,EXP-RK-001,candidate_policy_forecast_only,forecast_only,volatility_regime,high_vol,5,1,0.010770237470509245,0.625,0.30259834686768794,-0.17340770423960883,-0.03789589251664711,-0.0791759928800269,-0.1044592030360531,32,0.0,32,False
EXP-RG-002,EXP-RK-001,candidate_policy_forecast_only,forecast_only,volatility_regime,low_vol,1,1,-0.0012511648486768889,0.41,-0.09488251468017439,-0.15727897591299445,-0.017400594144502308,-0.0356512599443211,-0.0535133065288148,100,0.0,100,False
EXP-RG-002,EXP-RK-001,candidate_policy_forecast_only,forecast_only,volatility_regime,low_vol,3,1,0.003783923665975924,0.5747126436781609,0.15644623874206132,-0.1852835427006989,-0.029611881763922966,-0.04748052916736763,-0.0964005360903694,87,0.0,87,False
EXP-RG-002,EXP-RK-001,candidate_policy_forecast_only,forecast_only,volatility_regime,low_vol,5,1,0.007771498536484601,0.6790123456790124,0.26745786639079566,-0.2049807511909928,-0.04501110789143229,-0.05487271004772822,-0.065287356321839,81,0.0,81,False
EXP-RG-002,EXP-RK-001,candidate_policy_risk_aware,risk_aware,volatility_regime,high_vol,1,1,0.0034515182311851606,0.4666666666666667,0.2320595518325239,-0.028388249291264267,-0.012083896411925275,-0.0171773444753945,-0.0171773444753945,15,0.0,15,False
EXP-RG-002,EXP-RK-001,candidate_policy_risk_aware,risk_aware,volatility_regime,high_vol,3,1,0.0020663264253179495,0.5,0.08194284663813148,-0.07229883808827031,-0.027456697319126092,-0.0619544592030361,-0.0619544592030361,20,0.0,20,False
EXP-RG-002,EXP-RK-001,candidate_policy_risk_aware,risk_aware,volatility_regime,high_vol,5,1,0.008731419127629904,0.4827586206896552,0.2346993972507448,-0.15483635898737436,-0.045371028649569684,-0.0684129218595161,-0.0805890962312476,29,0.0,29,False
EXP-RG-002,EXP-RK-001,candidate_policy_risk_aware,risk_aware,volatility_regime,low_vol,1,1,-0.0018105671679181908,0.3904761904761905,-0.13347538349685215,-0.24557371919721993,-0.01850717691865638,-0.033081376799471714,-0.0479964773227652,105,0.0,105,False
EXP-RG-002,EXP-RK-001,candidate_policy_risk_aware,risk_aware,volatility_regime,low_vol,3,1,0.00035221793582639743,0.5,0.01562376158720345,-0.29159350732851563,-0.03675758818081043,-0.04942080314939322,-0.0592790633354843,92,0.0,92,False
EXP-RG-002,EXP-RK-001,candidate_policy_risk_aware,risk_aware,volatility_regime,low_vol,5,1,0.0042342979092099605,0.5833333333333334,0.14799541155137746,-0.24584967614930486,-0.04212803999411842,-0.05181504307830265,-0.065287356321839,84,0.0,84,False
EXP-RG-002,EXP-RK-001,candidate_policy_forecast_only,forecast_only,combined_regime,bear_high_vol,1,1,-0.0017803970807459498,0.42857142857142855,-0.10201686902101398,-0.05506056662328562,-0.025942182774108417,-0.0550605666232856,-0.0550605666232856,14,0.0,14,False
EXP-RG-002,EXP-RK-001,candidate_policy_forecast_only,forecast_only,combined_regime,bear_high_vol,3,1,0.007296612973440278,0.5789473684210527,0.2877242100833375,-0.07153306018023997,-0.023610788007380284,-0.0619544592030361,-0.0619544592030361,19,0.0,19,False
