ticker,trend_regime,volatility_regime,combined_regime,observation_count,start_date,end_date,mean_return,mean_realized_volatility
ACB,bear,high_vol,bear_high_vol,23,2023-02-24,2024-08-16,-0.00027885382544495677,0.014811110125867482
ACB,bear,low_vol,bear_low_vol,32,2023-02-28,2024-11-20,-0.0012998587313778655,0.010227168231744754
ACB,bull,high_vol,bull_high_vol,71,2023-02-06,2024-10-17,0.0020312131884906645,0.014710192155174828
ACB,bull,insufficient_history,insufficient_history,9,2023-01-17,2023-02-03,-0.0020572647268595114,0.01637968952136677
ACB,bull,low_vol,bull_low_vol,94,2023-04-03,2024-12-31,0.0028554798184038327,0.008401907106338171
ACB,insufficient_history,insufficient_history,insufficient_history,10,2023-01-03,2023-01-16,0.01090344835000361,
ACB,sideway,high_vol,sideway_high_vol,114,2023-02-14,2024-11-05,-0.000321423715026714,0.013953380247822868
ACB,sideway,low_vol,sideway_low_vol,146,2023-02-16,2024-12-30,0.0007652632881612301,0.009189820410856111
DGC,bear,high_vol,bear_high_vol,60,2023-02-07,2024-08-16,-0.0029675423001613503,0.02484351400104794
DGC,bear,low_vol,bear_low_vol,49,2023-02-10,2024-11-08,-0.002939671770269686,0.013211388427415392
DGC,bull,high_vol,bull_high_vol,118,2023-06-05,2024-08-30,0.007697885714319466,0.0257586669759675
DGC,bull,low_vol,bull_low_vol,97,2023-03-27,2024-12-31,0.0044135048867614225,0.014936856843587325
DGC,insufficient_history,insufficient_history,insufficient_history,10,2023-01-03,2023-01-16,-0.006159948129041011,
DGC,sideway,high_vol,sideway_high_vol,35,2023-08-22,2024-08-28,-0.0038926278316532147,0.024521801044311536
DGC,sideway,insufficient_history,insufficient_history,9,2023-01-17,2023-02-03,0.004838601996574178,0.0196919545220497
DGC,sideway,low_vol,sideway_low_vol,121,2023-02-06,2024-12-12,-0.00012730672063690414,0.012050995260062326
FPT,bear,high_vol,bear_high_vol,45,2023-03-17,2024-08-13,-0.004728493022682684,0.01603120169746505
FPT,bear,low_vol,bear_low_vol,4,2023-02-24,2024-11-07,-0.001848968978918225,0.008472402903948075
FPT,bull,high_vol,bull_high_vol,217,2023-04-03,2024-12-26,0.0044414421733708735,0.014986474177322793
FPT,bull,insufficient_history,insufficient_history,5,2023-01-18,2023-01-31,0.0036492425585033794,0.00726853468545148
FPT,bull,low_vol,bull_low_vol,27,2023-05-18,2024-12-31,0.00296169051337243,0.008162685360175979
FPT,insufficient_history,insufficient_history,insufficient_history,10,2023-01-03,2023-01-16,0.001127766626199711,
FPT,sideway,high_vol,sideway_high_vol,98,2023-02-06,2024-11-28,0.0022426197313464248,0.013254373427850501
FPT,sideway,insufficient_history,insufficient_history,4,2023-01-17,2023-02-03,-0.006537874483353875,0.0082730711671648
FPT,sideway,low_vol,sideway_low_vol,89,2023-02-17,2024-11-25,-0.0003949616299459764,0.007921584608778145
HPG,bear,high_vol,bear_high_vol,56,2023-02-24,2024-08-28,-0.0030193943265172003,0.020081870128822867
HPG,bear,low_vol,bear_low_vol,37,2023-03-20,2024-11-20,-0.008059115143429964,0.012744741808025092
HPG,bull,high_vol,bull_high_vol,48,2023-02-08,2024-12-05,0.0057974496342758615,0.02251418900783803
HPG,bull,insufficient_history,insufficient_history,9,2023-01-17,2023-02-03,0.004998357432605533,0.02258547746826122
HPG,bull,low_vol,bull_low_vol,129,2023-02-06,2024-12-25,0.004176407799327446,0.01395651472769988
HPG,insufficient_history,insufficient_history,insufficient_history,10,2023-01-03,2023-01-16,0.005745472210061522,
HPG,sideway,high_vol,sideway_high_vol,31,2023-02-07,2024-12-06,0.0006537177237433846,0.02229346211731463
HPG,sideway,low_vol,sideway_low_vol,179,2023-03-08,2024-12-31,0.00012582861378834475,0.012146036672493305
MWG,bear,high_vol,bear_high_vol,60,2023-02-22,2024-12-11,-0.006367679502108094,0.02725722298901501
MWG,bear,low_vol,bear_low_vol,73,2023-03-02,2024-12-04,-0.0033869626692871824,0.015076981746041187
MWG,bull,high_vol,bull_high_vol,104,2023-02-06,2024-08-19,0.007630988143435606,0.022683089681715687
MWG,bull,insufficient_history,insufficient_history,7,2023-01-19,2023-02-03,0.0091894118633605,0.01815493073459076
MWG,bull,low_vol,bull_low_vol,122,2023-04-13,2024-12-25,0.003194652341036385,0.016321546628418906
MWG,insufficient_history,insufficient_history,insufficient_history,10,2023-01-03,2023-01-16,-0.005253716865831467,
MWG,sideway,high_vol,sideway_high_vol,44,2023-02-08,2024-12-12,-0.0032847062994769724,0.02203565468937238
MWG,sideway,insufficient_history,insufficient_history,2,2023-01-17,2023-01-18,0.035735668671271245,0.0160812072914528
MWG,sideway,low_vol,sideway_low_vol,77,2023-03-28,2024-12-31,-0.0006807281155608233,0.013499652491756931
