experiment_id,ticker,horizon,model_name,model_type,metric_name,metric_value,sample_size,context_metric_variance,notes
EXP-FC-001,ACB,1,bilstm,model,coverage_count,129.0,129,0.0,non_null_prediction_count
EXP-FC-001,ACB,1,bilstm,model,prediction_count,129.0,129,0.0,row_count
EXP-FC-001,ACB,1,bilstm,model,prediction_std,0.0490278928853277,129,1.7797758026541723e-05,computed
EXP-FC-001,ACB,1,bilstm,model,error_std,0.5960269164762794,129,5.127824883381189,computed
EXP-FC-001,ACB,1,bilstm,model,missing_prediction_rate,0.0,129,0.0,computed
EXP-FC-001,ACB,1,ets,model,coverage_count,129.0,129,0.0,non_null_prediction_count
EXP-FC-001,ACB,1,ets,model,prediction_count,129.0,129,0.0,row_count
EXP-FC-001,ACB,1,ets,model,prediction_std,0.6674529590410464,129,5.768383081519213,computed
EXP-FC-001,ACB,1,ets,model,error_std,0.5708070833035327,129,6.986303488648261,computed
EXP-FC-001,ACB,1,ets,model,missing_prediction_rate,0.0,129,0.0,computed
EXP-FC-001,ACB,1,lightgbm,model,coverage_count,129.0,129,0.0,non_null_prediction_count
EXP-FC-001,ACB,1,lightgbm,model,prediction_count,129.0,129,0.0,row_count
EXP-FC-001,ACB,1,lightgbm,model,prediction_std,0.1934052521988493,129,1.1051112017640166,computed
EXP-FC-001,ACB,1,lightgbm,model,error_std,0.4905695196256244,129,4.977332119620998,computed
EXP-FC-001,ACB,1,lightgbm,model,missing_prediction_rate,0.0,129,0.0,computed
EXP-FC-001,ACB,1,lstm,model,coverage_count,129.0,129,0.0,non_null_prediction_count
EXP-FC-001,ACB,1,lstm,model,prediction_count,129.0,129,0.0,row_count
EXP-FC-001,ACB,1,lstm,model,prediction_std,0.0434532127096318,129,2.209479415622967e-05,computed
EXP-FC-001,ACB,1,lstm,model,error_std,0.5759207081014905,129,5.1580029254344995,computed
EXP-FC-001,ACB,1,lstm,model,missing_prediction_rate,0.0,129,0.0,computed
EXP-FC-001,ACB,1,moving_average_rule,baseline,coverage_count,129.0,129,0.0,non_null_prediction_count
EXP-FC-001,ACB,1,moving_average_rule,baseline,prediction_count,129.0,129,0.0,row_count
EXP-FC-001,ACB,1,moving_average_rule,baseline,prediction_std,0.5630778014983651,129,4.42523762379899,computed
EXP-FC-001,ACB,1,moving_average_rule,baseline,error_std,0.2966257627017107,129,0.9705888972499357,computed
EXP-FC-001,ACB,1,moving_average_rule,baseline,missing_prediction_rate,0.0,129,0.0,computed
EXP-FC-001,ACB,1,persistence,baseline,coverage_count,129.0,129,0.0,non_null_prediction_count
EXP-FC-001,ACB,1,persistence,baseline,prediction_count,129.0,129,0.0,row_count
EXP-FC-001,ACB,1,persistence,baseline,prediction_std,0.5895853328668267,129,4.997400959231194,computed
EXP-FC-001,ACB,1,persistence,baseline,error_std,0.2062722091445396,129,0.37512661587905083,computed
