experiment_id,ticker,horizon,metric_name,model_name,model_type,metric_value,sample_size,rank,is_best,is_baseline_winner,best_baseline_value,model_vs_best_baseline_gap,metric_direction,notes
EXP-FC-001,ACB,1,coverage_count,bilstm,model,129.0,129,1,True,False,129.0,0.0,higher,non_null_prediction_count
EXP-FC-001,ACB,1,coverage_count,ets,model,129.0,129,2,False,False,129.0,0.0,higher,non_null_prediction_count
EXP-FC-001,ACB,1,coverage_count,lightgbm,model,129.0,129,3,False,False,129.0,0.0,higher,non_null_prediction_count
EXP-FC-001,ACB,1,coverage_count,lstm,model,129.0,129,4,False,False,129.0,0.0,higher,non_null_prediction_count
EXP-FC-001,ACB,1,coverage_count,moving_average_rule,baseline,129.0,129,5,False,False,129.0,0.0,higher,non_null_prediction_count
EXP-FC-001,ACB,1,coverage_count,persistence,baseline,129.0,129,6,False,False,129.0,0.0,higher,non_null_prediction_count
EXP-FC-001,ACB,1,coverage_count,sarimax,model,129.0,129,7,False,False,129.0,0.0,higher,non_null_prediction_count
EXP-FC-001,ACB,1,coverage_count,xgboost,model,129.0,129,8,False,False,129.0,0.0,higher,non_null_prediction_count
EXP-FC-001,ACB,1,coverage_count,zero_return,baseline,129.0,129,9,False,False,129.0,0.0,higher,non_null_prediction_count
EXP-FC-001,ACB,1,directional_accuracy,ets,model,0.5271317829457365,129,1,True,False,0.4418604651162791,0.0852713178294574,higher,computed_from_direction_columns
EXP-FC-001,ACB,1,directional_accuracy,bilstm,model,0.4418604651162791,129,2,False,False,0.4418604651162791,0.0,higher,computed_from_direction_columns
EXP-FC-001,ACB,1,directional_accuracy,lightgbm,model,0.4418604651162791,129,3,False,False,0.4418604651162791,0.0,higher,computed_from_direction_columns
EXP-FC-001,ACB,1,directional_accuracy,lstm,model,0.4418604651162791,129,4,False,False,0.4418604651162791,0.0,higher,computed_from_direction_columns
EXP-FC-001,ACB,1,directional_accuracy,moving_average_rule,baseline,0.4418604651162791,129,5,False,False,0.4418604651162791,0.0,higher,computed_from_direction_columns
EXP-FC-001,ACB,1,directional_accuracy,sarimax,model,0.4418604651162791,129,6,False,False,0.4418604651162791,0.0,higher,computed_from_direction_columns
EXP-FC-001,ACB,1,directional_accuracy,xgboost,model,0.4418604651162791,129,7,False,False,0.4418604651162791,0.0,higher,computed_from_direction_columns
EXP-FC-001,ACB,1,directional_accuracy,persistence,baseline,0.1085271317829457,129,8,False,False,0.4418604651162791,-0.33333333333333337,higher,computed_from_direction_columns
EXP-FC-001,ACB,1,directional_accuracy,zero_return,baseline,0.1085271317829457,129,9,False,False,0.4418604651162791,-0.33333333333333337,higher,computed_from_direction_columns
EXP-FC-001,ACB,1,mae,persistence,baseline,0.1475968992248061,129,1,True,True,0.1475968992248061,0.0,lower,computed
EXP-FC-001,ACB,1,mae,zero_return,baseline,0.1475968992248061,129,2,False,False,0.1475968992248061,0.0,lower,computed
EXP-FC-001,ACB,1,mae,moving_average_rule,baseline,0.2345891472868217,129,3,False,False,0.1475968992248061,0.08699224806201561,lower,computed
EXP-FC-001,ACB,1,mae,ets,model,0.5503845260580388,129,4,False,False,0.1475968992248061,0.40278762683323266,lower,computed
EXP-FC-001,ACB,1,mae,lightgbm,model,1.189479936073262,129,5,False,False,0.1475968992248061,1.041883036848456,lower,computed
EXP-FC-001,ACB,1,mae,xgboost,model,1.2821290345894276,129,6,False,False,0.1475968992248061,1.1345321353646216,lower,computed
EXP-FC-001,ACB,1,mae,lstm,model,20.556428086577466,129,7,False,False,0.1475968992248061,20.40883118735266,lower,computed
EXP-FC-001,ACB,1,mae,bilstm,model,20.9428503850218,129,8,False,False,0.1475968992248061,20.795253485796994,lower,computed
EXP-FC-001,ACB,1,mae,sarimax,model,1.1247539267764527e+91,129,9,False,False,0.1475968992248061,1.1247539267764527e+91,lower,computed
EXP-FC-001,ACB,1,mape,persistence,baseline,0.7121662491841998,129,1,True,True,0.7121662491841998,0.0,lower,computed_on_non_zero_denominator
EXP-FC-001,ACB,1,mape,zero_return,baseline,0.7121662491841998,129,2,False,False,0.7121662491841998,0.0,lower,computed_on_non_zero_denominator
EXP-FC-001,ACB,1,mape,moving_average_rule,baseline,1.1291134634924385,129,3,False,False,0.7121662491841998,0.41694721430823867,lower,computed_on_non_zero_denominator
EXP-FC-001,ACB,1,mape,ets,model,2.6489816034037013,129,4,False,False,0.7121662491841998,1.9368153542195015,lower,computed_on_non_zero_denominator
