horizon,regime,model_name,probability_bucket,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
5d,bear,cart,0.50-0.55,0,,,
5d,bear,cart,0.55-0.60,14,0.5897240786078211,0.7857142857142857,0.19599020710646464
5d,bear,cart,0.60-0.65,0,,,
5d,bear,cart,0.65+,26,0.7924024463778103,0.4230769230769231,-0.36932552330088725
5d,bear,cart,lt_0.50,64,0.2076999115939565,0.546875,0.3391750884060435
5d,bear,lightgbm,0.50-0.55,3,0.5333100381885302,0.6666666666666666,0.13335662847813645
5d,bear,lightgbm,0.55-0.60,4,0.5778531637621344,0.5,-0.07785316376213436
5d,bear,lightgbm,0.60-0.65,1,0.6118356524879972,0.0,-0.6118356524879972
5d,bear,lightgbm,0.65+,15,0.8304522084347732,0.3333333333333333,-0.49711887510143987
5d,bear,lightgbm,lt_0.50,81,0.21897149897219725,0.5925925925925926,0.3736210936203953
5d,bear,xgboost,0.50-0.55,1,0.5239204168319702,0.0,-0.5239204168319702
5d,bear,xgboost,0.55-0.60,3,0.5680543382962545,0.6666666666666666,0.09861232837041212
5d,bear,xgboost,0.60-0.65,6,0.6281016767024994,0.6666666666666666,0.03856498996416724
5d,bear,xgboost,0.65+,10,0.7239223539829254,0.3,-0.4239223539829254
5d,bear,xgboost,lt_0.50,84,0.24650656258953468,0.5714285714285714,0.3249220088390367
5d,bull,cart,0.50-0.55,0,,,
5d,bull,cart,0.55-0.60,2,0.5905511811023622,0.5,-0.09055118110236215
5d,bull,cart,0.60-0.65,0,,,
5d,bull,cart,0.65+,19,0.7894736842105262,0.5789473684210527,-0.21052631578947356
5d,bull,cart,lt_0.50,55,0.1622372228080473,0.32727272727272727,0.16503550446467996
5d,bull,lightgbm,0.50-0.55,1,0.5012237777897575,0.0,-0.5012237777897575
5d,bull,lightgbm,0.55-0.60,0,,,
5d,bull,lightgbm,0.60-0.65,0,,,
5d,bull,lightgbm,0.65+,17,0.8031431581694544,0.6470588235294118,-0.15608433464004257
5d,bull,lightgbm,lt_0.50,58,0.1403648999779404,0.3275862068965517,0.1872213069186113
5d,bull,xgboost,0.50-0.55,0,,,
5d,bull,xgboost,0.55-0.60,2,0.5738420486450195,1.0,0.42615795135498047
5d,bull,xgboost,0.60-0.65,1,0.6319339871406555,0.0,-0.6319339871406555
5d,bull,xgboost,0.65+,12,0.7968481828769048,0.8333333333333334,0.03648515045642853
5d,bull,xgboost,lt_0.50,61,0.180703285073892,0.29508196721311475,0.11437868213922275
5d,sideway,cart,0.50-0.55,0,,,
5d,sideway,cart,0.55-0.60,8,0.5899722093561834,0.0,-0.5899722093561834
5d,sideway,cart,0.60-0.65,0,,,
5d,sideway,cart,0.65+,13,0.7894736842105262,0.3076923076923077,-0.4817813765182185
5d,sideway,cart,lt_0.50,59,0.24717537372671883,0.288135593220339,0.040960219493620165
5d,sideway,lightgbm,0.50-0.55,1,0.5170615684002466,0.0,-0.5170615684002466
5d,sideway,lightgbm,0.55-0.60,2,0.5620239269904952,0.0,-0.5620239269904952
5d,sideway,lightgbm,0.60-0.65,0,,,
5d,sideway,lightgbm,0.65+,11,0.7775839028443674,0.2727272727272727,-0.5048566301170947
5d,sideway,lightgbm,lt_0.50,66,0.19269496201839845,0.2727272727272727,0.08003231070887426
5d,sideway,xgboost,0.50-0.55,3,0.531195859114329,0.0,-0.531195859114329
5d,sideway,xgboost,0.55-0.60,1,0.5607335567474365,1.0,0.4392664432525635
5d,sideway,xgboost,0.60-0.65,0,,,
5d,sideway,xgboost,0.65+,10,0.7443306744098663,0.3,-0.44433067440986634
5d,sideway,xgboost,lt_0.50,66,0.2042468911544843,0.25757575757575757,0.05332886642127327
