ticker,model_name,observations,mae,rmse,mape,directional_accuracy
ACB,cart,65,0.030228687950424247,0.04056026211719675,117.05858337966961,0.4461538461538462
ACB,lightgbm,65,0.03325054513623714,0.04154054906183775,200.71468578351835,0.4307692307692308
ACB,xgboost,65,0.031079937404885738,0.038216393001829586,171.030327175887,0.4
DGC,cart,65,0.09854573470269677,0.11721638146869971,635.110119500687,0.46153846153846156
DGC,lightgbm,65,0.07722227657287714,0.10326043654843356,245.5941920405623,0.47692307692307695
DGC,xgboost,65,0.07748168422337391,0.10053093086096422,262.2646049941325,0.49230769230769234
HPG,cart,65,0.04870995629822421,0.06074728417148546,321.0789068961068,0.3384615384615385
HPG,lightgbm,65,0.05171294771669096,0.06220837024496823,346.88663314684425,0.4
HPG,xgboost,65,0.04568331830229735,0.055000612712363665,331.1152915714025,0.49230769230769234
MWG,cart,65,0.03587647101015816,0.045635481073575436,170.35283399810325,0.6153846153846154
MWG,lightgbm,65,0.03527575006656309,0.04629387284499515,204.6054645211993,0.6307692307692307
MWG,xgboost,65,0.03686567966439924,0.04716236699015853,271.30092528190016,0.6307692307692307
OVERALL,cart,260,0.05334021249037584,0.07272833803727971,315.43460131458966,0.4653846153846154
OVERALL,lightgbm,260,0.049365379873092086,0.06782576752985485,249.83730962695745,0.4846153846153846
OVERALL,xgboost,260,0.04777765489873905,0.06483887146745398,260.4476672234834,0.5038461538461538
