ticker,model_name,observations,mae,rmse,mape,directional_accuracy
ACB,cart,65,0.03431134231688189,0.03949983144195022,143.50674139422793,0.4153846153846154
ACB,lightgbm,65,0.02217954497157856,0.028560078919229074,121.92300660409636,0.7692307692307693
ACB,xgboost,65,0.02404341359833953,0.030209967673092263,108.9415501018844,0.6153846153846154
DGC,cart,65,0.20629183948852603,0.24215076421403414,843.507586598785,0.5846153846153846
DGC,lightgbm,65,0.17634173592156419,0.21251675587109425,571.137220560098,0.5230769230769231
DGC,xgboost,65,0.17133549451516392,0.20265092686944836,503.37696328739196,0.46153846153846156
HPG,cart,65,0.06601165738049715,0.07477132022796387,377.6081135653285,0.23076923076923078
HPG,lightgbm,65,0.05093742373946169,0.06518520904969108,245.4678423124561,0.49230769230769234
HPG,xgboost,65,0.058518398783939274,0.07104156920805323,296.4155678200788,0.4
MWG,cart,65,0.1027633238990864,0.12094356349168028,355.3550150756714,0.5846153846153846
MWG,lightgbm,65,0.11789729180785473,0.13600931417422457,376.04613669464965,0.47692307692307695
MWG,xgboost,65,0.11534383154518643,0.13274997660883595,368.1858661559503,0.47692307692307695
OVERALL,cart,260,0.10234454077124787,0.14178798007243248,430.60587681134183,0.45384615384615384
OVERALL,lightgbm,260,0.0918389991101148,0.13107888336307427,329.61447421866586,0.5653846153846154
OVERALL,xgboost,260,0.09231028461065728,0.12713133086796985,319.4963030166717,0.48846153846153845
