date,ticker,model_name,prediction_date,target_date,horizon,horizon_days,actual_return,predicted_return,absolute_error,pct_error
2026-01-05,ACB,cart,2025-12-04,2026-01-05,20d,20,-0.036144578313252906,-0.00384713177571147,0.032297446537541435,89.3562687538649
2026-01-06,ACB,cart,2025-12-05,2026-01-06,20d,20,-0.014373716632443578,-0.00384713177571147,0.010526584856732107,73.23495464612171
2026-01-07,ACB,cart,2025-12-08,2026-01-07,20d,20,0.018595041322313932,-0.00384713177571147,0.022442173098025403,120.68901977160405
2026-01-08,ACB,cart,2025-12-09,2026-01-08,20d,20,0.018672199170124415,-0.00384713177571147,0.022519330945835886,120.60352795436596
2026-01-09,ACB,cart,2025-12-10,2026-01-09,20d,20,0.018672199170124415,-0.00384713177571147,0.022519330945835886,120.60352795436596
2026-01-12,ACB,cart,2025-12-11,2026-01-12,20d,20,0.06471816283924836,-0.00384713177571147,0.06856529461495983,105.94443909859935
2026-01-13,ACB,cart,2025-12-12,2026-01-13,20d,20,0.05957446808510625,-0.00384713177571147,0.06342159986081772,106.45768548065855
2026-01-14,ACB,cart,2025-12-15,2026-01-14,20d,20,0.04670912951167727,0.01865154587886745,0.028057583632809822,60.06873586842468
2026-01-15,ACB,cart,2025-12-16,2026-01-15,20d,20,0.03749999999999987,-0.00384713177571147,0.04134713177571134,110.25901806856395
2026-01-16,ACB,cart,2025-12-17,2026-01-16,20d,20,0.03541666666666665,-0.00384713177571147,0.03926379844237812,110.86248971965593
2026-01-19,ACB,cart,2025-12-18,2026-01-19,20d,20,0.052410901467505155,-0.00384713177571147,0.056258033243216626,107.3403274280575
2026-01-20,ACB,cart,2025-12-19,2026-01-20,20d,20,0.048117154811715634,-0.00384713177571147,0.051964286587427105,107.99534342952208
2026-01-21,ACB,cart,2025-12-22,2026-01-21,20d,20,0.02263374485596703,-0.00384713177571147,0.0264808766316785,116.99732766359799
2026-01-22,ACB,cart,2025-12-23,2026-01-22,20d,20,0.026859504132231482,0.01865154587886745,0.008207958253364032,30.55885995867831
2026-01-23,ACB,cart,2025-12-24,2026-01-23,20d,20,0.030864197530864113,0.01865154587886745,0.012212651651996663,39.5689913524693
2026-01-26,ACB,cart,2025-12-25,2026-01-26,20d,20,0.03333333333333344,0.01865154587886745,0.014681787454465987,44.04536236339783
2026-01-27,ACB,cart,2025-12-26,2026-01-27,20d,20,0.03347280334728042,0.01865154587886745,0.014821257468412972,44.27850668688364
2026-01-28,ACB,cart,2025-12-29,2026-01-28,20d,20,-0.004166666666666763,0.01865154587886745,0.022818212545534212,547.6371010928085
2026-01-29,ACB,cart,2025-12-30,2026-01-29,20d,20,-0.012448132780083054,0.01865154587886745,0.031099678658950504,249.83408522690104
2026-01-30,ACB,cart,2025-12-31,2026-01-30,20d,20,0.004166666666666652,0.01865154587886745,0.014484879212200798,347.6371010928204
2026-02-02,ACB,cart,2026-01-05,2026-02-02,20d,20,-0.01041666666666663,0.01865154587886745,0.02906821254553408,279.0548404371282
2026-02-03,ACB,cart,2026-01-06,2026-02-03,20d,20,-0.012500000000000067,0.01865154587886745,0.031151545878867516,249.2123670309388
2026-02-04,ACB,cart,2026-01-07,2026-02-04,20d,20,-0.04259634888438124,-0.00384713177571147,0.03874921710866977,90.96840016463923
2026-02-05,ACB,cart,2026-01-08,2026-02-05,20d,20,-0.044806517311609007,-0.00384713177571147,0.040959385535897536,91.41390135511668
2026-02-06,ACB,cart,2026-01-09,2026-02-06,20d,20,-0.06313645621181263,-0.00384713177571147,0.05928932443610116,93.90663967137313
2026-02-09,ACB,cart,2026-01-12,2026-02-09,20d,20,-0.09999999999999998,-0.00384713177571147,0.0961528682242885,96.15286822428853
2026-02-10,ACB,cart,2026-01-13,2026-02-10,20d,20,-0.07630522088353409,-0.00384713177571147,0.07245808910782262,94.95823256762023
2026-02-11,ACB,cart,2026-01-14,2026-02-11,20d,20,-0.04056795131845847,-0.00384713177571147,0.036720819542747,90.51682017287123
2026-02-12,ACB,cart,2026-01-15,2026-02-12,20d,20,-0.04216867469879504,-0.00384713177571147,0.03832154292308357,90.87680178902706
2026-02-13,ACB,cart,2026-01-16,2026-02-13,20d,20,-0.04024144869215296,-0.00384713177571147,0.03639431691644149,90.439877537357
2026-02-23,ACB,cart,2026-01-19,2026-02-23,20d,20,-0.04183266932270924,-0.00384713177571147,0.037985537546997766,90.80352308853735
2026-02-24,ACB,cart,2026-01-20,2026-02-24,20d,20,-0.041916167664670656,0.01865154587886745,0.060567713543538106,144.49725945386948
2026-02-25,ACB,cart,2026-01-21,2026-02-25,20d,20,-0.016096579476861272,0.01865154587886745,0.03474812535572872,215.8727287724633
2026-02-26,ACB,cart,2026-01-22,2026-02-26,20d,20,-0.016096579476861272,0.01865154587886745,0.03474812535572872,215.8727287724633
2026-02-27,ACB,cart,2026-01-23,2026-02-27,20d,20,-0.019960079840319334,0.01865154587886745,0.03861162571918678,193.44424485312607
2026-03-02,ACB,cart,2026-01-26,2026-03-02,20d,20,-0.03427419354838712,0.01865154587886745,0.05292573942725457,154.4186279759897
2026-03-03,ACB,cart,2026-01-27,2026-03-03,20d,20,-0.04858299595141702,0.01865154587886745,0.06723454183028446,138.3910986006688
2026-03-04,ACB,cart,2026-01-28,2026-03-04,20d,20,-0.029288702928870314,-0.00384713177571147,0.025441571153158843,86.86479293721369
2026-03-05,ACB,cart,2026-01-29,2026-03-05,20d,20,-0.010504201680672232,-0.00384713177571147,0.0066570699049607615,63.37530549522668
2026-03-06,ACB,cart,2026-01-30,2026-03-06,20d,20,-0.03319502074688796,-0.00384713177571147,0.02934788897117649,88.41051552566918
