step_size,ticker,horizon,model_name,observations,mae,rmse,mape,smape,correlation,directional_accuracy,precision,recall,f1,brier_score
1,SSI,long_3m,cart,13,0.2203355155991341,0.22546391359865997,411.51063622785074,200.0,-1.3395765173843108e-16,0.46153846153846156,0.0,0.0,0.0,0.4841514107692308
1,SSI,long_3m,stacking_final,13,0.2203355155991341,0.22546391359865997,411.51063622785074,200.0,-1.3395765173843108e-16,0.0,0.0,0.0,0.0,
1,SSI,long_6m,cart,13,0.37258675208646463,0.38368854905876815,131.56994726345562,200.0,-0.9151837736545145,0.9230769230769231,1.0,0.9230769230769231,0.96,0.05974097076923077
1,SSI,long_6m,stacking_final,13,0.37258675208646463,0.38368854905876815,131.56994726345562,200.0,-0.9151837736545145,0.0,0.0,0.0,0.0,
1,SSI,short_10d,cart,13,0.055526206088695296,0.06314972948781512,265.53121001384386,160.84051955039573,-0.4443429481176625,0.6153846153846154,0.6363636363636364,0.875,0.7368421052631579,0.3269098938461538
1,SSI,short_10d,stacking_final,13,0.055526206088695296,0.06314972948781512,265.53121001384386,160.84051955039573,-0.4443429481176625,0.23076923076923078,0.375,0.375,0.375,
1,SSI,short_20d,cart,13,0.1123379084819984,0.12764880628191436,1113.9083179685335,134.89369407719454,-0.36136506793732714,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.3132320700000001
1,SSI,short_20d,stacking_final,13,0.1123379084819984,0.12764880628191436,1113.9083179685335,134.89369407719454,-0.36136506793732714,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,
1,SSI,short_30d,cart,13,0.2967345984342048,0.30614986891862245,457.55797497173074,186.2834265686409,0.15362999070432887,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.7,0.3900371815384616
1,SSI,short_30d,stacking_final,13,0.2967345984342048,0.30614986891862245,457.55797497173074,186.2834265686409,0.15362999070432887,0.23076923076923078,1.0,0.09090909090909091,0.16666666666666666,
1,SSI,short_5d,cart,13,0.04587101660162455,0.04963825692295638,206.51102200558512,200.0,-0.8552553427248029,0.7692307692307693,0.75,0.8571428571428571,0.8,0.25342308923076917
1,SSI,short_5d,stacking_final,13,0.04587101660162455,0.04963825692295638,206.51102200558512,200.0,-0.8552553427248029,0.0,0.0,0.0,0.0,
