horizon,ticker,model_name,regression_observations,regression_mae,regression_rmse,regression_mape,regression_directional_accuracy,classification_observations,classification_accuracy,classification_precision,classification_recall,classification_f1,classification_roc_auc,classification_positive_class_precision,classification_true_negative,classification_false_positive,classification_false_negative,classification_true_positive
20d,ACB,cart,42,0.09975101054914945,0.10688639692322423,663.1018803350855,0.19047619047619047,42,0.35714285714285715,0.4666666666666667,0.2692307692307692,0.34146341463414637,0.3846153846153846,0.4666666666666667,8,8,19,7
20d,ACB,lightgbm,42,0.11366343632747682,0.12260860358189388,790.7956257500454,0.19047619047619047,42,0.38095238095238093,0.0,0.0,0.0,0.4326923076923077,0.0,16,0,26,0
20d,ACB,xgboost,42,0.10715724295503144,0.11647339079051207,723.3805334471554,0.19047619047619047,42,0.38095238095238093,0.0,0.0,0.0,0.2980769230769231,0.0,16,0,26,0
20d,DGC,cart,42,0.13504945336579646,0.15659691325484784,267.1377369628499,0.5476190476190477,42,0.8095238095238095,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.6710526315789473,0.9411764705882353,2,2,6,32
20d,DGC,lightgbm,42,0.06723223556289677,0.09182528175556674,125.63969384585396,0.9047619047619048,42,0.8571428571428571,1.0,0.8421052631578947,0.9142857142857143,0.9276315789473684,1.0,4,0,6,32
20d,DGC,xgboost,42,0.08315857368827198,0.10478877253345276,179.5167089519054,0.9047619047619048,42,0.8571428571428571,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.743421052631579,0.9210526315789473,1,3,3,35
20d,HPG,cart,42,0.096262549524384,0.11891145851645121,371.3612848701118,0.7142857142857143,42,0.40476190476190477,0.5714285714285714,0.5517241379310345,0.5614035087719298,0.3143236074270557,0.5714285714285714,1,12,13,16
20d,HPG,lightgbm,42,0.1017047695602425,0.12134343147650173,541.4201586447629,0.7142857142857143,42,0.6904761904761905,0.6904761904761905,1.0,0.8169014084507042,0.21750663129973472,0.6904761904761905,0,13,0,29
20d,HPG,xgboost,42,0.11468182461023027,0.13535190340406894,509.5592272954186,0.7142857142857143,42,0.6904761904761905,0.6904761904761905,1.0,0.8169014084507042,0.3421750663129973,0.6904761904761905,0,13,0,29
20d,MWG,cart,42,0.13246127480081668,0.15365920817280912,99.75129614335762,0.5238095238095238,42,0.6666666666666666,0.8620689655172413,0.7142857142857143,0.78125,0.5714285714285715,0.8620689655172413,3,4,10,25
20d,MWG,lightgbm,42,0.11399694424259621,0.13788216089676913,79.12988743505635,0.7380952380952381,42,0.8333333333333334,1.0,0.8,0.8888888888888888,0.9795918367346939,1.0,7,0,7,28
20d,MWG,xgboost,42,0.11190705684744859,0.13234231574145444,80.3483401360742,0.7857142857142857,42,0.8571428571428571,0.967741935483871,0.8571428571428571,0.9090909090909091,0.9714285714285713,0.967741935483871,6,1,5,30
20d,OVERALL,cart,168,0.11588107206003666,0.1357372298882843,348.46521226792765,0.49404761904761907,168,0.5595238095238095,0.7547169811320755,0.625,0.6837606837606838,0.4875,0.7547169811320755,14,26,48,80
20d,OVERALL,lightgbm,168,0.09914934642330306,0.11958309945164307,381.8119145666475,0.6369047619047619,168,0.6904761904761905,0.8725490196078431,0.6953125,0.7739130434782608,0.5884765625,0.8725490196078431,27,13,39,89
20d,OVERALL,xgboost,168,0.10422617452524556,0.12286309851031582,371.1043202361443,0.6488095238095238,168,0.6964285714285714,0.8468468468468469,0.734375,0.7866108786610879,0.6169921875,0.8468468468468469,23,17,34,94
3d,ACB,cart,42,0.026672131361378724,0.03859854238444864,343.1462824480511,0.42857142857142855,42,0.5714285714285714,0.26666666666666666,0.36363636363636365,0.3076923076923077,0.5043988269794721,0.26666666666666666,20,11,7,4
3d,ACB,lightgbm,42,0.015862616268962966,0.021512847382001876,170.5054128536387,0.5,42,0.6904761904761905,0.25,0.09090909090909091,0.13333333333333333,0.31671554252199413,0.25,28,3,10,1
3d,ACB,xgboost,42,0.01571295782241765,0.021934171037809192,142.28843036581497,0.42857142857142855,42,0.7380952380952381,0.5,0.09090909090909091,0.15384615384615385,0.35777126099706746,0.5,30,1,10,1
3d,DGC,cart,42,0.1855901761277834,0.19259927171898863,1635.8371819333577,0.38095238095238093,42,0.5952380952380952,0.6666666666666666,0.38095238095238093,0.48484848484848486,0.5952380952380952,0.6666666666666666,17,4,13,8
3d,DGC,lightgbm,42,0.04635053545614334,0.05709584633639388,346.38860708552744,0.4523809523809524,42,0.5476190476190477,1.0,0.09523809523809523,0.17391304347826086,0.7823129251700681,1.0,21,0,19,2
3d,DGC,xgboost,42,0.039543748164799344,0.05177927938820883,315.4687362480049,0.5238095238095238,42,0.6428571428571429,0.875,0.3333333333333333,0.4827586206896552,0.7687074829931972,0.875,20,1,14,7
3d,HPG,cart,42,0.040325038638328405,0.04730068690255902,472.00787276467764,0.47619047619047616,42,0.40476190476190477,0.3181818181818182,0.4117647058823529,0.358974358974359,0.40588235294117647,0.3181818181818182,10,15,10,7
3d,HPG,lightgbm,42,0.024412138261956123,0.03275538274559658,219.79301599350353,0.6666666666666666,42,0.5,0.4090909090909091,0.5294117647058824,0.46153846153846156,0.56,0.4090909090909091,12,13,8,9
