ticker,model_name,observations,mae,rmse,mape,directional_accuracy
ACB,cart,44,0.08942618169302219,0.09618733936621127,636.0935169648799,0.4772727272727273
ACB,lightgbm,44,0.04626668264145772,0.050888856114713034,367.5146819802992,0.4772727272727273
ACB,xgboost,44,0.04256948275365149,0.04735918664511506,324.0726705151086,0.4772727272727273
DGC,cart,44,0.0694099599991706,0.08618644804317857,386.13460515465954,0.5454545454545454
DGC,lightgbm,44,0.101019624795335,0.11299837331590395,620.6517318681201,0.5681818181818182
DGC,xgboost,44,0.059760371773499736,0.07288978889497892,290.1593253138408,0.5
HPG,cart,44,0.042422158434304295,0.05059312843869294,343.49434307530254,0.4318181818181818
HPG,lightgbm,44,0.029718295607966846,0.0355336597353807,235.9117228117011,0.5454545454545454
HPG,xgboost,44,0.024222945027992483,0.030859842168225786,178.28168106894785,0.4772727272727273
MWG,cart,44,0.08504949094294632,0.0978105620087618,525.4786592683388,0.38636363636363635
MWG,lightgbm,44,0.04668109038849022,0.05919515127292037,235.00541469609288,0.4090909090909091
MWG,xgboost,44,0.04321562373328764,0.05492512938394005,178.3906839355505,0.4090909090909091
OVERALL,cart,176,0.07157694776736086,0.08486265192405627,471.13000929450794,0.4602272727272727
OVERALL,lightgbm,176,0.05592142335831243,0.07093133115400786,367.00178443184114,0.5
OVERALL,xgboost,176,0.042442105822107834,0.05367707513765024,242.4271754061937,0.4659090909090909
