ticker,model_name,observations,mae,rmse,mape,directional_accuracy
ACB,cart,37,0.05139637266847961,0.06469562895187733,177.20399846880775,0.4594594594594595
ACB,lightgbm,37,0.03281733661887792,0.03974847558893364,99.68302104987052,0.7297297297297297
ACB,xgboost,37,0.032321318066438044,0.040098356831196405,79.91512778161793,0.7567567567567568
DGC,cart,37,0.13893710719333444,0.15676057730865336,439.88329626488405,0.2972972972972973
DGC,lightgbm,37,0.09240884568424197,0.10297565384975925,319.64824357066004,0.35135135135135137
DGC,xgboost,37,0.09401085153430663,0.10575091973742456,315.18730994799705,0.35135135135135137
HPG,cart,37,0.05475466352739333,0.07319231636509316,212.80391835878666,0.6756756756756757
HPG,lightgbm,37,0.04282885557749023,0.05400024953358785,135.30403317273908,0.5945945945945946
HPG,xgboost,37,0.04346524944292835,0.05307691802826018,123.47847937238892,0.6216216216216216
MWG,cart,37,0.05726430295626919,0.07694832652766857,154.27829447140851,0.5135135135135135
MWG,lightgbm,37,0.05394211631933689,0.06586922353979376,134.91806654474644,0.3783783783783784
MWG,xgboost,37,0.04580542648649561,0.05725331556725373,118.65701847006736,0.6216216216216216
OVERALL,cart,148,0.07558811158636915,0.1000469428992184,246.04237689097172,0.4864864864864865
OVERALL,lightgbm,148,0.055499288549986744,0.06971138385668184,172.388341084504,0.5135135135135135
OVERALL,xgboost,148,0.053900711382542155,0.06871360239555076,159.3094838930178,0.5878378378378378
