horizon,regime,model_name,probability_bucket,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
3d,bull,cart,0.50-0.55,0,,,
3d,bull,cart,0.55-0.60,0,,,
3d,bull,cart,0.60-0.65,0,,,
3d,bull,cart,0.65+,2,1.0,1.0,0.0
3d,bull,cart,lt_0.50,2,0.0,0.0,0.0
3d,bull,lightgbm,0.50-0.55,1,0.5100336636162862,0.0,-0.5100336636162862
3d,bull,lightgbm,0.55-0.60,1,0.5797340875657215,1.0,0.42026591243427847
3d,bull,lightgbm,0.60-0.65,0,,,
3d,bull,lightgbm,0.65+,1,0.7350013672106609,1.0,0.2649986327893391
3d,bull,lightgbm,lt_0.50,1,0.2115436671852204,0.0,-0.2115436671852204
3d,bull,xgboost,0.50-0.55,0,,,
3d,bull,xgboost,0.55-0.60,0,,,
3d,bull,xgboost,0.60-0.65,0,,,
3d,bull,xgboost,0.65+,2,0.8166499137878418,1.0,0.1833500862121582
3d,bull,xgboost,lt_0.50,2,0.27865438908338547,0.0,-0.27865438908338547
3d,sideway,cart,0.50-0.55,0,,,
3d,sideway,cart,0.55-0.60,0,,,
3d,sideway,cart,0.60-0.65,0,,,
3d,sideway,cart,0.65+,67,1.0,0.19402985074626866,-0.8059701492537313
3d,sideway,cart,lt_0.50,73,0.0,0.3561643835616438,0.3561643835616438
3d,sideway,lightgbm,0.50-0.55,5,0.5268334237197407,0.2,-0.3268334237197407
3d,sideway,lightgbm,0.55-0.60,4,0.5728401822192346,0.25,-0.3228401822192346
3d,sideway,lightgbm,0.60-0.65,5,0.6284624380440121,0.2,-0.42846243804401213
3d,sideway,lightgbm,0.65+,26,0.8004636482292293,0.2692307692307692,-0.5312328789984602
3d,sideway,lightgbm,lt_0.50,100,0.2121844453467264,0.29,0.07781555465327358
3d,sideway,xgboost,0.50-0.55,9,0.5169991519716051,0.2222222222222222,-0.29477692974938285
3d,sideway,xgboost,0.55-0.60,5,0.5779670834541321,0.4,-0.17796708345413204
3d,sideway,xgboost,0.60-0.65,3,0.6383291880289713,0.0,-0.6383291880289713
3d,sideway,xgboost,0.65+,28,0.7873179252658572,0.21428571428571427,-0.5730322109801429
3d,sideway,xgboost,lt_0.50,95,0.26430042997786873,0.30526315789473685,0.040962727916868114
