selector_mode,feature_name,evaluated_folds,mean_importance,max_importance
context_meta_score,market_return_20d,3,0.09410536900626996,0.12576686162403722
context_meta_score,confidence_bucket_0.55-0.60,3,0.050400757761204805,0.06417646334122164
context_meta_score,regime_code,3,0.050120011249769975,0.06945070946267491
context_meta_score,confidence_bucket_code,3,0.04731522519828466,0.05323591275309681
context_meta_score,confidence_bucket_0.60-0.65,3,0.0450963077675397,0.06715341415860712
context_meta_score,confidence_bucket_lt_0.50,3,0.04193406898772692,0.05226016151107786
context_meta_score,regime_sideway,3,0.03712511758317189,0.052359597699282015
context_meta_score,confidence_bucket_0.65+,3,0.02970672233159993,0.03182624941912953
context_meta_score,regime_bear,3,0.029522686923676697,0.04698467573161945
context_meta_score,probability_entropy,3,0.020569455396044916,0.023850572270479407
context_meta_score,predicted_return,3,0.019556411501597672,0.03655226817185715
context_meta_score,predicted_probability_dispersion,3,0.0171323740928061,0.020639856928256862
context_meta_score,market_volatility_20d,3,0.01669498068054474,0.020564376205559707
context_meta_score,predicted_return_dispersion,3,0.01427533922175602,0.023790641282568033
context_meta_score,normalized_predicted_return,3,0.012446044533163628,0.024023610423685837
context_meta_score,confidence_bucket_0.50-0.55,3,0.008714301229874067,0.02345579683883659
context_meta_score,regime_bull,3,0.007602430659661993,0.014081243057069903
context_meta_score,stock_relative_strength_20d,3,0.0046385998808025795,0.0066325536886416275
context_meta_score,predicted_profit_probability,3,0.0044618000793262575,0.00594488942714438
