selector_mode,regime,selected_model_name,selected_horizon,selected_combined_method,selected_return_threshold,selected_probability_threshold,folds_selected,rows_selected,fallback_count,mean_context_utility_score,candidate_label
context_bin_lookup,sideway,xgboost,20d,predicted_return,,,3,287,274,0.7538461538461537,xgboost+20d+predicted_return
context_bin_lookup,bull,xgboost,20d,predicted_return,,,3,192,192,,xgboost+20d+predicted_return
context_bin_lookup,sideway,xgboost,20d,combined_rank_based,,,1,100,100,,xgboost+20d+combined_rank_based
context_bin_lookup,sideway,xgboost,5d,combined_weighted_linear_gated,0.0,0.5,3,96,96,,xgboost+5d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_bin_lookup,bull,lightgbm,5d,combined_rank_based,,,1,52,52,,lightgbm+5d+combined_rank_based
context_bin_lookup,bull,xgboost,20d,combined_weighted_linear_gated,0.0,0.5,1,48,48,,xgboost+20d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_bin_lookup,bear,xgboost,5d,combined_weighted_linear_gated,0.0,0.5,1,44,44,,xgboost+5d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_bin_lookup,bull,xgboost,5d,combined_weighted_linear_gated,0.0,0.5,1,40,40,,xgboost+5d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_bin_lookup,sideway,lightgbm,3d,combined_weighted_linear_gated,0.02,0.55,2,16,16,,lightgbm+3d+combined_weighted_linear_gated+rt=0.020+pt=0.55
context_bin_lookup,sideway,lightgbm,20d,combined_weighted_linear,,,1,9,0,0.4999999999999999,lightgbm+20d+combined_weighted_linear
context_bin_lookup,bull,xgboost,3d,combined_weighted_linear_gated,0.02,0.65,1,8,8,,xgboost+3d+combined_weighted_linear_gated+rt=0.020+pt=0.65
context_bin_lookup,sideway,lightgbm,5d,combined_rank_based,,,1,8,8,,lightgbm+5d+combined_rank_based
context_bin_lookup,sideway,xgboost,3d,combined_weighted_linear_gated,0.02,0.6,1,8,8,,xgboost+3d+combined_weighted_linear_gated+rt=0.020+pt=0.60
context_knn_selector,bull,xgboost,20d,predicted_return,,,3,161,136,0.9187941527949494,xgboost+20d+predicted_return
context_knn_selector,sideway,cart,20d,combined_rank_based,,,3,139,0,0.8292710154868865,cart+20d+combined_rank_based
context_knn_selector,sideway,xgboost,20d,predicted_return,,,3,100,32,0.9179103904447279,xgboost+20d+predicted_return
context_knn_selector,sideway,lightgbm,20d,combined_weighted_linear,,,2,81,0,0.8979708221429727,lightgbm+20d+combined_weighted_linear
context_knn_selector,bull,lightgbm,5d,combined_rank_based,,,1,52,52,,lightgbm+5d+combined_rank_based
context_knn_selector,bull,cart,20d,combined_rank_based,,,2,36,0,0.8623872925827935,cart+20d+combined_rank_based
context_knn_selector,sideway,xgboost,20d,combined_weighted_linear_gated,0.0,0.5,1,32,0,0.9105773684315731,xgboost+20d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_knn_selector,sideway,lightgbm,5d,combined_weighted_linear_gated,0.02,0.5,2,29,0,0.8794524239168167,lightgbm+5d+combined_weighted_linear_gated+rt=0.020+pt=0.50
context_knn_selector,bull,lightgbm,20d,combined_weighted_linear,,,2,28,0,0.9369099853529846,lightgbm+20d+combined_weighted_linear
context_knn_selector,sideway,xgboost,5d,combined_weighted_linear_gated,0.0,0.5,3,24,0,0.8809694587540348,xgboost+5d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_knn_selector,bull,xgboost,5d,combined_weighted_linear_gated,0.0,0.5,1,24,0,0.8466813400281513,xgboost+5d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_knn_selector,sideway,cart,5d,combined_weighted_linear_gated,0.0,0.5,2,23,0,0.8886263683683476,cart+5d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_knn_selector,bear,lightgbm,5d,combined_weighted_linear_gated,0.02,0.5,1,23,0,0.8580938362408621,lightgbm+5d+combined_weighted_linear_gated+rt=0.020+pt=0.50
context_knn_selector,sideway,cart,3d,combined_weighted_linear_gated,0.0,0.5,3,20,0,0.8919147707016808,cart+3d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_knn_selector,sideway,lightgbm,3d,combined_weighted_linear_gated,0.02,0.55,2,19,0,0.8902302656163535,lightgbm+3d+combined_weighted_linear_gated+rt=0.020+pt=0.55
context_knn_selector,sideway,lightgbm,20d,combined_weighted_linear_gated,0.0,0.5,1,15,0,0.8396316720592443,lightgbm+20d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_knn_selector,sideway,xgboost,3d,combined_weighted_linear_gated,0.01,0.55,1,14,0,0.9043018201803001,xgboost+3d+combined_weighted_linear_gated+rt=0.010+pt=0.55
context_knn_selector,bear,cart,5d,combined_weighted_linear_gated,0.0,0.5,1,11,0,0.856714857186023,cart+5d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_knn_selector,bull,xgboost,20d,combined_weighted_linear_gated,0.0,0.5,1,8,0,0.95,xgboost+20d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_knn_selector,sideway,lightgbm,5d,combined_rank_based,,,1,8,8,,lightgbm+5d+combined_rank_based
context_knn_selector,sideway,xgboost,3d,combined_weighted_linear_gated,0.02,0.6,1,8,8,,xgboost+3d+combined_weighted_linear_gated+rt=0.020+pt=0.60
context_knn_selector,bear,xgboost,5d,combined_weighted_linear_gated,0.0,0.5,1,7,0,0.9180346202652301,xgboost+5d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_knn_selector,bull,cart,3d,combined_weighted_linear_gated,0.0,0.5,1,7,0,0.8716141001855287,cart+3d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_knn_selector,bull,cart,5d,predicted_profit_probability,,,1,7,0,0.7974015943933287,cart+5d+predicted_profit_probability
context_knn_selector,bull,lightgbm,5d,combined_weighted_linear_gated,0.02,0.6,1,7,0,0.792537978581397,lightgbm+5d+combined_weighted_linear_gated+rt=0.020+pt=0.60
context_knn_selector,sideway,cart,5d,predicted_profit_probability,,,1,7,0,0.8399119584775055,cart+5d+predicted_profit_probability
context_knn_selector,bull,lightgbm,20d,combined_weighted_linear_gated,0.0,0.5,1,5,0,0.9199928743489035,lightgbm+20d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_knn_selector,sideway,lightgbm,5d,combined_weighted_linear_gated,0.02,0.6,1,4,0,0.9022242008161887,lightgbm+5d+combined_weighted_linear_gated+rt=0.020+pt=0.60
context_knn_selector,bear,lightgbm,3d,combined_weighted_linear_gated,0.02,0.55,1,3,0,0.9288812304918483,lightgbm+3d+combined_weighted_linear_gated+rt=0.020+pt=0.55
context_knn_selector,bull,xgboost,3d,combined_weighted_linear_gated,0.02,0.65,1,3,0,0.8970959595959594,xgboost+3d+combined_weighted_linear_gated+rt=0.020+pt=0.65
context_knn_selector,bull,lightgbm,3d,predicted_profit_probability,,,1,2,0,0.7687499999999999,lightgbm+3d+predicted_profit_probability
context_knn_selector,sideway,xgboost,3d,combined_weighted_linear_gated,0.02,0.65,1,1,0,0.8601147524394178,xgboost+3d+combined_weighted_linear_gated+rt=0.020+pt=0.65
context_meta_score,bull,xgboost,20d,predicted_return,,,3,163,136,0.6212066187801994,xgboost+20d+predicted_return
context_meta_score,sideway,xgboost,20d,predicted_return,,,3,132,32,0.630270242821638,xgboost+20d+predicted_return
context_meta_score,sideway,lightgbm,20d,combined_weighted_linear,,,2,64,0,0.6082231429611935,lightgbm+20d+combined_weighted_linear
context_meta_score,bull,lightgbm,5d,combined_rank_based,,,2,56,52,0.4809737835936274,lightgbm+5d+combined_rank_based
context_meta_score,sideway,cart,20d,predicted_return,,,3,35,0,0.6809128141778708,cart+20d+predicted_return
context_meta_score,sideway,xgboost,20d,predicted_profit_probability,,,2,35,0,0.5954054344769777,xgboost+20d+predicted_profit_probability
context_meta_score,sideway,cart,20d,combined_weighted_linear_gated,0.0,0.5,1,34,0,0.6807561252968001,cart+20d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_meta_score,sideway,cart,5d,combined_weighted_linear_gated,0.0,0.5,2,30,0,0.5857464280834861,cart+5d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_meta_score,sideway,lightgbm,20d,combined_weighted_linear_gated,0.0,0.5,2,27,0,0.5683377719088608,lightgbm+20d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_meta_score,sideway,xgboost,5d,combined_weighted_linear_gated,0.0,0.5,3,24,0,0.5042196051937496,xgboost+5d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_meta_score,sideway,cart,20d,combined_rank_based,,,3,23,0,0.582676068382378,cart+20d+combined_rank_based
context_meta_score,sideway,lightgbm,5d,combined_weighted_linear_gated,0.02,0.5,1,23,0,0.49490346585612244,lightgbm+5d+combined_weighted_linear_gated+rt=0.020+pt=0.50
context_meta_score,bull,cart,20d,predicted_return,,,2,21,0,0.626190709182634,cart+20d+predicted_return
context_meta_score,sideway,cart,3d,combined_weighted_linear_gated,0.0,0.5,3,19,0,0.5593973098527038,cart+3d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_meta_score,sideway,lightgbm,5d,combined_rank_based,,,3,17,8,0.5619971627688882,lightgbm+5d+combined_rank_based
context_meta_score,bull,lightgbm,20d,combined_weighted_linear,,,2,15,0,0.5683765336220274,lightgbm+20d+combined_weighted_linear
context_meta_score,bull,xgboost,20d,predicted_profit_probability,,,2,15,0,0.5642403873176283,xgboost+20d+predicted_profit_probability
context_meta_score,bear,cart,5d,combined_weighted_linear_gated,0.0,0.5,1,15,0,0.5176324155039624,cart+5d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_meta_score,bull,xgboost,5d,combined_weighted_linear_gated,0.0,0.5,1,15,0,0.40333077787505034,xgboost+5d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_meta_score,bull,cart,3d,combined_weighted_linear_gated,0.0,0.5,1,14,0,0.4614731963554424,cart+3d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_meta_score,sideway,cart,3d,predicted_profit_probability,,,1,12,0,0.48736996059671145,cart+3d+predicted_profit_probability
context_meta_score,bull,cart,5d,predicted_profit_probability,,,1,11,0,0.5543481139002974,cart+5d+predicted_profit_probability
context_meta_score,bear,xgboost,5d,combined_weighted_linear_gated,0.0,0.5,1,9,0,0.43093004732983486,xgboost+5d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_meta_score,bull,cart,20d,combined_weighted_linear_gated,0.0,0.5,1,8,0,0.6519670172499852,cart+20d+combined_weighted_linear_gated+rt=0.000+pt=0.50
context_meta_score,sideway,xgboost,3d,combined_weighted_linear_gated,0.01,0.55,1,8,0,0.47854413122878714,xgboost+3d+combined_weighted_linear_gated+rt=0.010+pt=0.55
context_meta_score,sideway,xgboost,3d,combined_weighted_linear_gated,0.02,0.6,1,8,8,,xgboost+3d+combined_weighted_linear_gated+rt=0.020+pt=0.60
