entity_name,selection_family,evaluated_folds,observations,average_actual_return,profit_label_hit_rate,top_3_avg_return,top_3_profit_rate,beats_fixed_best_global_on_avg_return,beats_fixed_best_global_on_top_3_avg_return
fixed_best_classifier_model,baseline,4,636,0.02109620560708195,0.5260831042081042,0.025988837943539976,0.5228629603629603,False,False
fixed_best_combined_method,baseline,4,636,0.02109620560708195,0.5260831042081042,0.026126104697367973,0.5432981682981683,False,False
fixed_best_global_setup,baseline,4,636,0.02109620560708195,0.5260831042081042,0.02616223217448215,0.5323326573326573,False,False
fixed_best_horizon,baseline,4,636,0.02109620560708195,0.5260831042081042,0.02616223217448215,0.5323326573326573,False,False
fixed_best_regression_model,baseline,4,636,0.02109620560708195,0.5260831042081042,0.02616223217448215,0.5323326573326573,False,False
naive_global_baseline,baseline,4,636,0.02109620560708195,0.5260831042081042,0.030682341099838476,0.5661164411164411,False,True
regime_agnostic_top_ranked_setup,baseline,4,636,0.02109620560708195,0.5260831042081042,0.02616223217448215,0.5323326573326573,False,False
context_knn_selector,context_selector,4,908,0.01704090277809927,0.5090683007198404,0.019539365437844926,0.5102086779417659,False,False
context_meta_score,context_selector,4,908,0.016439906045004494,0.4926898940112451,0.017486972739673746,0.4867010998409308,False,False
context_bin_lookup,context_selector,4,908,0.01583167021939233,0.5019928290217273,0.021509059576327413,0.5231853880264253,False,False
