fold_id,fold_number,selector_mode,observations,average_actual_return,profit_label_hit_rate,top_3_avg_return,top_3_profit_rate
fold_002,2,context_bin_lookup,236,0.05174790996827564,0.6483050847457628,0.06118509946569178,0.672316384180791
fold_002,2,context_knn_selector,236,0.05174790996827564,0.6483050847457628,0.06118509946569178,0.672316384180791
fold_002,2,context_meta_score,236,0.05174790996827564,0.6483050847457628,0.06118509946569178,0.672316384180791
fold_003,3,context_bin_lookup,216,0.03601115218735953,0.6712962962962963,0.04414283079826738,0.7283950617283951
fold_003,3,context_knn_selector,216,0.0360510126353236,0.6712962962962963,0.03386598394269287,0.654320987654321
fold_003,3,context_meta_score,216,0.0338892403307339,0.6435185185185185,0.0331688762825272,0.654320987654321
fold_004,4,context_bin_lookup,244,-0.015260591098936337,0.3770491803278688,-0.007550050459694727,0.41530054644808745
fold_004,4,context_knn_selector,244,-0.013848690813714122,0.3770491803278688,-0.011346766617131455,0.39344262295081966
fold_004,4,context_meta_score,244,-0.012168803966324356,0.3770491803278688,-0.014946180668798966,0.34972677595628415
fold_005,5,context_bin_lookup,212,-0.009171790179129507,0.3113207547169811,-0.01174164149895478,0.27672955974842767
fold_005,5,context_knn_selector,212,-0.005786620677488042,0.33962264150943394,-0.005546855039873488,0.32075471698113206
fold_005,5,context_meta_score,212,-0.0077087221526672065,0.3018867924528302,-0.009459904120725025,0.27044025157232704
