seed,seed_dir,artifact,path,exists,row_count
1,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001,run_manifest.json,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001\run_manifest.json,True,1.0
1,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001,summary.md,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001\summary.md,True,
1,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001,scenario_matrix.csv,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001\scenario_matrix.csv,True,1.0
1,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001,model_governance.csv,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001\model_governance.csv,True,5.0
1,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001,full_model_predictions.csv,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001\full_model_predictions.csv,True,336.0
1,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001,forecast_summary.csv,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001\forecast_summary.csv,True,16.0
1,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001,forecast_summary_by_horizon.csv,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001\forecast_summary_by_horizon.csv,True,4.0
1,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001,window_summary.csv,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001\window_summary.csv,True,4.0
1,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001,risk_summary.csv,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001\risk_summary.csv,True,84.0
1,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001,regime_summary.csv,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001\regime_summary.csv,True,84.0
1,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001,signals.csv,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001\signals.csv,True,336.0
1,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001,positions.csv,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001\positions.csv,True,336.0
1,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001,trades.csv,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001\trades.csv,True,21.0
1,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001,strategy_metrics.csv,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001\strategy_metrics.csv,True,4.0
1,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001,equity_curve.csv,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001\equity_curve.csv,True,65.0
1,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001,policy_summary.csv,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001\policy_summary.csv,True,4.0
1,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001,model_execution_log.csv,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001\model_execution_log.csv,True,6.0
