regime_source,frequency,model,horizon,regime,ticker,observation_count,accuracy,reliability,passed_60pct,passed_63pct
exante_proxy,hourly,lightgbm,1,insufficient_history,ACB,5,0.8,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,BID,5,1.0,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,CTG,5,0.8,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,DGC,5,0.8,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,FPT,5,0.8,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,GAS,5,0.8,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,GVR,5,0.8,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,HDB,5,0.8,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,LPB,5,1.0,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,MBB,5,0.8,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,MSN,5,0.6,False,True,False
exante_proxy,hourly,lightgbm,1,insufficient_history,MWG,5,1.0,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,PLX,5,1.0,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,SAB,5,0.8,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,SSB,5,1.0,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,SSI,5,0.8,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,STB,5,1.0,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,TCB,5,0.6,False,True,False
exante_proxy,hourly,lightgbm,1,insufficient_history,TPB,5,0.6,False,True,False
exante_proxy,hourly,lightgbm,1,insufficient_history,VCB,5,0.6,False,True,False
exante_proxy,hourly,lightgbm,1,insufficient_history,VHM,5,0.6,False,True,False
exante_proxy,hourly,lightgbm,1,insufficient_history,VIC,5,0.8,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,VJC,5,0.8,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,VNM,5,1.0,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,VPB,5,0.6,False,True,False
exante_proxy,hourly,lightgbm,1,insufficient_history,VPL,5,1.0,False,True,True
exante_proxy,hourly,lightgbm,1,insufficient_history,VRE,5,0.8,False,True,True
exante_proxy,hourly,lightgbm,1,sideways,ACB,142,0.4788732394366197,True,False,False
exante_proxy,hourly,lightgbm,1,sideways,BID,164,0.4878048780487805,True,False,False
exante_proxy,hourly,lightgbm,1,sideways,CTG,171,0.5146198830409356,True,False,False
exante_proxy,hourly,lightgbm,1,sideways,DGC,169,0.5443786982248521,True,False,False
exante_proxy,hourly,lightgbm,1,sideways,FPT,161,0.5527950310559007,True,False,False
exante_proxy,hourly,lightgbm,1,sideways,GAS,176,0.4602272727272727,True,False,False
exante_proxy,hourly,lightgbm,1,sideways,GVR,175,0.5028571428571429,True,False,False
exante_proxy,hourly,lightgbm,1,sideways,HDB,163,0.5521472392638037,True,False,False
exante_proxy,hourly,lightgbm,1,sideways,LPB,174,0.5229885057471264,True,False,False
exante_proxy,hourly,lightgbm,1,sideways,MBB,153,0.5751633986928104,True,False,False
exante_proxy,hourly,lightgbm,1,sideways,MSN,169,0.4970414201183432,True,False,False
exante_proxy,hourly,lightgbm,1,sideways,MWG,171,0.5263157894736842,True,False,False
exante_proxy,hourly,lightgbm,1,sideways,PLX,172,0.5,True,False,False
exante_proxy,hourly,lightgbm,1,sideways,SAB,168,0.5952380952380952,True,False,False
exante_proxy,hourly,lightgbm,1,sideways,SSB,131,0.6564885496183206,True,True,True
exante_proxy,hourly,lightgbm,1,sideways,SSI,163,0.6257668711656442,True,True,False
exante_proxy,hourly,lightgbm,1,sideways,STB,164,0.6097560975609756,True,True,False
exante_proxy,hourly,lightgbm,1,sideways,TCB,166,0.5,True,False,False
exante_proxy,hourly,lightgbm,1,sideways,TPB,137,0.5328467153284672,True,False,False
exante_proxy,hourly,lightgbm,1,sideways,VCB,151,0.5298013245033113,True,False,False
exante_proxy,hourly,lightgbm,1,sideways,VHM,172,0.5058139534883721,True,False,False
exante_proxy,hourly,lightgbm,1,sideways,VIC,182,0.4725274725274725,True,False,False
