model_name,probability_bucket,bucket_min_probability,bucket_max_probability,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
cart,lt_0.50,0.0,0.5,178,0.20673701486703505,0.39325842696629215,0.1865214120992571
cart,0.50-0.55,0.5,0.55,0,,,
cart,0.55-0.60,0.55,0.6,24,0.5898757140651536,0.5,-0.0898757140651536
cart,0.60-0.65,0.6,0.65,0,,,
cart,0.65+,0.65,1.0,58,0.7907865775958607,0.4482758620689655,-0.34251071552689516
lightgbm,lt_0.50,0.0,0.5,205,0.1882718200423552,0.4146341463414634,0.22636232629910819
lightgbm,0.50-0.55,0.5,0.55,5,0.5236430921511189,0.4,-0.1236430921511189
lightgbm,0.55-0.60,0.55,0.6,6,0.5725767515049213,0.3333333333333333,-0.23924341817158795
lightgbm,0.60-0.65,0.6,0.65,1,0.6118356524879972,0.0,-0.6118356524879972
lightgbm,0.65+,0.65,1.0,43,0.8061311568997761,0.4418604651162791,-0.364270691783497
xgboost,lt_0.50,0.0,0.5,211,0.2142642012475085,0.3933649289099526,0.17910072766244411
xgboost,0.50-0.55,0.5,0.55,4,0.5293769985437393,0.0,-0.5293769985437393
xgboost,0.55-0.60,0.55,0.6,6,0.5687634448210398,0.8333333333333334,0.26456988851229357
xgboost,0.60-0.65,0.6,0.65,7,0.628649149622236,0.5714285714285714,-0.05722057819366455
xgboost,0.65+,0.65,1.0,32,0.7576471399515867,0.5,-0.2576471399515867
