ticker,requested_start,fetched,rows,first_timestamp,last_timestamp,provider,source,frequency,cache_path,stopped_reason
ACB,2024-01-01,true,1376,2023-12-27 13:00:00,2026-05-14 00:00:00,legacy_vnstock;repo_adapter,KBS;VCI,1H,data/market_cache/vnstock_data/vn30/hourly_gateway/ACB.csv,completed
BID,2024-01-01,true,1443,2023-12-27 13:00:00,2026-05-14 00:00:00,legacy_vnstock;repo_adapter,KBS;VCI,1H,data/market_cache/vnstock_data/vn30/hourly_gateway/BID.csv,completed
CTG,2024-01-01,true,1282,2023-12-27 13:00:00,2025-10-16 14:00:00,legacy_vnstock;repo_adapter,KBS;VCI,1H,data/market_cache/vnstock_data/vn30/hourly_gateway/CTG.csv,max_runtime_seconds=3600
DGC,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/DGC.csv,max_runtime_seconds=3600
FPT,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/FPT.csv,max_runtime_seconds=3600
GAS,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/GAS.csv,max_runtime_seconds=3600
GVR,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/GVR.csv,max_runtime_seconds=3600
HDB,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/HDB.csv,max_runtime_seconds=3600
HPG,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/HPG.csv,max_runtime_seconds=3600
LPB,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/LPB.csv,max_runtime_seconds=3600
MBB,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/MBB.csv,max_runtime_seconds=3600
MSN,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/MSN.csv,max_runtime_seconds=3600
MWG,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/MWG.csv,max_runtime_seconds=3600
PLX,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/PLX.csv,max_runtime_seconds=3600
SAB,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/SAB.csv,max_runtime_seconds=3600
SHB,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/SHB.csv,max_runtime_seconds=3600
SSB,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/SSB.csv,max_runtime_seconds=3600
SSI,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/SSI.csv,max_runtime_seconds=3600
STB,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/STB.csv,max_runtime_seconds=3600
TCB,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/TCB.csv,max_runtime_seconds=3600
TPB,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/TPB.csv,max_runtime_seconds=3600
VCB,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/VCB.csv,max_runtime_seconds=3600
VHM,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/VHM.csv,max_runtime_seconds=3600
VIB,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/VIB.csv,max_runtime_seconds=3600
VIC,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/VIC.csv,max_runtime_seconds=3600
VJC,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/VJC.csv,max_runtime_seconds=3600
VNM,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/VNM.csv,max_runtime_seconds=3600
VPB,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/VPB.csv,max_runtime_seconds=3600
VPL,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/VPL.csv,max_runtime_seconds=3600
VRE,2024-01-01,false,0,,,,,,data/market_cache/vnstock_data/vn30/hourly_gateway/VRE.csv,max_runtime_seconds=3600
