ticker,dir_acc_pct,up_precision_pct,train_samples,test_samples
B82,100.0,0.0,20,5
UXC,100.0,0.0,12,3
V15,100.0,0.0,13,4
VHF,100.0,0.0,14,4
BGW,100.0,0.0,22,6
S74,100.0,0.0,68,18
S96,100.0,0.0,20,5
SGT,100.0,100.0,68,18
TET,100.0,0.0,9,3
TBX,100.0,0.0,9,3
AVF,100.0,0.0,30,8
HDO,100.0,0.0,20,6
XDC,100.0,0.0,11,3
CYC,100.0,0.0,8,3
HLA,100.0,0.0,25,7
FUETPVND,100.0,0.0,8,3
GPC,100.0,0.0,68,18
FTM,100.0,100.0,68,18
LKW,100.0,100.0,68,18
KHL,100.0,0.0,16,5
CE1,100.0,0.0,8,2
ICI,100.0,100.0,68,18
FUCTVGF3,100.0,0.0,20,5
SGS,94.44444444444444,100.0,68,18
PVA,94.44444444444444,0.0,68,18
SVT,94.44444444444444,0.0,68,18
SDC,94.44444444444444,100.0,68,18
MCF,94.44444444444444,100.0,68,18
BTW,94.44444444444444,0.0,68,18
PSC,94.44444444444444,100.0,68,18
G20,94.44444444444444,100.0,68,18
HAR,94.44444444444444,83.33333333333334,68,18
HUG,94.44444444444444,100.0,68,18
DTI,94.44444444444444,100.0,68,18
HAS,94.44444444444444,100.0,68,18
HTP,94.44444444444444,0.0,68,18
BSA,94.44444444444444,0.0,68,18
BSH,94.44444444444444,100.0,68,18
MTG,94.44444444444444,0.0,68,18
NDX,94.44444444444444,0.0,68,18
PXA,94.44444444444444,100.0,68,18
DPS,94.44444444444444,0.0,68,18
MBG,94.44444444444444,0.0,68,18
AMV,94.44444444444444,0.0,68,18
SHP,94.44444444444444,100.0,68,18
TOP,94.44444444444444,0.0,68,18
VBB,94.44444444444444,100.0,68,18
VFS,94.44444444444444,0.0,68,18
VTL,94.44444444444444,0.0,68,18
VKC,94.44444444444444,0.0,68,18
PXS,94.44444444444444,100.0,68,18
BMN,94.44444444444444,66.66666666666666,68,18
BNW,92.85714285714286,66.66666666666666,53,14
THS,92.85714285714286,66.66666666666666,53,14
DTV,92.3076923076923,0.0,48,13
DCG,92.3076923076923,100.0,48,13
ISG,90.9090909090909,0.0,40,11
SGB,88.88888888888889,83.33333333333334,68,18
PSE,88.88888888888889,33.33333333333333,68,18
C21,88.88888888888889,81.81818181818183,68,18
LCS,88.88888888888889,0.0,68,18
L61,88.88888888888889,0.0,68,18
CEN,88.88888888888889,0.0,68,18
KTT,88.88888888888889,0.0,68,18
LCM,88.88888888888889,0.0,68,18
CCT,88.88888888888889,0.0,68,18
LUT,88.88888888888889,0.0,68,18
CDN,88.88888888888889,80.0,68,18
PRC,88.88888888888889,0.0,68,18
ONE,88.88888888888889,0.0,68,18
BVB,88.88888888888889,0.0,68,18
HNG,88.88888888888889,0.0,68,18
HKB,88.88888888888889,0.0,68,18
DAS,88.88888888888889,100.0,68,18
DFC,88.88888888888889,100.0,68,18
DGT,88.88888888888889,0.0,68,18
CPC,88.88888888888889,83.33333333333334,68,18
EBS,88.88888888888889,80.0,68,18
HEP,88.88888888888889,0.0,68,18
DIH,88.88888888888889,100.0,68,18
DDG,88.88888888888889,0.0,68,18
HTM,88.88888888888889,71.42857142857143,68,18
HPD,88.88888888888889,100.0,68,18
