fold_id,horizon,regime,model_name,ranking_method,score_column,top_k,return_threshold,probability_threshold,groups_covered,observations,average_actual_return,profit_rate,precision_at_top_k,recall_of_profitable_cases,lift_vs_regime_base_rate,rank_in_regime
fold_004,3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.5,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.55,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.6,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.65,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.5,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.55,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.6,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.65,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.01,0.5,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.01,0.55,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.01,0.6,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.01,0.65,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.5,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.55,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.6,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.65,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.0,0.5,2,2,0.0353126239795665,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.0,0.55,2,2,0.0353126239795665,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.0,0.6,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.0,0.65,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.005,0.5,2,2,0.0353126239795665,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.005,0.55,2,2,0.0353126239795665,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.005,0.6,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.005,0.65,1,1,0.0361005331302359,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.01,0.5,2,2,0.0353126239795665,1.0,1.0,1.0,1.0,1.0
fold_004,3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.01,0.55,2,2,0.0353126239795665,1.0,1.0,1.0,1.0,1.0
