date,market_pe,market_pb,fx_usdvnd,interest_rate,gold_price,oil_price
2025-03-14,13.165352785307274,1.7023582391525265,,,95050.0,67.18
2025-03-15,,,,,95050.0,
2025-03-16,,,24794.0,,,
2025-03-17,13.263777753970954,1.7153317177819771,,4.18,95450.0,67.58
2025-03-18,13.210795996016383,1.7084414301346786,24790.0,,97450.0,66.75
2025-03-19,13.147344392107996,1.7003046099204708,,,98750.0,66.91
2025-03-20,13.141229761217625,1.699461964206306,24813.0,,98800.0,68.07
2025-03-21,13.120328774391886,1.6968555609218834,,,96200.0,68.28
2025-03-22,,,,,95900.0,
2025-03-23,,,24831.0,,,
2025-03-24,13.204490663320447,1.7078318546571036,24847.0,,96350.0,69.11
2025-03-25,13.22085601035905,1.7099293333918373,24851.0,,96900.0,69.0
2025-03-26,13.163229106282056,1.7024744538290608,24846.0,,97550.0,69.65
2025-03-27,13.14043644660835,1.6995142273517678,,,98150.0,69.92
2025-03-28,13.078278959983189,1.691296812919967,,,99200.0,69.36
2025-03-29,,,,,99550.0,
2025-03-31,12.962555803133817,1.679163513960561,24835.0,,100650.0,71.48
2025-04-01,13.049196756871412,1.6922673539531539,24851.0,,100750.0,71.2
2025-04-02,13.042761131283928,1.6932021357450593,24854.0,,100450.0,71.71
2025-04-03,12.195252962515923,1.5800551411670776,24886.0,,100850.0,66.95
2025-04-04,12.003914777017714,1.5554882585847043,24886.0,,100050.0,61.99
2025-04-05,,,,,98600.0,
2025-04-07,,,,,,60.7
2025-04-08,11.231747266063735,1.4555819418172362,,,98950.0,59.58
2025-04-09,10.859856135444806,1.4061567552182257,24964.0,,100800.0,62.35
2025-04-10,11.594665265971612,1.5013017980101189,24923.0,,102100.0,60.07
2025-04-11,12.136783740773334,1.5708341131993444,24923.0,,103700.0,61.5
2025-04-12,,,,,104750.0,
2025-04-14,12.325831803924853,1.5950383989991288,,,106250.0,61.53
2025-04-15,12.186329024948769,1.5775149236605979,,,106750.0,61.33
2025-04-16,12.012700814856931,1.5550147474052038,,,114250.0,62.47
