date,industry,ret,sector_dispersion,sector_member_count
2020-11-03,Bán buôn,,,
2020-11-04,Bán buôn,0.0,,
2020-11-10,Bán buôn,0.0,,
2020-11-11,Bán buôn,0.0216346153846154,,
2020-11-18,Bán buôn,0.0,,
2020-11-19,Bán buôn,-0.0024570024570026,,
2020-11-20,Bán buôn,0.0024630541871923,,
2020-11-23,Bán buôn,0.0,,
2020-11-24,Bán buôn,-0.0067567567567566,,
2020-11-30,Bán buôn,-0.0627518710420265,,
2020-12-01,Bán buôn,-0.0042997542997542,,
2020-12-02,Bán buôn,-0.0178901912399753,,
2020-12-04,Bán buôn,-0.0364321608040201,,
2020-12-10,Bán buôn,0.0091683038637853,,
2020-12-18,Bán buôn,0.0096962907642519,,
2021-10-29,Bán buôn,0.0058229895541006,,
2023-02-07,Bán buôn,-0.0110074169469314,,
2024-06-17,Bán buôn,0.0046985693854919,,
2025-02-14,Bán buôn,-0.0005384753959330596,0.01853648915648929,39.0
2025-02-17,Bán buôn,0.0015308321084755848,0.022748233280190214,38.0
2025-02-18,Bán buôn,0.009075988326786775,0.021457021209915314,40.0
2025-02-19,Bán buôn,0.0069310488997092745,0.03099217029942874,40.0
2025-02-20,Bán buôn,0.006775501274713816,0.034752064905662114,40.0
2025-02-21,Bán buôn,0.00745907468201575,0.03060184467186083,42.0
2025-02-24,Bán buôn,0.005526088935870588,0.03667346379291538,40.0
2025-02-25,Bán buôn,0.006148075245951982,0.03396339004242279,39.0
2025-02-26,Bán buôn,0.007288846039584059,0.03249472505250624,38.0
2025-02-27,Bán buôn,0.0053869532259721116,0.030432200849515475,41.0
2025-02-28,Bán buôn,-0.001186765574005311,0.02950690262507207,41.0
2025-03-03,Bán buôn,-0.006585033832320296,0.020964418920888028,39.0
2025-03-04,Bán buôn,0.0020975131349555876,0.026152147169330498,39.0
2025-03-05,Bán buôn,-0.0062751016113877876,0.02788777173740286,40.0
2025-03-06,Bán buôn,0.014377940252249404,0.02553086513043677,38.0
2025-03-07,Bán buôn,0.000462175371314949,0.028139342359750276,40.0
2025-03-10,Bán buôn,-0.007716043301956641,0.025253590228783613,38.0
2025-03-11,Bán buôn,0.003458885136261159,0.023095572916412184,39.0
2025-03-12,Bán buôn,-0.002501923020269352,0.021099553131332372,39.0
2025-03-13,Bán buôn,-0.0052314106233993934,0.025005392060817366,39.0
2025-03-14,Bán buôn,-0.005208918789455255,0.016933622096033087,40.0
2025-03-17,Bán buôn,3.772346125036367e-07,0.023096799616557903,38.0
2025-03-18,Bán buôn,-0.0054997598130837105,0.026515089584286243,38.0
2025-03-19,Bán buôn,-0.001102499741320606,0.020882992788530935,40.0
2025-03-20,Bán buôn,-0.0004520578182084044,0.018001400020348064,38.0
2025-03-21,Bán buôn,-7.560695253115146e-05,0.026848482062506052,40.0
2025-03-24,Bán buôn,-0.005233262936263203,0.021692204561862365,38.0
2025-03-25,Bán buôn,-0.003240495443737225,0.023516936392670437,39.0
2025-03-26,Bán buôn,0.00045442782669048503,0.024388764826807775,38.0
