date,foreign_buy_value,foreign_buy_volume,foreign_sell_value,foreign_sell_volume,foreign_total_room,foreign_current_room,foreign_room_pct,foreign_owned_pct,foreign_available_pct,foreign_net_volume,foreign_net_value,ticker
2026-02-23,98404775000.0,4101600.0,141849103900.0,5913900.0,1540996979.0,141543993.0,0.3,0.27244433,0.02755567,-1812300.0,-43444328900.0,ACB
2026-02-24,239984093743.0,9985239.0,195671285493.0,8141634.0,1540996979.0,144332488.0,0.3,0.27190147,0.02809853,1843605.0,44312808250.0,ACB
2026-02-25,95250421450.0,3916561.0,80160302750.0,3293965.0,1540996979.0,145522192.0,0.3,0.27166986,0.02833014,622596.0,15090118700.0,ACB
2026-02-26,78004919400.0,3193251.0,119656191500.0,4905670.0,1540996979.0,145522192.0,0.3,0.27166986,0.02833014,-1712419.0,-41651272100.0,ACB
2026-02-27,165007390000.0,6744100.0,67475372500.0,2760304.0,1540996979.0,141538396.0,0.3,0.27244542,0.02755458,3983796.0,97532017500.0,ACB
2026-03-02,13790250000.0,573100.0,50367645000.0,2093900.0,1540996979.0,141538396.0,0.3,0.27244542,0.02755458,-1520800.0,-36577395000.0,ACB
2026-03-03,4627720000.0,193900.0,117598415000.0,4930600.0,1540996979.0,143250815.0,0.3,0.27211205,0.02788795,-4736700.0,-112970695000.0,ACB
2026-03-04,151666035000.0,6507800.0,136838905000.0,5872020.0,1540996979.0,144135835.0,0.3,0.27193976,0.02806024,635780.0,14827130000.0,ACB
2026-03-05,17586845000.0,749930.0,38957878000.0,1662228.0,1540996979.0,148872535.0,0.3,0.27101762,0.02898238,-912298.0,-21371033000.0,ACB
2026-03-06,21400430000.0,914800.0,34122675000.0,1457300.0,1540996979.0,148872535.0,0.3,0.27101762,0.02898238,-542500.0,-12722245000.0,ACB
2026-03-09,30263203100.0,1389711.0,73446825000.0,3366200.0,1540996979.0,149784833.0,0.3,0.27084001,0.02915999,-1976489.0,-43183621900.0,ACB
2026-03-10,117561900200.0,5281302.0,25028025000.0,1107800.0,1540996979.0,146153831.0,0.3,0.27154689,0.02845311,4173502.0,92533875200.0,ACB
2026-03-11,186167998200.0,7970801.0,69545655000.0,2992200.0,1540996979.0,143151719.0,0.3,0.27213134,0.02786866,4978601.0,116622343200.0,ACB
2026-03-12,76755782900.0,3343701.0,84191050000.0,3665600.0,1540996979.0,143151719.0,0.3,0.27213134,0.02786866,-321899.0,-7435267100.0,ACB
2026-03-13,176102810000.0,7548600.0,56639410000.0,2437600.0,1540996979.0,138044519.0,0.3,0.27312561,0.02687439,5111000.0,119463400000.0,ACB
2026-03-16,101520640350.0,4344321.0,68074750000.0,2920700.0,1540996979.0,136942797.0,0.3,0.27334009,0.02665991,1423621.0,33445890350.0,ACB
