ticker,industry_code,industry
BIC,2,Bảo hiểm
BMI,2,Bảo hiểm
BVH,2,Bảo hiểm
MIG,2,Bảo hiểm
PGI,2,Bảo hiểm
PRE,2,Bảo hiểm
PTI,2,Bảo hiểm
PVI,2,Bảo hiểm
VNR,2,Bảo hiểm
DHP,27,Thiết bị điện
DQC,27,Thiết bị điện
GEE,27,Thiết bị điện
GEX,27,Thiết bị điện
KSD,27,Thiết bị điện
MBG,27,Thiết bị điện
PAC,27,Thiết bị điện
PHN,27,Thiết bị điện
POT,27,Thiết bị điện
RAL,27,Thiết bị điện
SAM,27,Thiết bị điện
TSB,27,Thiết bị điện
TYA,27,Thiết bị điện
VTB,27,Thiết bị điện
VTH,27,Thiết bị điện
INC,28,"Dịch vụ tư vấn, hỗ trợ"
PPE,28,"Dịch vụ tư vấn, hỗ trợ"
SDC,28,"Dịch vụ tư vấn, hỗ trợ"
TV2,28,"Dịch vụ tư vấn, hỗ trợ"
TV3,28,"Dịch vụ tư vấn, hỗ trợ"
TV4,28,"Dịch vụ tư vấn, hỗ trợ"
VNC,28,"Dịch vụ tư vấn, hỗ trợ"
AAA,18,SX Nhựa - Hóa chất
ABS,18,SX Nhựa - Hóa chất
ADP,18,SX Nhựa - Hóa chất
ALT,18,SX Nhựa - Hóa chất
APH,18,SX Nhựa - Hóa chất
BBS,18,SX Nhựa - Hóa chất
BFC,18,SX Nhựa - Hóa chất
BMP,18,SX Nhựa - Hóa chất
BPC,18,SX Nhựa - Hóa chất
BXH,18,SX Nhựa - Hóa chất
CPC,18,SX Nhựa - Hóa chất
CSV,18,SX Nhựa - Hóa chất
DCM,18,SX Nhựa - Hóa chất
DGC,18,SX Nhựa - Hóa chất
DNP,18,SX Nhựa - Hóa chất
DPM,18,SX Nhựa - Hóa chất
DPR,18,SX Nhựa - Hóa chất
DTT,18,SX Nhựa - Hóa chất
GVR,18,SX Nhựa - Hóa chất
HCD,18,SX Nhựa - Hóa chất
HDA,18,SX Nhựa - Hóa chất
HII,18,SX Nhựa - Hóa chất
HRC,18,SX Nhựa - Hóa chất
HVT,18,SX Nhựa - Hóa chất
LAS,18,SX Nhựa - Hóa chất
LIX,18,SX Nhựa - Hóa chất
NET,18,SX Nhựa - Hóa chất
NFC,18,SX Nhựa - Hóa chất
NTP,18,SX Nhựa - Hóa chất
PBP,18,SX Nhựa - Hóa chất
PCE,18,SX Nhựa - Hóa chất
PCH,18,SX Nhựa - Hóa chất
PGN,18,SX Nhựa - Hóa chất
PHR,18,SX Nhựa - Hóa chất
PLP,18,SX Nhựa - Hóa chất
PMB,18,SX Nhựa - Hóa chất
PMP,18,SX Nhựa - Hóa chất
PSW,18,SX Nhựa - Hóa chất
SDG,18,SX Nhựa - Hóa chất
SDN,18,SX Nhựa - Hóa chất
SFG,18,SX Nhựa - Hóa chất
SFN,18,SX Nhựa - Hóa chất
SPC,18,SX Nhựa - Hóa chất
STP,18,SX Nhựa - Hóa chất
TDP,18,SX Nhựa - Hóa chất
TNC,18,SX Nhựa - Hóa chất
TPC,18,SX Nhựa - Hóa chất
TPP,18,SX Nhựa - Hóa chất
TRC,18,SX Nhựa - Hóa chất
VAF,18,SX Nhựa - Hóa chất
VBC,18,SX Nhựa - Hóa chất
VPS,18,SX Nhựa - Hóa chất
VTZ,18,SX Nhựa - Hóa chất
AMC,10,Khai khoáng
BKC,10,Khai khoáng
BMC,10,Khai khoáng
C32,10,Khai khoáng
CLM,10,Khai khoáng
CST,10,Khai khoáng
DHA,10,Khai khoáng
DHM,10,Khai khoáng
HGM,10,Khai khoáng
HLC,10,Khai khoáng
HMR,10,Khai khoáng
KSB,10,Khai khoáng
KSV,10,Khai khoáng
MDC,10,Khai khoáng
MDG,10,Khai khoáng
MIC,10,Khai khoáng
MVB,10,Khai khoáng
NBC,10,Khai khoáng
NNC,10,Khai khoáng
PVB,10,Khai khoáng
PVC,10,Khai khoáng
PVD,10,Khai khoáng
PVS,10,Khai khoáng
TD6,10,Khai khoáng
THT,10,Khai khoáng
TMB,10,Khai khoáng
TNT,10,Khai khoáng
TVD,10,Khai khoáng
AAV,3,Bất động sản
AGG,3,Bất động sản
API,3,Bất động sản
BAX,3,Bất động sản
BCE,3,Bất động sản
BCM,3,Bất động sản
CCL,3,Bất động sản
CDC,3,Bất động sản
CEO,3,Bất động sản
CIG,3,Bất động sản
CKG,3,Bất động sản
CRE,3,Bất động sản
CRV,3,Bất động sản
CSC,3,Bất động sản
D11,3,Bất động sản
D2D,3,Bất động sản
DIG,3,Bất động sản
DRH,3,Bất động sản
DTA,3,Bất động sản
DTD,3,Bất động sản
DXG,3,Bất động sản
DXS,3,Bất động sản
EVG,3,Bất động sản
FDC,3,Bất động sản
FIR,3,Bất động sản
HAR,3,Bất động sản
HDC,3,Bất động sản
HDG,3,Bất động sản
HLD,3,Bất động sản
HPX,3,Bất động sản
HQC,3,Bất động sản
HU1,3,Bất động sản
ICG,3,Bất động sản
IDJ,3,Bất động sản
IDV,3,Bất động sản
IJC,3,Bất động sản
ITC,3,Bất động sản
KBC,3,Bất động sản
KDH,3,Bất động sản
KHG,3,Bất động sản
KOS,3,Bất động sản
KSF,3,Bất động sản
L14,3,Bất động sản
LDG,3,Bất động sản
LGL,3,Bất động sản
LHG,3,Bất động sản
NBB,3,Bất động sản
NDN,3,Bất động sản
NHA,3,Bất động sản
NLG,3,Bất động sản
NRC,3,Bất động sản
NTC,3,Bất động sản
NTL,3,Bất động sản
NVL,3,Bất động sản
PDR,3,Bất động sản
PTL,3,Bất động sản
PV2,3,Bất động sản
QCG,3,Bất động sản
RCL,3,Bất động sản
SCR,3,Bất động sản
SDU,3,Bất động sản
SGR,3,Bất động sản
SJS,3,Bất động sản
SZB,3,Bất động sản
SZC,3,Bất động sản
SZL,3,Bất động sản
TAL,3,Bất động sản
TCH,3,Bất động sản
TDC,3,Bất động sản
TDH,3,Bất động sản
TIG,3,Bất động sản
TIP,3,Bất động sản
TIX,3,Bất động sản
TN1,3,Bất động sản
V21,3,Bất động sản
VC3,3,Bất động sản
VC7,3,Bất động sản
VHM,3,Bất động sản
VIC,3,Bất động sản
VPH,3,Bất động sản
VPI,3,Bất động sản
VRC,3,Bất động sản
VRE,3,Bất động sản
VTJ,3,Bất động sản
AME,24,Xây dựng
BCG,24,Xây dựng
C47,24,Xây dựng
C69,24,Xây dựng
CCC,24,Xây dựng
CII,24,Xây dựng
CMS,24,Xây dựng
CTD,24,Xây dựng
CTI,24,Xây dựng
CX8,24,Xây dựng
DC2,24,Xây dựng
DC4,24,Xây dựng
DIH,24,Xây dựng
DPG,24,Xây dựng
FCN,24,Xây dựng
HAS,24,Xây dựng
HHV,24,Xây dựng
HTI,24,Xây dựng
HTN,24,Xây dựng
HUB,24,Xây dựng
HUT,24,Xây dựng
HVH,24,Xây dựng
L10,24,Xây dựng
L18,24,Xây dựng
L40,24,Xây dựng
LCD,24,Xây dựng
LCG,24,Xây dựng
LGC,24,Xây dựng
LHC,24,Xây dựng
LIG,24,Xây dựng
LM8,24,Xây dựng
MCO,24,Xây dựng
MST,24,Xây dựng
NDX,24,Xây dựng
PC1,24,Xây dựng
PEN,24,Xây dựng
PHC,24,Xây dựng
PPS,24,Xây dựng
PTC,24,Xây dựng
PTD,24,Xây dựng
QTC,24,Xây dựng
REE,24,Xây dựng
S55,24,Xây dựng
S99,24,Xây dựng
SC5,24,Xây dựng
SCG,24,Xây dựng
SCI,24,Xây dựng
SD5,24,Xây dựng
SD9,24,Xây dựng
SJE,24,Xây dựng
SRF,24,Xây dựng
TA9,24,Xây dựng
TCD,24,Xây dựng
THD,24,Xây dựng
TSA,24,Xây dựng
TTL,24,Xây dựng
V12,24,Xây dựng
VC1,24,Xây dựng
VC2,24,Xây dựng
VC6,24,Xây dựng
