Meta_CP,Meta_Năm,Meta_Kỳ,Chỉ tiêu cơ cấu nguồn vốn_(Vay NH+DH)/VCSH,Chỉ tiêu cơ cấu nguồn vốn_Nợ/VCSH,Chỉ tiêu cơ cấu nguồn vốn_TSCĐ / Vốn CSH,Chỉ tiêu cơ cấu nguồn vốn_Vốn CSH/Vốn điều lệ,Chỉ tiêu hiệu quả hoạt động_Vòng quay tài sản,Chỉ tiêu hiệu quả hoạt động_Vòng quay TSCĐ,Chỉ tiêu hiệu quả hoạt động_Số ngày thu tiền bình quân,Chỉ tiêu hiệu quả hoạt động_Số ngày tồn kho bình quân,Chỉ tiêu hiệu quả hoạt động_Số ngày thanh toán bình quân,Chỉ tiêu hiệu quả hoạt động_Chu kỳ tiền,Chỉ tiêu hiệu quả hoạt động_Vòng quay hàng tồn kho,Chỉ tiêu khả năng sinh lợi_Biên EBIT (%),Chỉ tiêu khả năng sinh lợi_Biên lợi nhuận gộp (%),Chỉ tiêu khả năng sinh lợi_Biên lợi nhuận ròng (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Tỷ đồng),Chỉ tiêu khả năng sinh lợi_EBIT (Tỷ đồng),Chỉ tiêu khả năng sinh lợi_Tỷ suất cổ tức (%),Chỉ tiêu thanh khoản_Chỉ số thanh toán hiện thời,Chỉ tiêu thanh khoản_Chỉ số thanh toán tiền mặt,Chỉ tiêu thanh khoản_Chỉ số thanh toán nhanh,Chỉ tiêu thanh khoản_Khả năng chi trả lãi vay,Chỉ tiêu thanh khoản_Đòn bẩy tài chính,Chỉ tiêu định giá_Vốn hóa (Tỷ đồng),Chỉ tiêu định giá_Số CP lưu hành (Triệu CP),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA,ticker_
NTC,2016,4,0.28500533510000003,6.003568398,0.06839157450650879,1.2592016943055786,0.0766108298,7.4929076602,22.506332294496296,6.031014409,186.9732713646,215.5106180680963,60.5204987497,1.0203476524181376,1.3318828401971827,1.4619551210562745,0.4944373853,0.0,0.0682633679,112116703245.0,58549335652.0,0.0291772029,1.5247590931,0.1421902568,1.5217138093,-12.728737990363026,7.003568398039222,822560000000.0,16000000.0,6.2690003382,2.7218325745,5.5859344896,1.4673215474,5243.09661075,18888.0096745625,7.8717027712,NTC
NTC,2016,3,0.0,0.0,0.0806976823569816,1.0063894362870303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25915280704856974,0.5988503583988064,0.5144978349701624,0.0,0.0,0.0,0.0,7055946788.0,0.0,0.0,0.0,0.0,-7.889667680151471,8.230124131978528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NTC
NTC,2016,2,0.0,0.0,0.08971744804820223,0.9480218073473394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12739763645517302,0.4760249202046289,0.5252636383898912,0.0,0.0,0.0,0.0,4474389101.0,0.0,0.0,0.0,0.0,-2.2143377970362685,8.269600611795216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NTC
NTC,2016,1,0.0,0.0,0.07326132283109689,1.010913201894335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37430775326902027,0.6197051752192047,0.5115123186076396,0.0,0.0,0.0,0.0,10302972433.0,0.0,0.0,0.0,0.0,-3.9947455950491677,7.436865874765011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NTC
SSI,2013,4,0.0684754998,0.4539905391,0.025808944395654784,0.2102685327072651,0.0926872591,5.1823267042,355.0566733679966,,5.5148900426,360.5715634105966,,0.0,0.38872987610317006,0.330588376712896,0.0801331434,0.0,0.0533018166,529982745073.0,0.0,,1.8978560392,1.5005571156,1.8978560392,0.0,1.4698217908984366,10206768051300.0,350748043.0,24.382169525,1.9470456794,14.0406557359,-5506.2288362919,192.68672012234148,14945.7202302281,16.4667806552,SSI
SSI,2013,3,0.0144616825,0.614577393,0.026623220573651466,0.20757961039132006,0.0938568954,5.6372068229,198.48806282822244,,5.1165848356,203.60464766382245,,0.0,0.5130688015197132,0.5317839184328317,0.0989522904,19.5655370925,0.0607636207,584845046822.0,0.0,,1.6189862938,1.3859289662,1.6189862938,0.0,1.6307048552218164,7190334881500.0,350748043.0,13.9317526658,1.3893977917,9.0396446096,-73.6105215657,268.58066921274315,14754.5937685645,8.0757291755,SSI
SSI,2013,2,0.0,0.7598072005,0.02769778329565084,0.20388487380431575,0.094971328,5.5712660896,181.29703095415,,4.5359970656,185.83302801974997,,0.0,0.37886281334551003,0.536112769896303,0.0901899388,15.8433129627,0.0553691488,528961322809.0,0.0,,1.4914314697,1.3732480113,1.4914314697,0.0,1.7762094486880298,5822417513800.0,350748043.0,12.4541850457,1.1554120172,7.2834003769,13.2637963963,273.0342002364358,14367.1692458113,5.5037269578,SSI
SSI,2013,1,0.0300180768,0.5591244379,0.02619591011295289,0.21526824181117754,0.1036326732,5.8186502304,181.79428849749522,,3.9560727227,185.7503612201952,,0.0,0.6143600949820502,0.9625813695528413,0.0854839568,17.274937628,0.0535059217,497517569131.0,0.0,,1.7258305697,1.4868066413,1.7258305697,0.0,1.5746404244051848,6348539578300.0,350748043.0,14.3819941455,1.1931977068,7.4548458885,8.3410902795,457.56478977132883,15169.3218120625,7.9600359965,SSI
HPG,2013,4,0.9901982087,1.4198898082,0.9672941149963367,0.12374184782128772,0.8996592501,2.3384012258,23.219636914126365,173.8978507829,44.7149083666,241.8323960636264,2.0989333586,0.10751600585779364,0.16892817870271945,0.07578622353331955,0.2222503448,10.3810741129,0.092852845,3485547610569.0,694583580112.0,0.0275229357,1.1130797859,0.2255428525,0.3924551625,-5.584679859373009,2.4175369575020373,22838363048500.0,419052533.0,11.6868839893,2.4039554045,1.2061904858,7.0623204929,1168.3506015223156,22670.9696428848,8.1159195749,HPG
HPG,2013,3,1.0118341233,1.4140252729,0.9940104843834721,0.11863239438299866,0.8167818322,2.0605070096,22.786273674898037,191.4371701979,43.5138619477,257.737305820498,1.906630774,0.1601235892252251,0.15661436006490978,0.11826121120733636,0.1860628802,16.0636804316,0.0801533434,2876214775511.0,671694028595.0,0.0,1.1411524026,0.2063442714,0.3735989212,-8.454521401773771,2.474143584868444,19276416518000.0,419052533.0,11.7556425635,2.1169873447,1.1536177939,23.707439225,1183.831859259994,21728.9914909928,8.4900093962,HPG
HPG,2013,2,0.9324829326,1.2836397076,0.9507828583170097,0.11762537646641645,0.8607663929,2.2389522415,24.002683190747252,181.3646504289,37.1581357896,242.52546940924728,2.0125200756,0.16257953989679216,0.1923582421034448,0.1177466015341546,0.1645572026,12.5366549455,0.0745610226,2640200733032.0,706390970473.0,0.0,1.2074788863,0.1723083875,0.3758627804,-9.09327470080162,2.342912129521864,15043985934700.0,419052533.0,10.5006215075,1.6663151705,0.9097344578,13.1965343076,1220.8411520590905,21544.5436944656,7.5656362421,HPG
HPG,2013,1,0.8817595073,1.1248845341,0.856586891832473,0.11768223135693957,0.910482107,2.4665002022,25.465823840885232,173.1829051225,33.615221247,232.26395021038522,2.1075983206,0.1359311784844233,0.17579412369717523,0.11614152888827749,0.1486068009,10.3366291473,0.0684342897,2541511882180.0,534789869438.0,0.0,1.5548631765,0.1674290811,0.4896406109,-6.570535119177887,2.124884534142773,12403954976800.0,419052533.0,9.8513146635,1.3732339846,0.7424712052,16.3114866174,1090.393259961514,21554.9573714282,6.8776797089,HPG
FPT,2013,2,0.5110097808,1.0627016724,0.4003470996805938,0.4103192445627587,2.5852378256,14.6058090419,27.96644999518066,31.8975071946,17.7383455631,77.60230275288066,11.4429004678,0.07290287110660885,0.14622154884356303,0.047639128202394986,0.2460781746,0.0,0.10866635,2980853142208.0,680662144290.0,0.0333333333,1.572402642,0.492150244,1.1528915835,-22.73702176240896,2.2208587284384604,12380372055000.0,275119379.0,7.8518400007,1.771731363,0.3271931369,49.7399300561,1616.7005571933921,25398.8843565333,4.6121607876,FPT
FPT,2013,1,0.443069726,0.9992586082,0.42041093343290564,0.38325862605261163,2.6585934826,15.6849741212,26.01840770805332,31.6146354967,15.3474484059,72.98049161065332,11.5452857281,0.06410132880501013,0.1385635236591096,0.04161201899122865,0.2497580693,0.0,0.1085234676,3099733991994.0,551979062724.0,0.0,1.5762018512,0.4384745015,1.0976996952,-15.512956659341242,2.153371687346669,11857645234900.0,275119379.0,7.5467254396,1.8078078712,0.3106684426,309.1434189582,1302.426361125219,23841.0290638449,4.1265651835,FPT
