ticker,date,sentiment_avg,news_volume,sentiment_std
ANV,2026-03-29,0.8,1,0.0
ASM,2026-03-29,0.65,1,0.0
BAF,2026-03-29,-0.75,1,0.0
BCG,2026-03-29,0.75,1,0.0
BCM,2026-03-29,0.75,1,0.0
BID,2026-03-29,0.75,1,0.0
BMP,2026-03-29,0.85,1,0.0
BVH,2026-03-29,0.75,1,0.0
BWE,2026-03-29,0.75,1,0.0
CII,2026-03-29,0.85,1,0.0
CMG,2026-03-29,0.75,1,0.0
CTD,2026-03-29,0.85,1,0.0
CTG,2026-03-29,0.75,1,0.0
CTR,2026-03-29,0.85,1,0.0
DBC,2026-03-29,0.75,1,0.0
DCM,2026-03-29,0.85,1,0.0
DGC,2026-03-29,0.0,2,0.9192388155425119
DGW,2026-03-29,0.75,1,0.0
DIG,2026-03-29,0.75,1,0.0
DPM,2026-03-29,0.85,1,0.0
DPR,2026-03-29,0.65,1,0.0
DXG,2026-03-29,0.65,1,0.0
EIB,2026-03-29,0.75,1,0.0
FCN,2026-03-29,0.75,1,0.0
FPT,2026-03-29,0.75,1,0.0
FRT,2026-03-29,0.85,1,0.0
FTS,2026-03-29,0.15,1,0.0
GAS,2026-03-29,0.65,1,0.0
GEX,2026-03-29,0.85,1,0.0
GIL,2026-03-29,0.75,1,0.0
GMD,2026-03-29,0.75,1,0.0
GVR,2026-03-29,0.65,1,0.0
HAG,2026-03-29,0.85,1,0.0
HAH,2026-03-29,0.75,1,0.0
HCM,2026-03-29,0.75,1,0.0
HDB,2026-03-29,0.85,1,0.0
HDC,2026-03-29,0.85,1,0.0
HDG,2026-03-29,0.65,1,0.0
HHV,2026-03-29,0.75,1,0.0
HPG,2026-03-29,0.8,2,0.0707106781186547
HSG,2026-03-29,0.75,1,0.0
HT1,2026-03-29,0.85,1,0.0
IJC,2026-03-29,0.75,1,0.0
KBC,2026-03-29,0.75,1,0.0
KDC,2026-03-29,0.65,1,0.0
KDH,2026-03-29,0.75,1,0.0
LCG,2026-03-29,0.75,1,0.0
MSB,2026-03-29,0.75,1,0.0
MSN,2026-03-29,0.85,1,0.0
MWG,2026-03-29,0.85,1,0.0
NKG,2026-03-29,-0.65,1,0.0
NLG,2026-03-29,0.65,1,0.0
NVL,2026-03-29,0.65,1,0.0
PC1,2026-03-29,0.75,1,0.0
PDR,2026-03-29,0.65,1,0.0
PET,2026-03-29,0.75,1,0.0
PHR,2026-03-29,0.75,1,0.0
PLX,2026-03-29,0.75,1,0.0
PNJ,2026-03-29,0.75,1,0.0
POW,2026-03-29,0.1,1,0.0
PTB,2026-03-29,0.75,1,0.0
PVD,2026-03-29,0.75,1,0.0
PVT,2026-03-29,0.75,1,0.0
SAB,2026-03-29,0.65,1,0.0
SBT,2026-03-29,0.75,1,0.0
SHB,2026-03-29,0.85,1,0.0
SSB,2026-03-29,0.75,1,0.0
SZC,2026-03-29,0.85,1,0.0
TCB,2026-03-29,0.65,1,0.0
TCH,2026-03-29,0.15,1,0.0
TNH,2026-03-29,0.65,1,0.0
TPB,2026-03-29,0.85,1,0.0
VCB,2026-03-29,0.65,1,0.0
VCG,2026-03-29,0.75,1,0.0
VCI,2026-03-29,0.75,1,0.0
VGC,2026-03-29,0.65,1,0.0
VGI,2026-03-29,0.85,2,0.0
VHC,2026-03-29,0.65,1,0.0
VHM,2026-03-29,0.85,1,0.0
VIB,2026-03-29,0.85,1,0.0
VJC,2026-03-29,0.85,1,0.0
VND,2026-03-29,0.75,1,0.0
VNM,2026-03-29,0.85,1,0.0
VPB,2026-03-29,0.85,1,0.0
VPI,2026-03-29,0.75,1,0.0
VRE,2026-03-29,0.85,1,0.0
VSH,2026-03-29,-0.65,1,0.0
VTK,2026-03-29,0.75,1,0.0
VTP,2026-03-29,0.75,1,0.0
