date,m_ret
2017-05-23,
2017-05-24,-0.05756319115323849
2017-05-25,0.011943425877422698
2017-05-26,0.011698933637022346
2017-05-29,0.007777322963569366
2017-05-30,0.0077173030056862935
2017-05-31,0.00765820233776715
2017-06-01,0.0
2017-06-02,-0.06440000000000001
2017-06-05,-0.020307823856348883
2017-06-06,0.004145756054986016
2017-06-07,0.002498913515862622
2017-06-08,-0.06979516635959682
2017-06-09,-0.06967260864499591
2017-06-12,0.06925485284909216
2017-06-13,0.06921995783555879
2017-06-14,-0.06977763172308038
2017-06-15,-0.06959491285916153
2017-06-16,-0.06999114036197951
2017-06-19,-0.06899836690255856
2017-06-20,-0.06651074404326851
2017-06-21,0.008299404948324485
2017-06-22,0.0035719832272091967
2017-06-23,0.008201795109873178
2017-06-26,0.005832693783576204
2017-06-27,0.005798870746223095
2017-06-28,0.005765437718100674
2017-06-29,0.005581535676572491
2017-06-30,0.00570057005700586
2017-07-03,0.005668257756563211
2017-07-04,0.0072678730347077725
2017-07-05,0.006184656162568025
2017-07-06,0.00614664129957565
2017-07-07,0.005963636363636393
2017-07-10,0.006072874493927127
2017-07-11,0.006036217303822866
2017-07-12,0.005857142857142783
2017-07-13,0.005965061780996983
2017-07-14,0.005929690808979204
2017-07-17,0.008140350877192892
2017-07-18,0.009327579005986353
2017-07-19,0.005655172413792986
2017-07-20,0.005760526676724664
2017-07-21,0.005727533069685098
2017-07-24,0.005559322033898306
2017-07-25,0.005663430420711935
2017-07-26,0.005631536604987941
2017-07-27,0.005466666666666731
2017-07-28,0.005569553109667114
2017-07-31,0.005538704998022004
2017-08-01,0.005377049180327775
2017-08-02,0.005478737281502832
2017-08-03,0.005448884276076926
2017-08-04,0.0052903225806451015
2017-08-07,0.005390835579514919
2017-08-08,0.00536193029490617
2017-08-09,0.0052063492063492145
2017-08-10,-0.04737241030823647
2017-08-11,0.005569553109667114
2017-08-14,0.005538704998022004
2017-08-15,0.005377049180327775
2017-08-16,0.005478737281502832
2017-08-17,0.005448884276076926
2017-08-18,0.0052903225806451015
2017-08-21,0.005390835579514919
2017-08-22,0.006383250351078784
2017-08-23,0.007357604972726195
2017-08-24,0.012592872434202151
2017-08-25,0.01554533018281301
2017-08-28,0.06943423952975758
2017-08-29,0.01145081873353937
2017-08-30,0.028302954828484106
2017-08-31,0.018385995816360357
2017-09-01,0.017945945945945896
2017-09-05,0.015930331350892057
2017-09-06,0.017457662554881903
2017-09-07,0.012842905578958286
2017-09-08,0.008419557719618664
2017-09-11,0.010059350165979364
2017-09-12,-0.053879095707598856
2017-09-13,0.008736842105263154
2017-09-14,0.0096003339246582
2017-09-15,0.007751937984496138
2017-09-18,0.006769230769230639
2017-09-19,0.009372453137734382
2017-09-20,0.0058538554703269075
2017-09-21,0.005920128436684768
2017-09-22,0.06982543640897765
2017-09-25,-0.06526806526806528
2017-09-26,-0.06154613466334169
2017-09-27,-0.06377551020408168
2017-09-28,0.006584922797456816
2017-09-29,0.006654635686893728
2017-10-02,0.006498599439775932
2017-10-03,0.006456640320605667
2017-10-04,0.006525826789071987
2017-10-05,0.007252747252747271
2017-10-06,0.006436831769583318
2017-10-09,0.006287262872628707
2017-10-10,0.006247980178821555
2017-10-11,0.006316240231238668
2017-10-12,0.005319148936170137
2017-10-13,0.0069841269841268705
2017-10-16,0.006200084068936462
2017-10-17,0.005221932114882533
2017-10-18,0.06919480519480525
2017-10-19,0.06967252939461677
2017-10-20,0.06967659883720922
2017-10-23,0.06717622080679408
2017-10-24,0.06963234123826201
2017-10-25,0.06636410981325813
2017-10-26,0.06628061117700401
2017-10-27,0.06870378852319581
2017-10-30,0.06985856854221506
2017-10-31,-0.04624012819045442
2017-11-01,0.0700228009120365
2017-11-02,-0.06403858016037689
