ticker,first_available_hourly_timestamp,last_available_hourly_timestamp,hourly_rows,training_rows_2005_2024,evaluation_rows_2025_2026,missing_training_coverage,missing_evaluation_coverage,benchmark_usable,missing_reason,raw_hourly_sources,raw_hourly_files
ACB,2024-01-02 10:00:00,2026-05-11 14:00:00,1296,431,865,True,True,False,training_start_after_requested_start:2024-01-02 10:00:00>2005-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/ACB.csv;data/hourly_market_split_data/ACB.csv
BID,2024-01-02 10:00:00,2026-05-11 14:00:00,2648,1001,1647,True,True,False,training_start_after_requested_start:2024-01-02 10:00:00>2005-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/BID.csv;data/hourly_market_split_data/BID.csv
CTG,2025-11-18 09:00:00,2026-05-11 14:00:00,575,0,575,True,True,False,training_start_after_requested_start:2025-11-18 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-11-18 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/CTG.csv;data/hourly_market_split_data/CTG.csv
DGC,2025-11-25 09:00:00,2026-05-11 14:00:00,550,0,550,True,True,False,training_start_after_requested_start:2025-11-25 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-11-25 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/DGC.csv;data/hourly_market_split_data/DGC.csv
FPT,2025-11-05 09:00:00,2026-05-11 14:00:00,620,0,620,True,True,False,training_start_after_requested_start:2025-11-05 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-11-05 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/FPT.csv;data/hourly_market_split_data/FPT.csv
GAS,2025-10-27 09:00:00,2026-05-11 14:00:00,655,0,655,True,True,False,training_start_after_requested_start:2025-10-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-10-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/GAS.csv;data/hourly_market_split_data/GAS.csv
GVR,2025-10-27 09:00:00,2026-05-11 14:00:00,655,0,655,True,True,False,training_start_after_requested_start:2025-10-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-10-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/GVR.csv;data/hourly_market_split_data/GVR.csv
HDB,2025-11-19 09:00:00,2026-05-11 14:00:00,570,0,570,True,True,False,training_start_after_requested_start:2025-11-19 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-11-19 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/HDB.csv;data/hourly_market_split_data/HDB.csv
HPG,2026-02-11 14:00:00,2026-05-11 14:00:00,201,0,201,True,True,False,training_start_after_requested_start:2026-02-11 14:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2026-02-11 14:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/HPG.csv;data/hourly_market_split_data/HPG.csv
LPB,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,True,True,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/LPB.csv;data/hourly_market_split_data/LPB.csv
MBB,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,True,True,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/MBB.csv;data/hourly_market_split_data/MBB.csv
MSN,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,True,True,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/MSN.csv;data/hourly_market_split_data/MSN.csv
MWG,2025-08-27 09:00:00,2026-05-11 14:00:00,860,0,860,True,True,False,training_start_after_requested_start:2025-08-27 09:00:00>2005-01-01 00:00:00; no_training_rows_in_requested_window; evaluation_start_after_requested_start:2025-08-27 09:00:00>2025-01-01 00:00:00; evaluation_end_before_requested_end:2026-05-11 14:00:00<2026-05-31 23:59:59,hourly_market_split_data;legacy_raw_provider_cache_hourly,data/market_cache/vnstock_data/vn100/hourly/MWG.csv;data/hourly_market_split_data/MWG.csv
