ticker,first_trading_date,effective_start,effective_start_reason,source_note,needs_listing_date_verification
ACB,2006-11-21,2015-01-01,listed_before_2015_use_2015_start,user_provided,no
BID,2014-01-24,2015-01-01,listed_before_2015_use_2015_start,user_provided,no
CTG,2009-07-16,2015-01-01,listed_before_2015_use_2015_start,user_provided,no
DGC,,2015-01-01,missing_first_trading_date_fallback_to_2015_or_provider_first_timestamp,needs_verification/provider_first_timestamp,yes
FPT,2006-12-13,2015-01-01,listed_before_2015_use_2015_start,user_provided,no
GAS,2012-05-21,2015-01-01,listed_before_2015_use_2015_start,user_provided,no
GVR,2018-03-21,2018-03-21,listed_after_2015_use_first_trading_date,user_provided,no
HDB,2018-01-05,2018-01-05,listed_after_2015_use_first_trading_date,user_provided,no
HPG,2007-11-15,2015-01-01,listed_before_2015_use_2015_start,user_provided,no
LPB,2017-10-05,2017-10-05,listed_after_2015_use_first_trading_date,user_provided,no
MBB,2011-11-01,2015-01-01,listed_before_2015_use_2015_start,user_provided,no
MSN,2009-11-05,2015-01-01,listed_before_2015_use_2015_start,user_provided,no
MWG,2014-07-14,2015-01-01,listed_before_2015_use_2015_start,user_provided,no
PLX,2017-04-21,2017-04-21,listed_after_2015_use_first_trading_date,user_provided,no
SAB,2016-12-06,2016-12-06,listed_after_2015_use_first_trading_date,user_provided,no
SHB,2009-04-20,2015-01-01,listed_before_2015_use_2015_start,user_provided,no
SSB,2021-03-24,2021-03-24,listed_after_2015_use_first_trading_date,user_provided,no
SSI,2006-12-15,2015-01-01,listed_before_2015_use_2015_start,user_provided,no
STB,2006-07-12,2015-01-01,listed_before_2015_use_2015_start,user_provided,no
TCB,,2015-01-01,missing_first_trading_date_fallback_to_2015_or_provider_first_timestamp,needs_verification/provider_first_timestamp,yes
TPB,,2015-01-01,missing_first_trading_date_fallback_to_2015_or_provider_first_timestamp,needs_verification/provider_first_timestamp,yes
VCB,,2015-01-01,missing_first_trading_date_fallback_to_2015_or_provider_first_timestamp,needs_verification/provider_first_timestamp,yes
VHM,,2015-01-01,missing_first_trading_date_fallback_to_2015_or_provider_first_timestamp,needs_verification/provider_first_timestamp,yes
VIB,,2015-01-01,missing_first_trading_date_fallback_to_2015_or_provider_first_timestamp,needs_verification/provider_first_timestamp,yes
VIC,,2015-01-01,missing_first_trading_date_fallback_to_2015_or_provider_first_timestamp,needs_verification/provider_first_timestamp,yes
VJC,,2015-01-01,missing_first_trading_date_fallback_to_2015_or_provider_first_timestamp,needs_verification/provider_first_timestamp,yes
VNM,,2015-01-01,missing_first_trading_date_fallback_to_2015_or_provider_first_timestamp,needs_verification/provider_first_timestamp,yes
VPB,,2015-01-01,missing_first_trading_date_fallback_to_2015_or_provider_first_timestamp,needs_verification/provider_first_timestamp,yes
VPL,,2015-01-01,missing_first_trading_date_fallback_to_2015_or_provider_first_timestamp,needs_verification/provider_first_timestamp,yes
VRE,,2015-01-01,missing_first_trading_date_fallback_to_2015_or_provider_first_timestamp,needs_verification/provider_first_timestamp,yes
