model_name,baseline_name,loss,comparison_count,mean_effect_size,median_effect_size,mean_loss_diff,median_p_value,significant_05_count,significant_10_count,warning_count
ets,persistence,absolute,29,1.5870409271245696,1.168926314055465,6.279038316712998,6.861612448360847e-24,29,29,0
ets,persistence,squared,29,1.2382989637362611,0.8884258497270668,132.10836859845338,1.74092447327542e-16,29,29,0
ets,zero_return,absolute,29,1.5870409271245696,1.168926314055465,6.279038316712998,6.861612448360847e-24,29,29,0
ets,zero_return,squared,29,1.2382989637362611,0.8884258497270668,132.10836859845338,1.74092447327542e-16,29,29,0
lightgbm,persistence,absolute,29,1.6205905605858508,1.6681729722918865,5.19126612339374,6.731549675712669e-25,28,28,0
lightgbm,persistence,squared,29,1.0802553072392074,1.1734027255565023,94.66299022398313,8.142518119212863e-16,27,27,0
lightgbm,zero_return,absolute,29,1.6205905605858508,1.6681729722918865,5.19126612339374,6.731549675712669e-25,28,28,0
lightgbm,zero_return,squared,29,1.0802553072392074,1.1734027255565023,94.66299022398313,8.142518119212863e-16,27,27,0
sarimax,persistence,absolute,29,0.12497934721056528,0.11840085562570224,1.1247539267764528e+90,0.2269189308106836,6,7,9
sarimax,persistence,squared,29,0.12095541913417189,0.13037104018149065,1.1196494808036755e+183,0.17705251353520582,3,3,11
sarimax,zero_return,absolute,29,0.12497934721056528,0.11840085562570224,1.1247539267764528e+90,0.2269189308106836,6,7,9
sarimax,zero_return,squared,29,0.12095541913417189,0.13037104018149065,1.1196494808036755e+183,0.17705251353520582,3,3,11
xgboost,persistence,absolute,29,1.726262396097498,1.7217952603626414,5.422339899803257,7.450428306025849e-27,28,29,0
xgboost,persistence,squared,29,1.1383413227903345,1.2298396758665615,98.24958221605085,4.885749392379001e-19,27,28,0
xgboost,zero_return,absolute,29,1.726262396097498,1.7217952603626414,5.422339899803257,7.450428306025849e-27,28,29,0
xgboost,zero_return,squared,29,1.1383413227903345,1.2298396758665615,98.24958221605085,4.885749392379001e-19,27,28,0
