experiment_id,source_artifact,group_key,policy_id,candidate_type,top_n,horizon,metric_name,estimate,ci_lower,ci_upper,confidence,n_bootstrap,sample_size,seed,warning
EXP-ST-002,outputs\experiments\EXP-RK-002\artifacts\basket_period_returns.csv,policy_id=candidate_policy_forecast_only|candidate_type=forecast_only|top_n=1|horizon=1,candidate_policy_forecast_only,forecast_only,1,1,average_realized_return,-0.0007247382211796693,-0.0031845459741769453,0.001837469462927702,0.95,1000,120,42,
EXP-ST-002,outputs\experiments\EXP-RK-002\artifacts\basket_period_returns.csv,policy_id=candidate_policy_forecast_only|candidate_type=forecast_only|top_n=1|horizon=1,candidate_policy_forecast_only,forecast_only,1,1,hit_ratio,0.425,0.34145833333333353,0.5166666666666667,0.95,1000,120,42,
EXP-ST-002,outputs\experiments\EXP-RK-002\artifacts\basket_period_returns.csv,policy_id=candidate_policy_forecast_only|candidate_type=forecast_only|top_n=1|horizon=1,candidate_policy_forecast_only,forecast_only,1,1,return_volatility_proxy,-0.050887873643273906,-0.21898271593390328,0.1349141632709509,0.95,1000,120,42,
EXP-ST-002,outputs\experiments\EXP-RK-002\artifacts\basket_period_returns.csv,policy_id=candidate_policy_forecast_only|candidate_type=forecast_only|top_n=1|horizon=1,candidate_policy_forecast_only,forecast_only,1,1,max_drawdown,-0.14662446164332665,-0.36458814293684577,-0.07640935749512986,0.95,1000,120,42,
EXP-ST-002,outputs\experiments\EXP-RK-002\artifacts\basket_period_returns.csv,policy_id=candidate_policy_forecast_only|candidate_type=forecast_only|top_n=1|horizon=1,candidate_policy_forecast_only,forecast_only,1,1,var_95,-0.017400594144502304,-0.03604203633871793,-0.015297596183344175,0.95,1000,120,42,
EXP-ST-002,outputs\experiments\EXP-RK-002\artifacts\basket_period_returns.csv,policy_id=candidate_policy_forecast_only|candidate_type=forecast_only|top_n=1|horizon=1,candidate_policy_forecast_only,forecast_only,1,1,cvar_95,-0.03888614439081518,-0.05251423826612372,-0.02105026518569313,0.95,1000,120,42,
EXP-ST-002,outputs\experiments\EXP-RK-002\artifacts\basket_period_returns.csv,policy_id=candidate_policy_forecast_only|candidate_type=forecast_only|top_n=1|horizon=3,candidate_policy_forecast_only,forecast_only,1,3,average_realized_return,0.004963410896437133,0.0005155968684087466,0.009475995553899882,0.95,1000,112,42,
EXP-ST-002,outputs\experiments\EXP-RK-002\artifacts\basket_period_returns.csv,policy_id=candidate_policy_forecast_only|candidate_type=forecast_only|top_n=1|horizon=3,candidate_policy_forecast_only,forecast_only,1,3,hit_ratio,0.5892857142857143,0.5,0.6875,0.95,1000,112,42,
EXP-ST-002,outputs\experiments\EXP-RK-002\artifacts\basket_period_returns.csv,policy_id=candidate_policy_forecast_only|candidate_type=forecast_only|top_n=1|horizon=3,candidate_policy_forecast_only,forecast_only,1,3,return_volatility_proxy,0.2024637110447544,0.021435483495088854,0.4240164495209325,0.95,1000,112,42,
EXP-ST-002,outputs\experiments\EXP-RK-002\artifacts\basket_period_returns.csv,policy_id=candidate_policy_forecast_only|candidate_type=forecast_only|top_n=1|horizon=3,candidate_policy_forecast_only,forecast_only,1,3,max_drawdown,-0.2091287766468104,-0.28874340848502567,-0.0686744846852322,0.95,1000,112,42,
EXP-ST-002,outputs\experiments\EXP-RK-002\artifacts\basket_period_returns.csv,policy_id=candidate_policy_forecast_only|candidate_type=forecast_only|top_n=1|horizon=3,candidate_policy_forecast_only,forecast_only,1,3,var_95,-0.028794951911939114,-0.0472148035101106,-0.02113109284344029,0.95,1000,112,42,
