experiment_id,universe_group,ticker,horizon,model_name,model_type,metric_name,metric_value,sample_size,rank,best_baseline_value,model_vs_best_baseline_delta,robustness_note
EXP-RB-002,large_cap_core,FPT,1,ets,model,directional_accuracy,0.5658914728682171,129,1,0.4806201550387597,0.08527131782945735,computed_from_forecasting_core_metrics_by_ticker_group
EXP-RB-002,large_cap_core,FPT,1,moving_average_rule,baseline,directional_accuracy,0.4806201550387597,129,2,0.4806201550387597,0.0,computed_from_forecasting_core_metrics_by_ticker_group
EXP-RB-002,large_cap_core,FPT,1,lightgbm,model,directional_accuracy,0.4263565891472868,129,3,0.4806201550387597,-0.05426356589147291,computed_from_forecasting_core_metrics_by_ticker_group
EXP-RB-002,large_cap_core,FPT,1,sarimax,model,directional_accuracy,0.4263565891472868,129,4,0.4806201550387597,-0.05426356589147291,computed_from_forecasting_core_metrics_by_ticker_group
EXP-RB-002,large_cap_core,FPT,1,xgboost,model,directional_accuracy,0.4263565891472868,129,5,0.4806201550387597,-0.05426356589147291,computed_from_forecasting_core_metrics_by_ticker_group
EXP-RB-002,large_cap_core,FPT,1,persistence,baseline,directional_accuracy,0.0310077519379844,129,6,0.4806201550387597,-0.4496124031007753,computed_from_forecasting_core_metrics_by_ticker_group
EXP-RB-002,large_cap_core,FPT,1,zero_return,baseline,directional_accuracy,0.0310077519379844,129,7,0.4806201550387597,-0.4496124031007753,computed_from_forecasting_core_metrics_by_ticker_group
EXP-RB-002,large_cap_core,FPT,1,persistence,baseline,mae,1.2013178294573643,129,1,1.2013178294573643,0.0,computed_from_forecasting_core_metrics_by_ticker_group
EXP-RB-002,large_cap_core,FPT,1,zero_return,baseline,mae,1.2013178294573643,129,2,1.2013178294573643,0.0,computed_from_forecasting_core_metrics_by_ticker_group
EXP-RB-002,large_cap_core,FPT,1,moving_average_rule,baseline,mae,1.8955968992248056,129,3,1.2013178294573643,0.6942790697674412,computed_from_forecasting_core_metrics_by_ticker_group
