experiment_id,cost_scenario_id,policy_id,candidate_type,top_n,horizon,transaction_cost_bps,slippage_bps,gross_average_realized_return,net_average_realized_return,net_hit_ratio,net_return_volatility_proxy,net_max_drawdown,net_var_95,net_cvar_95,cost_impact,diagnostic_only
EXP-RB-003,cost_0bps,candidate_policy_forecast_only,forecast_only,1,1,0.0,0.0,-0.0007247382211796693,-0.0007247382211796693,0.425,-0.050887873643273906,-0.14662446164332665,-0.017400594144502304,-0.03888614439081518,0.0,True
EXP-RB-003,cost_0bps,candidate_policy_forecast_only,forecast_only,1,3,0.0,0.0,0.004963410896437133,0.004963410896437133,0.5892857142857143,0.2024637110447544,-0.2091287766468104,-0.028794951911939114,-0.04989285083997904,0.0,True
EXP-RB-003,cost_0bps,candidate_policy_forecast_only,forecast_only,1,5,0.0,0.0,0.008620698942580074,0.008620698942580074,0.6637168141592921,0.2773977504412089,-0.295401510508255,-0.04841198734638526,-0.06461740468454377,0.0,True
EXP-RB-003,cost_0bps,candidate_policy_forecast_only,forecast_only,3,1,0.0,0.0,-0.0001996538833849174,-0.0001996538833849174,0.5,-0.01651116850147072,-0.09706793705856487,-0.013551661635376142,-0.03276250812856538,0.0,True
EXP-RB-003,cost_0bps,candidate_policy_forecast_only,forecast_only,3,3,0.0,0.0,0.0014482649262396684,0.0014482649262396684,0.5357142857142857,0.06966830792998173,-0.20039996078550748,-0.03234366234116625,-0.05118834686920968,0.0,True
EXP-RB-003,cost_0bps,candidate_policy_forecast_only,forecast_only,3,5,0.0,0.0,0.0042074774448724326,0.0042074774448724326,0.5663716814159292,0.16721054808491018,-0.23782088863554718,-0.034658297818364,-0.06094978235877008,0.0,True
EXP-RB-003,cost_0bps,candidate_policy_forecast_only,forecast_only,5,1,0.0,0.0,-0.0001996538833849174,-0.0001996538833849174,0.5,-0.01651116850147072,-0.09706793705856487,-0.013551661635376142,-0.03276250812856538,0.0,True
EXP-RB-003,cost_0bps,candidate_policy_forecast_only,forecast_only,5,3,0.0,0.0,0.0014409071949368362,0.0014409071949368362,0.5357142857142857,0.07009139300492043,-0.20039996078550748,-0.028596378327674157,-0.050824986897402884,0.0,True
EXP-RB-003,cost_0bps,candidate_policy_forecast_only,forecast_only,5,5,0.0,0.0,0.0045809878505930985,0.0045809878505930985,0.5752212389380531,0.18108398381431734,-0.2380231656946008,-0.03886887216920116,-0.0603905388265543,0.0,True
EXP-RB-003,cost_0bps,candidate_policy_risk_aware,risk_aware,1,1,0.0,0.0,-0.001152806493030272,-0.001152806493030272,0.4,-0.08326514066507483,-0.22167496863298408,-0.018434013169087677,-0.033081376799471714,0.0,True
EXP-RB-003,cost_0bps,candidate_policy_risk_aware,risk_aware,1,3,0.0,0.0,0.0006583087375213175,0.0006583087375213175,0.5,0.02855613437803218,-0.28562103423675733,-0.03675758818081042,-0.05150974582500036,0.0,True
EXP-RB-003,cost_0bps,candidate_policy_risk_aware,risk_aware,1,5,0.0,0.0,0.005388426363494724,0.005388426363494724,0.5575221238938053,0.17322985210245112,-0.24584967614930453,-0.042599789728367976,-0.05892572423199579,0.0,True
EXP-RB-003,cost_0bps,candidate_policy_risk_aware,risk_aware,3,1,0.0,0.0,-0.00019965388338491832,-0.00019965388338491832,0.5,-0.016511168501470795,-0.09706793705856498,-0.013551661635376142,-0.03276250812856538,0.0,True
EXP-RB-003,cost_0bps,candidate_policy_risk_aware,risk_aware,3,3,0.0,0.0,0.0011140513654093647,0.0011140513654093647,0.5267857142857143,0.05518541630397724,-0.20039996078550748,-0.028596378327674157,-0.050824986897402884,0.0,True
EXP-RB-003,cost_0bps,candidate_policy_risk_aware,risk_aware,3,5,0.0,0.0,0.005262329021848895,0.005262329021848895,0.5752212389380531,0.20757337808247547,-0.22438247204541784,-0.034658297818364,-0.05828780950464236,0.0,True
EXP-RB-003,cost_0bps,candidate_policy_risk_aware,risk_aware,5,1,0.0,0.0,-0.00019965388338491832,-0.00019965388338491832,0.5,-0.016511168501470795,-0.09706793705856498,-0.013551661635376142,-0.03276250812856538,0.0,True
EXP-RB-003,cost_0bps,candidate_policy_risk_aware,risk_aware,5,3,0.0,0.0,0.0014409071949368362,0.0014409071949368362,0.5357142857142857,0.07009139300492043,-0.20039996078550748,-0.028596378327674157,-0.050824986897402884,0.0,True
EXP-RB-003,cost_0bps,candidate_policy_risk_aware,risk_aware,5,5,0.0,0.0,0.0045809878505931,0.0045809878505931,0.5752212389380531,0.18108398381431745,-0.2380231656946008,-0.03886887216920116,-0.0603905388265543,0.0,True
EXP-RB-003,cost_5bps,candidate_policy_forecast_only,forecast_only,1,1,5.0,5.0,-0.0007247382211796693,-0.0017247382211796694,0.4166666666666667,-0.12110339720217055,-0.21076654464111566,-0.018400594144502305,-0.039886144390815184,0.001,True
EXP-RB-003,cost_5bps,candidate_policy_forecast_only,forecast_only,1,3,5.0,5.0,0.004963410896437133,0.003963410896437133,0.5892857142857143,0.16167246581658115,-0.2140536185386137,-0.029794951911939115,-0.05089285083997904,0.001,True
EXP-RB-003,cost_5bps,candidate_policy_forecast_only,forecast_only,1,5,5.0,5.0,0.008620698942580074,0.007620698942580075,0.6548672566371682,0.2452196460567648,-0.3005728328662973,-0.04941198734638526,-0.06561740468454377,0.0009999999999999992,True
EXP-RB-003,cost_5bps,candidate_policy_forecast_only,forecast_only,3,1,5.0,5.0,-0.0001996538833849174,-0.0011996538833849173,0.475,-0.09921012842922954,-0.17490998629992294,-0.014551661635376141,-0.033762508128565384,0.0009999999999999998,True
EXP-RB-003,cost_5bps,candidate_policy_forecast_only,forecast_only,3,3,5.0,5.0,0.0014482649262396684,0.00044826492623966773,0.5267857142857143,0.02156363683857355,-0.2045732019871762,-0.03334366234116625,-0.05218834686920968,0.0010000000000000007,True
EXP-RB-003,cost_5bps,candidate_policy_forecast_only,forecast_only,3,5,5.0,5.0,0.0042074774448724326,0.0032074774448724312,0.5663716814159292,0.12746926598043057,-0.24801588613946757,-0.035658297818364,-0.06194978235877008,0.0010000000000000013,True
EXP-RB-003,cost_5bps,candidate_policy_forecast_only,forecast_only,5,1,5.0,5.0,-0.0001996538833849174,-0.0011996538833849173,0.475,-0.09921012842922954,-0.17490998629992294,-0.014551661635376141,-0.033762508128565384,0.0009999999999999998,True
EXP-RB-003,cost_5bps,candidate_policy_forecast_only,forecast_only,5,3,5.0,5.0,0.0014409071949368362,0.00044090719493683597,0.5267857142857143,0.021447460036015394,-0.2045732019871762,-0.029596378327674158,-0.051824986897402885,0.0010000000000000002,True
EXP-RB-003,cost_5bps,candidate_policy_forecast_only,forecast_only,5,5,5.0,5.0,0.0045809878505930985,0.003580987850593099,0.5752212389380531,0.1415545221086129,-0.24416617125716078,-0.03986887216920116,-0.0613905388265543,0.0009999999999999996,True
EXP-RB-003,cost_5bps,candidate_policy_risk_aware,risk_aware,1,1,5.0,5.0,-0.001152806493030272,-0.0021528064930302717,0.39166666666666666,-0.15549334302903248,-0.2813092114065454,-0.019434013169087678,-0.034081376799471715,0.0009999999999999998,True
EXP-RB-003,cost_5bps,candidate_policy_risk_aware,risk_aware,1,3,5.0,5.0,0.0006583087375213175,-0.00034169126247868265,0.5,-0.014821892906783363,-0.3414662481084684,-0.037757588180810424,-0.05250974582500036,0.001,True
EXP-RB-003,cost_5bps,candidate_policy_risk_aware,risk_aware,1,5,5.0,5.0,0.005388426363494724,0.004388426363494724,0.5575221238938053,0.14108134706282746,-0.26690120595847666,-0.04359978972836798,-0.05992572423199579,0.001,True
