model_name,probability_bucket,bucket_min_probability,bucket_max_probability,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
cart,lt_0.50,0.0,0.5,101,0.0,0.2871287128712871,0.2871287128712871
cart,0.50-0.55,0.5,0.55,0,,,
cart,0.55-0.60,0.55,0.6,0,,,
cart,0.60-0.65,0.6,0.65,0,,,
cart,0.65+,0.65,1.0,75,1.0,0.5066666666666667,-0.4933333333333333
lightgbm,lt_0.50,0.0,0.5,143,0.14780534880914734,0.34965034965034963,0.2018450008412023
lightgbm,0.50-0.55,0.5,0.55,4,0.525888927444049,0.25,-0.275888927444049
lightgbm,0.55-0.60,0.55,0.6,3,0.585641083397621,0.3333333333333333,-0.2523077500642877
lightgbm,0.60-0.65,0.6,0.65,6,0.6110304265246499,0.3333333333333333,-0.2776970931913166
lightgbm,0.65+,0.65,1.0,20,0.8300408116047553,0.65,-0.18004081160475527
xgboost,lt_0.50,0.0,0.5,145,0.2050471548697558,0.3448275862068966,0.13978043133714077
xgboost,0.50-0.55,0.5,0.55,9,0.5308793584505717,0.5555555555555556,0.02467619710498392
xgboost,0.55-0.60,0.55,0.6,8,0.5770353376865387,0.75,0.1729646623134613
xgboost,0.60-0.65,0.6,0.65,2,0.6257268488407135,0.0,-0.6257268488407135
xgboost,0.65+,0.65,1.0,12,0.7358151773611704,0.5,-0.2358151773611704
