ticker,model_name,observations,mae,rmse,mape,directional_accuracy
ACB,cart,37,0.08570562298910904,0.09211647658310398,1059.7571579887694,0.35135135135135137
ACB,lightgbm,37,0.047598565112862735,0.055835800119543456,431.73118201896176,0.32432432432432434
ACB,xgboost,37,0.056136625140326926,0.06155026320673586,597.0681725760221,0.32432432432432434
DGC,cart,37,0.09355065253454081,0.11870826868267713,1310.1442968407325,0.35135135135135137
DGC,lightgbm,37,0.06820729012499861,0.07437974326570729,950.4473908551839,0.35135135135135137
DGC,xgboost,37,0.06769096892674954,0.07323298169498399,854.9182401596754,0.35135135135135137
HPG,cart,37,0.047741148900043835,0.05104036063368471,696.612076111938,0.5405405405405406
HPG,lightgbm,37,0.013735241802498492,0.016799350881363147,151.49908645875215,0.5945945945945946
HPG,xgboost,37,0.01385893133558391,0.01721779365830596,140.60607961562596,0.5135135135135135
MWG,cart,37,0.06817813463478684,0.07710560562142026,579.4257190169855,0.4594594594594595
MWG,lightgbm,37,0.02808979931252282,0.03723748810734353,158.3835670258115,0.40540540540540543
MWG,xgboost,37,0.02716860842908666,0.034751064239928,164.75013058306322,0.40540540540540543
OVERALL,cart,148,0.07379388976462013,0.08821492382752874,914.006653335973,0.42567567567567566
OVERALL,lightgbm,148,0.039407724088220665,0.05079082469758157,424.9613628088454,0.4189189189189189
OVERALL,xgboost,148,0.04121378345793676,0.05161296686159381,442.50553137915495,0.39864864864864863
