date,ticker,model_name,prediction_date,target_date,horizon,horizon_days,actual_return,predicted_return,absolute_error,pct_error
2023-12-27,ACB,cart,2023-12-22,2023-12-27,3d,3,0.004299754299754266,-0.06372239747634068,0.06802215177609494,1582.0009013069064
2023-12-28,ACB,cart,2023-12-25,2023-12-28,3d,3,0.017083587553386348,-0.03966189856957092,0.05674548612295727,332.16375626973644
2023-12-29,ACB,cart,2023-12-26,2023-12-29,3d,3,0.02757352941176472,-0.04220980757293602,0.06978333698470074,253.08090213118123
2024-01-02,ACB,cart,2023-12-27,2024-01-02,3d,3,0.04954128440366956,-0.008567931456548328,0.05810921586021789,117.2945283104402
2024-01-03,ACB,cart,2023-12-28,2024-01-03,3d,3,0.052789442111577545,-0.017326732673267342,0.07011617478484489,132.82234473447357
2024-01-04,ACB,cart,2023-12-29,2024-01-04,3d,3,0.05903398926654746,-0.007707129094412402,0.06674111836095986,113.0554095872016
2024-01-05,ACB,cart,2024-01-02,2024-01-05,3d,3,0.04079254079254069,-0.041816009557944955,0.08260855035048564,202.50896057347677
2024-01-08,ACB,cart,2024-01-03,2024-01-08,3d,3,0.013675213675213627,0.01388888888888884,0.00021367521367521292,1.5625
2024-01-09,ACB,cart,2024-01-04,2024-01-09,3d,3,-0.011824324324324342,-0.046067415730337125,0.03424309140601278,289.59871589085054
2024-01-10,ACB,cart,2024-01-05,2024-01-10,3d,3,-0.007838745800671898,-0.09128386336866912,0.08344511756799722,1064.5212855460209
2024-01-11,ACB,cart,2024-01-08,2024-01-11,3d,3,-0.00393479482855541,-0.09128386336866912,0.0873490685401137,2219.914184755152
2024-01-12,ACB,cart,2024-01-09,2024-01-12,3d,3,0.03190883190883187,-0.09128386336866912,0.12319269527750099,386.0771075214545
2024-01-15,ACB,cart,2024-01-10,2024-01-15,3d,3,0.0022573363431153126,-0.09128386336866912,0.09354119971178443,4143.875147231704
2024-01-16,ACB,cart,2024-01-11,2024-01-16,3d,3,0.006207674943566666,-0.09128386336866912,0.09749153831223578,1570.5000535389067
2024-01-17,ACB,cart,2024-01-12,2024-01-17,3d,3,-0.015461071231363976,-0.046067415730337125,0.030606344498973148,197.95746388442876
2024-01-18,ACB,cart,2024-01-15,2024-01-18,3d,3,0.01182432432432412,-0.10385064177362902,0.11567496609795314,978.2797132855635
2024-01-19,ACB,cart,2024-01-16,2024-01-19,3d,3,0.021312394840157234,-0.09128386336866912,0.11259625820882635,528.3134957535145
2024-01-22,ACB,cart,2024-01-17,2024-01-22,3d,3,0.03533370723499729,-0.09128386336866912,0.1266175706036664,358.3478228354549
2024-01-23,ACB,cart,2024-01-18,2024-01-23,3d,3,0.017250973845297946,-0.09128386336866912,0.10853483721396706,629.151943462891
2024-01-24,ACB,cart,2024-01-19,2024-01-24,3d,3,-0.0054914881933004756,-0.09128386336866912,0.08579237517536864,1562.279151943437
2024-01-25,ACB,cart,2024-01-22,2024-01-25,3d,3,-0.018959913326110578,-0.09128386336866912,0.07232395004255854,381.4571765101788
2024-01-26,ACB,cart,2024-01-23,2024-01-26,3d,3,0.009846827133479286,-0.09128386336866912,0.1011306905021484,1027.0383457662551
2024-01-29,ACB,cart,2024-01-24,2024-01-29,3d,3,0.005521811154058698,-0.09128386336866912,0.09680567452272781,1753.1507656065478
2024-01-30,ACB,cart,2024-01-25,2024-01-30,3d,3,0.005521811154058698,-0.09128386336866912,0.09680567452272781,1753.1507656065478
2024-01-31,ACB,cart,2024-01-26,2024-01-31,3d,3,-0.021126760563380365,-0.09128386336866912,0.07015710280528875,332.07695327836547
2024-02-01,ACB,cart,2024-01-29,2024-02-01,3d,3,0.0021965952773201902,-0.09128386336866912,0.0934804586459893,4255.697879858592
