ticker,model_name,observations,accuracy,precision,recall,f1,roc_auc,positive_class_precision,true_negative,false_positive,false_negative,true_positive
ACB,cart,37,0.4864864864864865,0.6666666666666666,0.2727272727272727,0.3870967741935484,0.5363636363636364,0.6666666666666666,12,3,16,6
ACB,lightgbm,37,0.4864864864864865,0.5652173913043478,0.5909090909090909,0.5777777777777777,0.6090909090909091,0.5652173913043478,5,10,9,13
ACB,xgboost,37,0.5945945945945946,0.6521739130434783,0.6818181818181818,0.6666666666666666,0.6696969696969697,0.6521739130434783,7,8,7,15
DGC,cart,37,0.5405405405405406,0.42857142857142855,0.9230769230769231,0.5853658536585366,0.6282051282051282,0.42857142857142855,8,16,1,12
DGC,lightgbm,37,0.3783783783783784,0.35294117647058826,0.9230769230769231,0.5106382978723404,0.5224358974358975,0.35294117647058826,2,22,1,12
DGC,xgboost,37,0.40540540540540543,0.37142857142857144,1.0,0.5416666666666666,0.6538461538461537,0.37142857142857144,2,22,0,13
HPG,cart,37,0.4594594594594595,0.5555555555555556,0.6521739130434783,0.6,0.3975155279503106,0.5555555555555556,2,12,8,15
HPG,lightgbm,37,0.6216216216216216,0.6285714285714286,0.9565217391304348,0.7586206896551724,0.7919254658385093,0.6285714285714286,1,13,1,22
HPG,xgboost,37,0.6756756756756757,0.6571428571428571,1.0,0.7931034482758621,0.6832298136645963,0.6571428571428571,2,12,0,23
MWG,cart,37,0.43243243243243246,0.42857142857142855,0.7058823529411765,0.5333333333333333,0.4529411764705883,0.42857142857142855,4,16,5,12
MWG,lightgbm,37,0.5135135135135135,0.48484848484848486,0.9411764705882353,0.64,0.6147058823529412,0.48484848484848486,3,17,1,16
MWG,xgboost,37,0.43243243243243246,0.43333333333333335,0.7647058823529411,0.5531914893617021,0.5382352941176471,0.43333333333333335,3,17,4,13
OVERALL,cart,148,0.4797297297297297,0.4891304347826087,0.6,0.5389221556886228,0.4780821917808219,0.4891304347826087,26,47,30,45
OVERALL,lightgbm,148,0.5,0.504,0.84,0.63,0.6085844748858448,0.504,11,62,12,63
OVERALL,xgboost,148,0.527027027027027,0.5203252032520326,0.8533333333333334,0.6464646464646465,0.575890410958904,0.5203252032520326,14,59,11,64
