ticker,dir_acc_pct,best_cv_acc,n_features,has_hourly,train_rows,test_rows,overfit_flag
VXP,100.0,97.73462783171522,15,False,825,272,False
VBG,100.0,99.45355191256832,15,False,490,161,False
GAB,100.0,83.7037037037037,15,False,903,298,True
UMC,100.0,98.87820512820512,15,False,833,275,False
TS4,100.0,80.0,15,False,942,311,True
ART,100.0,69.21985815602837,15,False,942,311,True
ASA,100.0,95.60283687943262,15,False,942,311,False
DBH,100.0,99.26253687315634,15,False,905,299,False
IME,100.0,99.55849889624724,15,False,607,200,False
IRC,100.0,98.24561403508771,15,False,459,150,False
TTZ,100.0,70.21276595744682,15,False,942,311,True
HHN,100.0,99.84917043740573,15,False,887,293,False
KLF,100.0,73.04964539007092,16,False,942,311,True
NDF,100.0,91.2442396313364,15,False,869,287,False
NQT,100.0,99.70631424375918,29,False,909,301,False
C12,100.0,92.63351749539595,15,False,726,239,False
SDJ,100.0,85.82554517133957,15,False,858,284,False
AMD,100.0,60.28368794326241,15,False,942,311,True
SPD,100.0,91.24293785310735,19,True,475,156,False
DZM,100.0,70.94017094017094,15,False,939,311,True
CJC,100.0,88.67521367521368,15,False,624,206,False
MHL,100.0,68.84422110552765,15,False,797,263,True
MIM,100.0,84.99025341130604,15,False,685,226,True
MTB,100.0,99.29824561403508,15,False,383,125,False
BED,100.0,97.91666666666666,19,True,768,253,False
MBN,100.0,99.77477477477477,29,False,593,195,False
BSC,99.67741935483872,97.86324786324786,19,True,937,310,False
DAC,99.62406015037594,90.21558872305141,15,False,805,266,False
THN,99.61685823754789,98.98989898989899,15,False,792,261,False
POB,99.61089494163424,82.13058419243987,15,False,777,257,True
SAL,99.56896551724138,95.83333333333334,16,False,705,232,False
HHR,99.55156950672645,99.20634920634922,15,False,675,223,False
NQB,99.49238578680203,99.55257270693511,15,False,597,197,False
TQN,99.41520467836257,98.97435897435898,15,False,521,171,False
VLP,99.33993399339934,98.98107714701601,15,False,918,303,False
NSS,99.16317991631799,99.62962962962963,15,False,723,239,False
QNU,99.14163090128756,98.86363636363636,15,False,706,233,False
CH5,99.11111111111111,97.84313725490196,19,True,683,225,False
EMG,99.0521327014218,98.74213836477988,19,True,639,211,False
TBX,99.00662251655629,100.0,38,True,914,302,False
DKC,98.93617021276596,99.8435054773083,15,False,852,282,False
SSF,98.83720930232558,96.46464646464646,16,False,264,86,False
PTG,98.59154929577466,99.53271028037383,29,False,859,284,False
PEC,98.54368932038835,84.61538461538461,19,True,624,206,False
X26,98.25783972125436,98.00307219662058,20,True,870,287,False
VHF,98.21428571428571,97.64150943396226,19,True,849,280,False
DLT,98.18181818181819,95.19999999999999,19,True,502,165,False
DUS,98.17073170731707,98.4,15,False,500,164,False
TNM,98.13084112149532,90.94650205761317,20,True,651,214,False
NGC,98.10606060606061,82.16666666666667,19,True,801,264,True
DSV,98.09885931558935,97.98994974874373,15,False,798,263,False
SD1,97.98387096774194,92.8698752228164,15,False,751,248,False
SHX,97.95918367346938,100.0,29,False,153,49,False
ONW,97.90794979079497,98.14814814814815,20,True,723,239,False
HLS,97.88135593220339,94.41340782122906,19,True,716,236,False
BHK,97.87234042553192,94.36619718309859,19,True,854,282,False
VNX,97.84946236559139,88.17966903073287,15,False,565,186,False
HRB,97.82608695652173,93.8095238095238,15,False,560,184,False
VE2,97.81659388646288,91.7624521072797,15,False,696,229,False
DT4,97.79735682819384,99.22027290448344,15,False,687,227,False
NWT,97.79411764705883,97.5609756097561,19,True,822,272,False
