horizon,regime,model_name,probability_bucket,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
20d,bull,cart,0.50-0.55,0,,,
20d,bull,cart,0.55-0.60,0,,,
20d,bull,cart,0.60-0.65,0,,,
20d,bull,cart,0.65+,85,1.0,0.7411764705882353,-0.2588235294117647
20d,bull,cart,lt_0.50,51,0.0,0.7450980392156863,0.7450980392156863
20d,bull,lightgbm,0.50-0.55,0,,,
20d,bull,lightgbm,0.55-0.60,1,0.5827384437659168,1.0,0.41726155623408323
20d,bull,lightgbm,0.60-0.65,3,0.6377575783309651,1.0,0.36224242166903486
20d,bull,lightgbm,0.65+,78,0.926661722783413,0.8846153846153846,-0.042046338168028385
20d,bull,lightgbm,lt_0.50,54,0.04929380456431406,0.5185185185185185,0.46922471395420445
20d,bull,xgboost,0.50-0.55,2,0.5334902107715607,0.5,-0.03349021077156067
20d,bull,xgboost,0.55-0.60,2,0.5750779211521149,0.5,-0.07507792115211487
20d,bull,xgboost,0.60-0.65,0,,,
20d,bull,xgboost,0.65+,85,0.9258176312727087,0.8705882352941177,-0.055229395978591
20d,bull,xgboost,lt_0.50,47,0.08267079228337137,0.5319148936170213,0.4492441013336499
20d,sideway,cart,0.50-0.55,0,,,
20d,sideway,cart,0.55-0.60,0,,,
20d,sideway,cart,0.60-0.65,0,,,
20d,sideway,cart,0.65+,21,1.0,0.8095238095238095,-0.19047619047619047
20d,sideway,cart,lt_0.50,11,0.0,0.9090909090909091,0.9090909090909091
20d,sideway,lightgbm,0.50-0.55,0,,,
20d,sideway,lightgbm,0.55-0.60,1,0.5948277778713673,1.0,0.4051722221286327
20d,sideway,lightgbm,0.60-0.65,1,0.600812692030454,1.0,0.39918730796954605
20d,sideway,lightgbm,0.65+,18,0.8670138087202743,0.7777777777777778,-0.08923603094249655
20d,sideway,lightgbm,lt_0.50,12,0.06580846393939842,0.9166666666666666,0.8508582027272682
20d,sideway,xgboost,0.50-0.55,0,,,
20d,sideway,xgboost,0.55-0.60,1,0.5965133905410767,1.0,0.40348660945892334
20d,sideway,xgboost,0.60-0.65,0,,,
20d,sideway,xgboost,0.65+,21,0.9001604715983073,0.8095238095238095,-0.09063666207449772
20d,sideway,xgboost,lt_0.50,10,0.09184400271624323,0.9,0.8081559972837568
