horizon,regime,model_name,signal_bucket,observations,avg_actual_return,median_actual_return,hit_rate,realized_profit_rate,positive_precision,recall_of_profitable_cases,lift_vs_base_rate
20d,bull,cart,moderate_positive,2,0.1361086396054309,0.1361086396054309,1.0,1.0,1.0,0.019801980198019802,1.3465346534653464
20d,bull,cart,reject,31,0.026939188616323176,0.0137885751805646,0.7741935483870968,0.6129032258064516,0.6129032258064516,0.18811881188118812,0.8252954327690833
20d,bull,cart,strong_or_moderate_positive,40,0.08804415494626933,0.1064160077038907,0.8,0.775,0.775,0.3069306930693069,1.0435643564356436
20d,bull,cart,strong_positive,38,0.08551444522736609,0.1064160077038907,0.7894736842105263,0.7631578947368421,0.7631578947368421,0.2871287128712871,1.0276185513288172
20d,bull,cart,weak_or_uncertain,65,0.07389081204217152,0.0663026521060843,0.8153846153846154,0.7846153846153846,0.7846153846153846,0.504950495049505,1.0565118050266564
20d,bull,lightgbm,moderate_positive,7,0.1354868249333668,0.1139931740614335,1.0,1.0,1.0,0.06930693069306931,1.3465346534653464
20d,bull,lightgbm,reject,49,0.006110699914119297,0.0091086532205595,0.6122448979591837,0.46938775510204084,0.46938775510204084,0.22772277227722773,0.6320468781572035
20d,bull,lightgbm,strong_or_moderate_positive,77,0.10047298215449159,0.1137339055793991,0.8961038961038961,0.8831168831168831,0.8831168831168831,0.6732673267326733,1.1891474861771891
20d,bull,lightgbm,strong_positive,70,0.09697159787660407,0.1120757862030457,0.8857142857142857,0.8714285714285714,0.8714285714285714,0.6039603960396039,1.1734087694483735
20d,bull,lightgbm,weak_or_uncertain,10,0.11239399060102422,0.10068991111805865,1.0,1.0,1.0,0.09900990099009901,1.3465346534653464
20d,bull,xgboost,moderate_positive,3,0.19000728790508734,0.1927570093457944,1.0,1.0,1.0,0.0297029702970297,1.3465346534653464
20d,bull,xgboost,reject,47,0.012547352801421713,0.0092165898617511,0.6808510638297872,0.5319148936170213,0.5319148936170213,0.24752475247524752,0.7162418369496524
20d,bull,xgboost,strong_or_moderate_positive,80,0.10178177130791903,0.1120757862030457,0.9,0.8875,0.8875,0.7029702970297029,1.195049504950495
20d,bull,xgboost,strong_positive,77,0.09834441351841897,0.104547742909884,0.8961038961038961,0.8831168831168831,0.8831168831168831,0.6732673267326733,1.1891474861771891
20d,bull,xgboost,weak_or_uncertain,9,0.04750183793306645,0.0614878542510122,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.04950495049504951,0.7480748074807481
20d,sideway,cart,moderate_positive,0,,,,,,0.0,
20d,sideway,cart,reject,8,0.06805365626217194,0.05803445259403815,1.0,0.875,0.875,0.25925925925925924,1.037037037037037
20d,sideway,cart,strong_or_moderate_positive,12,0.07790091522704613,0.0791761024442532,0.75,0.75,0.75,0.3333333333333333,0.8888888888888888
20d,sideway,cart,strong_positive,12,0.07790091522704613,0.0791761024442532,0.75,0.75,0.75,0.3333333333333333,0.8888888888888888
20d,sideway,cart,weak_or_uncertain,12,0.14569146035366243,0.1243595040606463,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.4074074074074074,1.0864197530864197
20d,sideway,lightgbm,moderate_positive,1,0.0900179709197843,0.0900179709197843,1.0,1.0,1.0,0.037037037037037035,1.1851851851851851
20d,sideway,lightgbm,reject,12,0.0976953151450941,0.0816145935482771,1.0,0.9166666666666666,0.9166666666666666,0.4074074074074074,1.0864197530864197
20d,sideway,lightgbm,strong_or_moderate_positive,16,0.07139461093961044,0.08614982342051819,0.75,0.75,0.75,0.4444444444444444,0.8888888888888888
20d,sideway,lightgbm,strong_positive,15,0.07015305360759885,0.0822816759212521,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.4074074074074074,0.8691358024691357
20d,sideway,lightgbm,weak_or_uncertain,4,0.22822005007274557,0.21911189810181259,1.0,1.0,1.0,0.14814814814814814,1.1851851851851851
20d,sideway,xgboost,moderate_positive,1,0.1758166969147006,0.1758166969147006,1.0,1.0,1.0,0.037037037037037035,1.1851851851851851
20d,sideway,xgboost,reject,10,0.07358453757529765,0.07211657860984774,1.0,0.9,0.9,0.3333333333333333,1.0666666666666667
20d,sideway,xgboost,strong_or_moderate_positive,22,0.11325874460513187,0.10571472423483261,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.9696969696969697
20d,sideway,xgboost,strong_positive,21,0.11027979449515242,0.0988400588139193,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.6296296296296297,0.9594356261022928
20d,sideway,xgboost,weak_or_uncertain,0,,,,,,0.0,
