scope,frequency,model,horizon,threshold,regime_type,regime_value,ticker,prediction_count,correct_count,accuracy,contribution_share,correct_prediction_share,excess_correct_vs_50pct,positive_excess_share
best_regime_daily_lightgbm_h20_bear,daily,lightgbm,20,,regime,bear,BVH,86,55,0.6395348837209303,0.19369369369369369,0.1779935275080906,12.0,0.13793103448275862
best_regime_daily_lightgbm_h20_bear,daily,lightgbm,20,,regime,bear,ANV,74,43,0.581081081081081,0.16666666666666666,0.13915857605177995,6.0,0.06896551724137931
best_regime_daily_lightgbm_h20_bear,daily,lightgbm,20,,regime,bear,CII,67,57,0.8507462686567164,0.15090090090090091,0.18446601941747573,23.5,0.27011494252873564
best_regime_daily_lightgbm_h20_bear,daily,lightgbm,20,,regime,bear,BMP,63,45,0.7142857142857143,0.14189189189189189,0.14563106796116504,13.5,0.15517241379310345
best_regime_daily_lightgbm_h20_bear,daily,lightgbm,20,,regime,bear,BID,60,42,0.7,0.13513513513513514,0.13592233009708737,12.0,0.13793103448275862
best_regime_daily_lightgbm_h20_bear,daily,lightgbm,20,,regime,bear,BWE,51,32,0.6274509803921569,0.11486486486486487,0.10355987055016182,6.5,0.07471264367816093
best_regime_daily_lightgbm_h20_bear,daily,lightgbm,20,,regime,bear,BCM,43,35,0.813953488372093,0.09684684684684684,0.11326860841423948,13.5,0.15517241379310345
best_regime_hourly_stacking_h1_high_volatility,hourly,stacking,1,,volatility_regime,high_volatility,BID,328,184,0.5609756097560976,0.16302186878727634,0.16182937554969218,20.0,0.15267175572519084
best_regime_hourly_stacking_h1_high_volatility,hourly,stacking,1,,volatility_regime,high_volatility,BMP,320,177,0.553125,0.15904572564612326,0.15567282321899736,17.0,0.1297709923664122
best_regime_hourly_stacking_h1_high_volatility,hourly,stacking,1,,volatility_regime,high_volatility,BCM,296,180,0.6081081081081081,0.147117296222664,0.158311345646438,32.0,0.24427480916030533
best_regime_hourly_stacking_h1_high_volatility,hourly,stacking,1,,volatility_regime,high_volatility,BVH,289,160,0.5536332179930796,0.14363817097415507,0.14072119613016712,15.5,0.1183206106870229
best_regime_hourly_stacking_h1_high_volatility,hourly,stacking,1,,volatility_regime,high_volatility,CII,285,165,0.5789473684210527,0.14165009940357853,0.14511873350923482,22.5,0.1717557251908397
best_regime_hourly_stacking_h1_high_volatility,hourly,stacking,1,,volatility_regime,high_volatility,BWE,266,156,0.5864661654135338,0.13220675944333996,0.13720316622691292,23.0,0.17557251908396945
best_regime_hourly_stacking_h1_high_volatility,hourly,stacking,1,,volatility_regime,high_volatility,ANV,228,115,0.5043859649122807,0.11332007952286283,0.1011433597185576,1.0,0.007633587786259542
global_daily,daily,,,,,,BMP,3776,1951,0.5166843220338984,0.14465216058841557,0.14052146355517142,63.0,0.07368421052631578
global_daily,daily,,,,,,ANV,3756,1855,0.49387646432374865,0.14388599448360403,0.1336070296744454,-23.0,0.0
global_daily,daily,,,,,,CII,3732,2005,0.5372454448017149,0.14296659515783022,0.1444108326130798,139.0,0.16257309941520467
global_daily,daily,,,,,,BVH,3728,2099,0.5630364806866953,0.14281336193686792,0.15118121578795737,235.0,0.27485380116959063
global_daily,daily,,,,,,BID,3724,2131,0.572234156820623,0.1426601287159056,0.1534860270815327,269.0,0.3146198830409357
global_daily,daily,,,,,,BCM,3720,1995,0.5362903225806451,0.1425068954949433,0.1436905790838375,135.0,0.15789473684210525
global_daily,daily,,,,,,BWE,3668,1848,0.5038167938931297,0.14051486362243334,0.1331028522039758,14.0,0.016374269005847954
global_hourly,hourly,,,,,,BMP,18840,9713,0.515552016985138,0.14725192271618834,0.14802566408095463,293.0,0.1504106776180698
global_hourly,hourly,,,,,,BVH,18464,9503,0.5146772097053726,0.1443131369974364,0.14482527393815628,271.0,0.1391170431211499
global_hourly,hourly,,,,,,BCM,18428,9638,0.5230084653787714,0.1440317638967048,0.1468826676013838,424.0,0.21765913757700206
global_hourly,hourly,,,,,,BID,18256,9871,0.5406989482909729,0.14268742574876508,0.15043357666458387,743.0,0.38141683778234087
global_hourly,hourly,,,,,,ANV,18156,8920,0.49129764265256665,0.1419058338022885,0.1359403813036256,-158.0,0.0
global_hourly,hourly,,,,,,CII,17928,8819,0.49191209281570725,0.14012380416432188,0.13440114604447018,-145.0,0.0
global_hourly,hourly,,,,,,BWE,17872,9153,0.5121418979409131,0.139686112674295,0.13949129036682567,217.0,0.11139630390143737
selected_confidence_hourly_stacking_h1_t0.57,hourly,stacking,1,0.57,,,BID,716,415,0.5796089385474861,0.31171092729647365,0.3009427121102248,57.0,0.2472885032537961
selected_confidence_hourly_stacking_h1_t0.57,hourly,stacking,1,0.57,,,CII,660,383,0.5803030303030303,0.2873313016978668,0.27773749093546046,53.0,0.2299349240780911
selected_confidence_hourly_stacking_h1_t0.57,hourly,stacking,1,0.57,,,BCM,450,294,0.6533333333333333,0.195907705703091,0.2131979695431472,69.0,0.2993492407809111
selected_confidence_hourly_stacking_h1_t0.57,hourly,stacking,1,0.57,,,ANV,334,209,0.625748502994012,0.1454070526774053,0.15155910079767948,42.0,0.1822125813449024
selected_confidence_hourly_stacking_h1_t0.57,hourly,stacking,1,0.57,,,BMP,137,78,0.5693430656934306,0.05964301262516326,0.05656272661348803,9.5,0.04121475054229935
