ticker,model_name,observations,accuracy,precision,recall,f1,roc_auc,positive_class_precision,true_negative,false_positive,false_negative,true_positive
ACB,cart,42,0.4523809523809524,0.0,0.0,0.0,0.3275862068965517,0.0,19,10,13,0
ACB,lightgbm,42,0.7142857142857143,1.0,0.07692307692307693,0.14285714285714285,0.7002652519893899,1.0,29,0,12,1
ACB,xgboost,42,0.6666666666666666,0.0,0.0,0.0,0.6047745358090186,0.0,28,1,13,0
DGC,cart,42,0.5952380952380952,0.7777777777777778,0.5185185185185185,0.6222222222222222,0.625925925925926,0.7777777777777778,11,4,13,14
DGC,lightgbm,42,0.38095238095238093,0.6,0.1111111111111111,0.1875,0.582716049382716,0.6,13,2,24,3
DGC,xgboost,42,0.5,0.6875,0.4074074074074074,0.5116279069767442,0.6518518518518519,0.6875,10,5,16,11
HPG,cart,42,0.4523809523809524,0.4230769230769231,0.5789473684210527,0.4888888888888889,0.4633867276887872,0.4230769230769231,8,15,8,11
HPG,lightgbm,42,0.4523809523809524,0.4230769230769231,0.5789473684210527,0.4888888888888889,0.49199084668192217,0.4230769230769231,8,15,8,11
HPG,xgboost,42,0.47619047619047616,0.4444444444444444,0.631578947368421,0.5217391304347826,0.4439359267734554,0.4444444444444444,8,15,7,12
MWG,cart,42,0.38095238095238093,0.35294117647058826,0.2857142857142857,0.3157894736842105,0.38095238095238093,0.35294117647058826,10,11,15,6
MWG,lightgbm,42,0.6190476190476191,0.6666666666666666,0.47619047619047616,0.5555555555555556,0.6689342403628118,0.6666666666666666,16,5,11,10
MWG,xgboost,42,0.6428571428571429,0.6875,0.5238095238095238,0.5945945945945946,0.6417233560090704,0.6875,16,5,10,11
OVERALL,cart,168,0.47023809523809523,0.43661971830985913,0.3875,0.4105960264900662,0.4664772727272727,0.43661971830985913,48,40,49,31
OVERALL,lightgbm,168,0.5416666666666666,0.5319148936170213,0.3125,0.3937007874015748,0.6079545454545455,0.5319148936170213,66,22,55,25
OVERALL,xgboost,168,0.5714285714285714,0.5666666666666667,0.425,0.4857142857142857,0.6126420454545455,0.5666666666666667,62,26,46,34
