index_code,chunk_start,chunk_end,chunk_days,provider,source,success,rows,exception_type,exception_message
VNINDEX,2005-01-01,2005-01-05,5,repo_adapter,KBS,false,0,,
VNINDEX,2005-01-01,2005-01-05,5,vnstock_data,KBS,false,0,,
VNINDEX,2005-01-01,2005-01-05,5,vnstock_data,VCI,false,0,RetryError,RetryError[<Future at 0x1d253b3ed50 state=finished raised ValueError>]
VNINDEX,2005-01-01,2005-01-05,5,legacy_vnstock,KBS,false,0,RetryError,RetryError[<Future at 0x1d253c5a0a0 state=finished raised ValueError>]
VNINDEX,2005-01-01,2005-01-05,5,legacy_vnstock,VCI,false,0,RetryError,RetryError[<Future at 0x1d253c88dd0 state=finished raised ValueError>]
VNINDEX,2005-01-01,2005-01-05,3,repo_adapter,KBS,false,0,,
VNINDEX,2005-01-01,2005-01-05,3,vnstock_data,KBS,false,0,,
VNINDEX,2005-01-01,2005-01-05,3,vnstock_data,VCI,false,0,RetryError,RetryError[<Future at 0x1d253c2b6d0 state=finished raised ValueError>]
VNINDEX,2005-01-01,2005-01-05,3,legacy_vnstock,KBS,false,0,RetryError,RetryError[<Future at 0x1d254c86650 state=finished raised ValueError>]
VNINDEX,2005-01-01,2005-01-05,3,legacy_vnstock,VCI,false,0,RetryError,RetryError[<Future at 0x1d254c86dd0 state=finished raised ValueError>]
VNINDEX,2005-01-01,2005-01-05,1,repo_adapter,KBS,false,0,,
VNINDEX,2005-01-01,2005-01-05,1,vnstock_data,KBS,false,0,,
VNINDEX,2005-01-01,2005-01-05,1,vnstock_data,VCI,false,0,RetryError,RetryError[<Future at 0x1d253c92b50 state=finished raised ValueError>]
VNINDEX,2005-01-01,2005-01-05,1,legacy_vnstock,KBS,false,0,RetryError,RetryError[<Future at 0x1d253c93750 state=finished raised ValueError>]
VNINDEX,2005-01-01,2005-01-05,1,legacy_vnstock,VCI,false,0,RetryError,RetryError[<Future at 0x1d253c92ed0 state=finished raised ValueError>]
VNINDEX,2005-01-06,2005-01-10,5,repo_adapter,KBS,false,0,,
VNINDEX,2005-01-06,2005-01-10,5,vnstock_data,KBS,false,0,,
VNINDEX,2005-01-06,2005-01-10,5,vnstock_data,VCI,false,0,RetryError,RetryError[<Future at 0x1d254c86fd0 state=finished raised ValueError>]
VNINDEX,2005-01-06,2005-01-10,5,legacy_vnstock,KBS,false,0,RetryError,RetryError[<Future at 0x1d253c2b5d0 state=finished raised ValueError>]
VNINDEX,2005-01-06,2005-01-10,5,legacy_vnstock,VCI,false,0,RetryError,RetryError[<Future at 0x1d254c86bd0 state=finished raised ValueError>]
VNINDEX,2005-01-06,2005-01-10,3,repo_adapter,KBS,false,0,,
VNINDEX,2005-01-06,2005-01-10,3,vnstock_data,KBS,false,0,,
