entity_name,selection_family,evaluated_folds,observations,average_actual_return,profit_label_hit_rate,top_1_avg_return,top_3_avg_return,top_1_profit_rate,top_3_profit_rate,avg_return_vs_fixed_best_global,profit_rate_vs_fixed_best_global,selector_score_std,beats_fixed_best_global_on_avg_return,beats_fixed_best_global_on_profit_rate
fixed_best_classifier_model,baseline,4,636.0,0.021096205607081937,0.5260831042081042,0.016708472473221637,0.025988837943539955,0.5090163215163215,0.5228629603629603,0.0,0.0,0.3079112674217906,False,False
fixed_best_combined_method,baseline,4,636.0,0.021096205607081937,0.5260831042081042,0.014815465804204462,0.026126104697367945,0.4741137241137241,0.5432981682981683,0.0,0.0,0.471780267165463,False,False
fixed_best_global_setup,baseline,4,636.0,0.021096205607081937,0.5260831042081042,0.008458388365833177,0.026162232174482124,0.42947086697086695,0.5323326573326573,0.0,0.0,0.25016708598528953,False,False
fixed_best_horizon,baseline,4,636.0,0.021096205607081937,0.5260831042081042,0.008458388365833177,0.026162232174482124,0.42947086697086695,0.5323326573326573,0.0,0.0,0.25016708598528953,False,False
fixed_best_regression_model,baseline,4,636.0,0.021096205607081937,0.5260831042081042,0.008458388365833177,0.026162232174482124,0.42947086697086695,0.5323326573326573,0.0,0.0,0.25016708598528953,False,False
naive_global_baseline,baseline,4,636.0,0.021096205607081937,0.5260831042081042,0.007880814689361193,0.030682341099838462,0.42947086697086695,0.5661164411164411,0.0,0.0,0.0737823500204175,False,False
regime_agnostic_top_ranked_setup,baseline,4,636.0,0.021096205607081937,0.5260831042081042,0.008458388365833177,0.026162232174482124,0.42947086697086695,0.5323326573326573,0.0,0.0,0.25016708598528953,False,False
fallback_global,selector,4,680.0,0.02328934081554983,0.5462535587535587,0.011225389805583852,0.027367432787386833,0.46015268515268515,0.5459690209690209,0.002193135208467895,0.020170454545454547,0.33238031161458426,True,True
regime_weighted_rank,selector,4,680.0,0.02328934081554983,0.5462535587535587,0.011599385896879009,0.030598773842425087,0.47378904878904876,0.5669354419354419,0.002193135208467895,0.020170454545454547,0.4108202538528335,True,True
simple_regime_lookup,selector,4,680.0,0.02328934081554983,0.5462535587535587,0.011599385896879009,0.030598773842425087,0.47378904878904876,0.5669354419354419,0.002193135208467895,0.020170454545454547,0.4108202538528335,True,True
