fold_id,fold_number,selector_mode,status,rows_selected,average_actual_return,profit_label_hit_rate,top_3_avg_return
fold_001,1,fallback_global,insufficient_prior_history,0,,,
fold_001,1,regime_weighted_rank,insufficient_prior_history,0,,,
fold_001,1,simple_regime_lookup,insufficient_prior_history,0,,,
fold_002,2,fallback_global,evaluated,168,0.07373405705216558,0.7619047619047619,0.08830814302826512
fold_002,2,regime_weighted_rank,evaluated,168,0.07373405705216558,0.7619047619047619,0.08830814302826512
fold_002,2,simple_regime_lookup,evaluated,168,0.07373405705216558,0.7619047619047619,0.08830814302826512
fold_003,3,fallback_global,evaluated,148,0.0463114148900075,0.7635135135135135,0.041279169216294605
fold_003,3,regime_weighted_rank,evaluated,148,0.0463114148900075,0.7635135135135135,0.055909514684225836
fold_003,3,simple_regime_lookup,evaluated,148,0.0463114148900075,0.7635135135135135,0.055909514684225836
fold_004,4,fallback_global,evaluated,220,-0.014824169538397807,0.38181818181818183,-0.0061026551363902665
fold_004,4,regime_weighted_rank,evaluated,220,-0.014824169538397807,0.38181818181818183,-0.007791358928592316
fold_004,4,simple_regime_lookup,evaluated,220,-0.014824169538397807,0.38181818181818183,-0.007791358928592316
fold_005,5,fallback_global,evaluated,144,-0.012063939141575952,0.2777777777777778,-0.014014925958622125
fold_005,5,regime_weighted_rank,evaluated,144,-0.012063939141575952,0.2777777777777778,-0.01403120341419829
fold_005,5,simple_regime_lookup,evaluated,144,-0.012063939141575952,0.2777777777777778,-0.01403120341419829
