ticker,asset_type,listing_date_used,requested_start,provider,chunks_attempted,chunks_succeeded,chunks_failed,total_rows,first_datetime,last_datetime,training_rows_before_cutoff,evaluation_rows_after_2025_01_01,usable,normalized_cache_path,missing_reason
ACB,stock,2006-11-21 00:00:00,2006-11-21 00:00:00,vnstock/KBS;vnstock/VCI,5,5,0,237,2023-09-11 10:00:00,2026-05-13 14:00:00,91,146,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/ACB.csv,training_rows_below_1000
BID,stock,,2005-01-01 00:00:00,vnstock/KBS;vnstock/VCI,5,5,0,247,2023-09-11 10:00:00,2026-05-13 14:00:00,91,156,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/BID.csv,training_rows_below_1000
CTG,stock,,2005-01-01 00:00:00,,2,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/CTG.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
DGC,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/DGC.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
FPT,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/FPT.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
GAS,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/GAS.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
GVR,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/GVR.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
HDB,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/HDB.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
HPG,stock,2007-11-15 00:00:00,2007-11-15 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/HPG.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
LPB,stock,,2005-01-01 00:00:00,,0,0,0,0,,,0,0,false,data/market_cache/vnstock_data/vn30/hourly_listing_aware/LPB.csv,no_provider_hourly_rows_observed; training_rows_below_1000; evaluation_rows_below_100
