ticker,asset_type,chunk_start,chunk_end,chunk_level,failure_reason
CTG,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
DGC,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
FPT,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
GAS,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
GVR,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
HDB,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
HPG,stock,2007-11-15 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
LPB,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
MBB,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
MSN,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
MWG,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
PLX,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
SAB,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
SHB,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
SSB,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
SSI,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
STB,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
TCB,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
TPB,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
VCB,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
VHM,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
VIB,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
VIC,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
VJC,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
VNM,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
VPB,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
VPL,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
VRE,stock,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
VNINDEX,index,2005-01-01 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
VN30INDEX,index,2012-02-06 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
VNXALL,index,2016-10-24 00:00:00,2026-05-14 23:59:59,summarize_existing_only,no normalized listing-aware cache file exists
