horizon,regime,model_name,observations_regression,mae,rmse,directional_accuracy,average_actual_return_x,average_predicted_return,observations_classification,accuracy,precision,recall,f1,roc_auc,positive_class_precision,realized_profit_rate,ranking_method,profit_rate,average_actual_return_y,rank_regression_rmse,rank_classification_f1,rank_combined_profit_rate,overall_rank
3d,bear,xgboost,24,0.03821546083892876,0.04588388419245713,0.4583333333333333,-0.0050021229583237905,0.016998354317668853,24,0.5833333333333334,0.5294117647058824,0.8181818181818182,0.6428571428571429,0.6433566433566433,0.5294117647058824,0.4583333333333333,combined_weighted_linear_gated,0.7142857142857143,0.027497916897476583,2.0,3.0,1.0,2.0
3d,bear,lightgbm,24,0.03469691566149952,0.044235854138488136,0.5416666666666666,-0.0050021229583237905,0.019580218640522593,24,0.5416666666666666,0.5,0.8181818181818182,0.6206896551724138,0.5524475524475524,0.5,0.4583333333333333,combined_weighted_linear_gated,0.7,0.02665209789545196,1.0,4.0,2.0,2.3333333333333335
5d,bear,lightgbm,16,0.052834146813819566,0.0666442825898845,0.5,0.008531883658818124,0.0371666489897853,16,0.5625,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.6666666666666666,0.5714285714285714,0.5625,combined_rank_based,0.5833333333333334,0.014314878145963694,3.0,1.0,4.0,2.6666666666666665
20d,bear,xgboost,12,0.1304956188800352,0.1944450140346164,0.8333333333333334,0.07874731228381775,0.15490571580206355,12,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.03703703703703704,0.6666666666666666,0.75,combined_rank_based,0.6666666666666666,0.07175536825720534,8.0,2.0,3.0,4.333333333333333
5d,bear,xgboost,16,0.05913436802388746,0.07463998979529612,0.4375,0.008531883658818124,0.036052658877451876,16,0.4375,0.5,0.7777777777777778,0.6086956521739131,0.3015873015873016,0.5,0.5625,combined_weighted_linear_gated,0.5,0.010991410214975522,4.0,5.0,5.0,4.666666666666667
20d,bear,cart,12,0.1576503116164649,0.18985870216397369,0.5833333333333334,0.07874731228381775,0.1335816579792159,12,0.4166666666666667,0.625,0.5555555555555556,0.5882352941176471,0.2777777777777778,0.625,0.75,combined_rank_based,0.6666666666666666,0.07175536825720533,7.0,6.0,3.0,5.333333333333333
20d,bear,lightgbm,12,0.12475513036900339,0.19518380867543053,0.8333333333333334,0.07874731228381775,0.1632554075457001,12,0.4166666666666667,0.625,0.5555555555555556,0.5882352941176471,0.0,0.625,0.75,combined_weighted_linear,0.6666666666666666,0.07175536825720534,9.0,6.0,3.0,6.0
5d,bear,cart,16,0.07441018602467676,0.10275521602452913,0.4375,0.008531883658818124,0.040059991658212064,16,0.3125,0.4,0.4444444444444444,0.42105263157894735,0.29365079365079366,0.4,0.5625,combined_rank_based,0.5,0.00446545731744731,6.0,7.0,5.0,6.0
3d,bear,cart,24,0.0696079364653071,0.08652476750378459,0.25,-0.0050021229583237905,0.0236236557682189,24,0.2916666666666667,0.25,0.2727272727272727,0.2608695652173913,0.2902097902097902,0.25,0.4583333333333333,combined_rank_based,0.3888888888888889,-0.01150099156114708,5.0,8.0,6.0,6.333333333333333
3d,bull,cart,40,0.04870884274054535,0.06459616581288515,0.375,-0.011137112112521361,0.011746659508100193,40,0.625,0.4,0.7272727272727273,0.5161290322580645,0.6567398119122257,0.4,0.275,combined_weighted_linear_gated,0.5714285714285714,0.007968045173443445,3.0,4.0,1.0,2.6666666666666665
20d,bull,lightgbm,88,0.13837852791936606,0.20355103767340274,0.5795454545454546,-0.019486555030020863,0.10511248029115162,88,0.5681818181818182,0.4375,0.9333333333333333,0.5957446808510638,0.5620689655172414,0.4375,0.3409090909090909,combined_weighted_linear_gated,0.4576271186440678,-0.0023069452173552574,7.0,1.0,3.0,3.6666666666666665
20d,bull,xgboost,88,0.14653674044949042,0.2074149806712144,0.4772727272727273,-0.019486555030020863,0.11827362785433335,88,0.5454545454545454,0.4264705882352941,0.9666666666666667,0.5918367346938775,0.6040229885057471,0.4264705882352941,0.3409090909090909,combined_weighted_linear_gated,0.46551724137931033,-0.0009447102530941447,9.0,2.0,2.0,4.333333333333333
3d,bull,xgboost,40,0.04116975017968312,0.049926681196419555,0.375,-0.011137112112521361,0.012698991023353267,40,0.475,0.2222222222222222,0.36363636363636365,0.27586206896551724,0.4796238244514107,0.2222222222222222,0.275,combined_rank_based,0.26666666666666666,-0.010437778369971699,1.0,6.0,6.0,4.333333333333333
5d,bull,xgboost,40,0.061917647957564416,0.07823662287736924,0.45,-0.025791646629617814,0.022680249213590277,40,0.35,0.22580645161290322,0.7777777777777778,0.35,0.4336917562724014,0.22580645161290322,0.225,combined_rank_based,0.3,-0.01550335276018314,4.0,5.0,5.0,4.666666666666667
20d,bull,cart,88,0.16008875629671382,0.2039864711013908,0.4659090909090909,-0.019486555030020863,0.09601391630272199,88,0.5681818181818182,0.43103448275862066,0.8333333333333334,0.5681818181818182,0.632183908045977,0.43103448275862066,0.3409090909090909,combined_rank_based,0.3939393939393939,-0.011466333789964473,8.0,3.0,4.0,5.0
5d,bull,lightgbm,40,0.0665544218662398,0.08049571910840904,0.25,-0.025791646629617814,0.02178363888346968,40,0.35,0.22580645161290322,0.7777777777777778,0.35,0.43727598566308246,0.22580645161290322,0.225,combined_rank_based,0.3,-0.01836054940846065,5.0,5.0,5.0,5.0
3d,bull,lightgbm,40,0.04470745275420109,0.05320010434768027,0.275,-0.011137112112521361,0.01522435468347726,40,0.525,0.21428571428571427,0.2727272727272727,0.24,0.5109717868338558,0.21428571428571427,0.275,combined_weighted_linear_gated,0.25,-0.025860236112684055,2.0,7.0,7.0,5.333333333333333
5d,bull,cart,40,0.09029882996229073,0.11657591308343726,0.4,-0.025791646629617814,0.029403220904036954,40,0.475,0.2,0.4444444444444444,0.27586206896551724,0.46415770609318996,0.2,0.225,combined_rank_based,0.2,-0.025136598001911887,6.0,6.0,8.0,6.666666666666667
20d,sideway,xgboost,48,0.1335797245106367,0.20468171421524742,0.7708333333333334,0.038329310520708405,0.14425238928136722,48,0.7083333333333334,0.775,0.8611111111111112,0.8157894736842105,0.2777777777777778,0.775,0.75,combined_rank_based,0.75,0.03925163197630327,8.0,1.0,1.0,3.3333333333333335
5d,sideway,xgboost,92,0.04950488562968977,0.06297117518816507,0.6739130434782609,0.01654607634951196,0.03158658885054727,92,0.6195652173913043,0.6410256410256411,0.8771929824561403,0.7407407407407407,0.630576441102757,0.6410256410256411,0.6195652173913043,combined_weighted_linear_gated,0.7111111111111111,0.02537484387972166,3.0,4.0,3.0,3.3333333333333335
20d,sideway,cart,48,0.1652332896058358,0.19712693900354422,0.5625,0.038329310520708405,0.11463457397955851,48,0.625,0.7368421052631579,0.7777777777777778,0.7567567567567568,0.4722222222222222,0.7368421052631579,0.75,combined_rank_based,0.7222222222222222,0.035265240925381726,7.0,3.0,2.0,4.0
20d,sideway,lightgbm,48,0.15072796157592452,0.21500051684206162,0.6666666666666666,0.038329310520708405,0.1361106601131358,48,0.6875,0.7692307692307693,0.8333333333333334,0.8,0.23379629629629634,0.7692307692307693,0.75,combined_rank_based,0.75,0.039251631976303276,9.0,2.0,1.0,4.0
5d,sideway,lightgbm,92,0.05115621175790573,0.06502394237824818,0.6304347826086957,0.01654607634951196,0.034289399947509326,92,0.5543478260869565,0.6,0.8421052631578947,0.7007299270072993,0.6481203007518795,0.6,0.6195652173913043,combined_weighted_linear_gated,0.66,0.02346617214238727,5.0,5.0,4.0,4.666666666666667
3d,sideway,lightgbm,84,0.03421094355391094,0.04121840236346432,0.6309523809523809,0.008486691271883026,0.019140252887729296,84,0.4523809523809524,0.5,0.6521739130434783,0.5660377358490566,0.4250572082379863,0.5,0.5476190476190477,combined_weighted_linear_gated,0.5641025641025641,0.0116939206236269,1.0,8.0,6.0,5.0
3d,sideway,xgboost,84,0.03394130968401392,0.042246760033558886,0.5476190476190477,0.008486691271883026,0.013038336889145432,84,0.5119047619047619,0.5454545454545454,0.6521739130434783,0.594059405940594,0.4891304347826087,0.5454545454545454,0.5476190476190477,combined_weighted_linear_gated,0.5476190476190477,0.010374367774499148,2.0,7.0,7.0,5.333333333333333
5d,sideway,cart,92,0.06939700369452359,0.09141721990659758,0.532608695652174,0.01654607634951196,0.03149273175117058,92,0.5108695652173914,0.5967741935483871,0.6491228070175439,0.6218487394957983,0.4674185463659148,0.5967741935483871,0.6195652173913043,combined_weighted_linear_gated,0.6341463414634146,0.017589740495875757,6.0,6.0,5.0,5.666666666666667
3d,sideway,cart,84,0.049949838922528515,0.0646310861769857,0.5,0.008486691271883026,0.023878640299452296,84,0.4642857142857143,0.5111111111111111,0.5,0.5054945054945055,0.4605263157894737,0.5111111111111111,0.5476190476190477,combined_weighted_linear,0.5079365079365079,0.007253502224205039,4.0,9.0,8.0,7.0
