registry_id,phase,diagnostic_only,row_type,feature_group,description,expected_patterns,hypothesis,risk,governance_note
feature_group_registry_v1,5,True,feature_group,lag_returns,Lagged close returns and price-change features.,"lag,return_lag,close_return_lag,pct_change_lag,return_1",Captures short-term persistence and reversal behavior.,May overfit short-term noise.,"Feature importance and ablation results are diagnostic evidence, not causal proof."
feature_group_registry_v1,5,True,feature_group,rolling_mean,Rolling mean and moving-average level features.,"rolling_mean,ma_,moving_average,sma",Captures smoothed trend and price level context.,May lag turning points.,"Feature importance and ablation results are diagnostic evidence, not causal proof."
feature_group_registry_v1,5,True,feature_group,rolling_volatility,Rolling standard deviation and realized volatility features.,"rolling_std,volatility,realized_vol,vol_",Captures uncertainty and regime-sensitive variation.,May react late to volatility shifts.,"Feature importance and ablation results are diagnostic evidence, not causal proof."
feature_group_registry_v1,5,True,feature_group,volume,Volume and volume shock features.,"volume,volume_mean,volume_shock,liquidity","Captures participation, attention, and liquidity pressure.",Volume spikes may be noisy or event-driven.,"Feature importance and ablation results are diagnostic evidence, not causal proof."
feature_group_registry_v1,5,True,feature_group,momentum_indicators,"RSI, MACD, and momentum-style indicators.","rsi,macd,momentum,signal",Captures technical momentum and overbought/oversold behavior.,Indicator performance may be regime-dependent.,"Feature importance and ablation results are diagnostic evidence, not causal proof."
feature_group_registry_v1,5,True,feature_group,spread_range,"Intraday range, high-low spread, open-close spread, ATR-like proxies.","high_low,range,spread,atr,open_close,close_open,true_range",Captures intraday uncertainty and price pressure.,Range features may overlap with volatility features.,"Feature importance and ablation results are diagnostic evidence, not causal proof."
feature_group_registry_v1,5,True,feature_group,calendar_optional,Calendar/time features if present.,"day,month,quarter,weekday",Captures seasonal or calendar effects.,Weak evidence without sufficient cycles.,"Feature importance and ablation results are diagnostic evidence, not causal proof."
feature_group_registry_v1,5,True,excluded_or_guarded_field,excluded_or_guarded_fields,date,,,Excluded from model features unless explicitly safe.,Guarded against target leakage and metadata leakage.
feature_group_registry_v1,5,True,excluded_or_guarded_field,excluded_or_guarded_fields,ticker,,,Excluded from model features unless explicitly safe.,Guarded against target leakage and metadata leakage.
feature_group_registry_v1,5,True,excluded_or_guarded_field,excluded_or_guarded_fields,y_true,,,Excluded from model features unless explicitly safe.,Guarded against target leakage and metadata leakage.
feature_group_registry_v1,5,True,excluded_or_guarded_field,excluded_or_guarded_fields,y_pred,,,Excluded from model features unless explicitly safe.,Guarded against target leakage and metadata leakage.
feature_group_registry_v1,5,True,excluded_or_guarded_field,excluded_or_guarded_fields,target,,,Excluded from model features unless explicitly safe.,Guarded against target leakage and metadata leakage.
feature_group_registry_v1,5,True,excluded_or_guarded_field,excluded_or_guarded_fields,future_return,,,Excluded from model features unless explicitly safe.,Guarded against target leakage and metadata leakage.
feature_group_registry_v1,5,True,excluded_or_guarded_field,excluded_or_guarded_fields,realized_future_return,,,Excluded from model features unless explicitly safe.,Guarded against target leakage and metadata leakage.
feature_group_registry_v1,5,True,excluded_or_guarded_field,excluded_or_guarded_fields,actual_direction,,,Excluded from model features unless explicitly safe.,Guarded against target leakage and metadata leakage.
feature_group_registry_v1,5,True,excluded_or_guarded_field,excluded_or_guarded_fields,diagnostics,,,Excluded from model features unless explicitly safe.,Guarded against target leakage and metadata leakage.
feature_group_registry_v1,5,True,excluded_or_guarded_field,excluded_or_guarded_fields,model_name,,,Excluded from model features unless explicitly safe.,Guarded against target leakage and metadata leakage.
feature_group_registry_v1,5,True,excluded_or_guarded_field,excluded_or_guarded_fields,model_type,,,Excluded from model features unless explicitly safe.,Guarded against target leakage and metadata leakage.
