experiment_id,ticker,horizon,model_name,feature_name,feature_group,importance_type,importance_value,normalized_importance,rank,sample_size,notes
EXP-FA-007,FPT,1,xgboost,open,default_ohlcv,feature_importances_,0.3109087347984314,0.3109087180765546,1,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,high,default_ohlcv,feature_importances_,0.1982106268405914,0.1982106161800557,2,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,low,default_ohlcv,feature_importances_,0.028314784169197,0.0283147826463182,7,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,close,default_ohlcv,feature_importances_,0.178280770778656,0.1782807611900251,3,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,volume,volume,feature_importances_,0.0,0.0,12,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,return_1,lag_returns,feature_importances_,0.0,0.0,13,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,high_low_range,spread_range,feature_importances_,0.0,0.0,14,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,close_open_return,spread_range,feature_importances_,0.0,0.0,15,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,ma_3,rolling_mean,feature_importances_,0.0831210166215896,0.0831210121510192,5,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,ma_5,rolling_mean,feature_importances_,0.0273540448397398,0.0273540433685332,8,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,close_return_lag_1,lag_returns,feature_importances_,0.0,0.0,16,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,close_return_lag_2,lag_returns,feature_importances_,8.899869862943888e-05,8.899869384274392e-05,11,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,close_return_lag_3,lag_returns,feature_importances_,0.0,0.0,17,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,close_return_lag_5,lag_returns,feature_importances_,0.0,0.0,18,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,pct_change_lag_1,lag_returns,feature_importances_,0.0,0.0,19,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,rolling_mean_5,rolling_mean,feature_importances_,0.0084208576008677,0.0084208571479613,9,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,rolling_mean_10,rolling_mean,feature_importances_,0.0369113311171531,0.0369113291319187,6,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,sma_20,rolling_mean,feature_importances_,0.1268162131309509,0.1268162063102834,4,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,rolling_std_5,rolling_volatility,feature_importances_,0.0,0.0,20,369,"High feature importance indicates model reliance, not causal market influence."
EXP-FA-007,FPT,1,xgboost,rolling_std_10,rolling_volatility,feature_importances_,0.0,0.0,21,369,"High feature importance indicates model reliance, not causal market influence."
