experiment_id,reference_experiment_id,removed_group,regime_column,regime,ticker,horizon,model_name,model_type,baseline_mae,ablated_mae,delta_mae,baseline_rmse,ablated_rmse,delta_rmse,baseline_directional_accuracy,ablated_directional_accuracy,delta_directional_accuracy,sample_size,small_sample_flag,notes
EXP-FA-001,EXP-FA-000,lag_returns,trend_regime,bear,ACB,1,ets,model,0.783052814124827,0.783052814124827,0.0,0.8406443933427721,0.8406443933427721,0.0,0.45454545454545453,0.45454545454545453,0.0,22.0,False,Joined to rule-based regime labels by date and ticker; regime deltas are diagnostic.
EXP-FA-001,EXP-FA-000,lag_returns,trend_regime,bull,ACB,1,ets,model,0.5223880225773988,0.5223880225773988,0.0,0.5805664764350286,0.5805664764350286,0.0,0.41935483870967744,0.41935483870967744,0.0,31.0,False,Joined to rule-based regime labels by date and ticker; regime deltas are diagnostic.
EXP-FA-001,EXP-FA-000,lag_returns,trend_regime,sideway,ACB,1,ets,model,0.5022882780053175,0.5022882780053175,0.0,0.6144945031469865,0.6144945031469865,0.0,0.5921052631578947,0.5921052631578947,0.0,76.0,False,Joined to rule-based regime labels by date and ticker; regime deltas are diagnostic.
EXP-FA-001,EXP-FA-000,lag_returns,trend_regime,bear,ACB,1,lightgbm,model,1.4961940980120394,1.4971534311619938,0.0009593331499544444,1.521914416052457,1.52396505660305,0.002050640550593119,0.45454545454545453,0.45454545454545453,0.0,22.0,False,Joined to rule-based regime labels by date and ticker; regime deltas are diagnostic.
EXP-FA-001,EXP-FA-000,lag_returns,trend_regime,bull,ACB,1,lightgbm,model,2.213192319113296,2.218672143418512,0.005479824305215875,2.275349935229845,2.2806804174082917,0.005330482178446783,0.6451612903225806,0.6451612903225806,0.0,31.0,False,Joined to rule-based regime labels by date and ticker; regime deltas are diagnostic.
EXP-FA-001,EXP-FA-000,lag_returns,trend_regime,sideway,ACB,1,lightgbm,model,1.636137281078736,1.6372528374086186,0.0011155563298825832,1.6913015292869507,1.6931097846369052,0.0018082553499545462,0.35526315789473684,0.35526315789473684,0.0,76.0,False,Joined to rule-based regime labels by date and ticker; regime deltas are diagnostic.
EXP-FA-001,EXP-FA-000,lag_returns,trend_regime,bear,ACB,1,moving_average_rule,baseline,0.22609090909090943,0.22609090909090943,0.0,0.28215501864304093,0.28215501864304093,0.0,0.4090909090909091,0.4090909090909091,0.0,22.0,False,Joined to rule-based regime labels by date and ticker; regime deltas are diagnostic.
EXP-FA-001,EXP-FA-000,lag_returns,trend_regime,bull,ACB,1,moving_average_rule,baseline,0.2258709677419358,0.2258709677419358,0.0,0.30116183624905624,0.30116183624905624,0.0,0.5483870967741935,0.5483870967741935,0.0,31.0,False,Joined to rule-based regime labels by date and ticker; regime deltas are diagnostic.
EXP-FA-001,EXP-FA-000,lag_returns,trend_regime,sideway,ACB,1,moving_average_rule,baseline,0.239631578947368,0.239631578947368,0.0,0.3011151204929328,0.3011151204929328,0.0,0.40789473684210525,0.40789473684210525,0.0,76.0,False,Joined to rule-based regime labels by date and ticker; regime deltas are diagnostic.
EXP-FA-001,EXP-FA-000,lag_returns,trend_regime,bear,ACB,1,persistence,baseline,0.15636363636363626,0.15636363636363626,0.0,0.1937195723907955,0.1937195723907955,0.0,0.09090909090909091,0.09090909090909091,0.0,22.0,False,Joined to rule-based regime labels by date and ticker; regime deltas are diagnostic.
EXP-FA-001,EXP-FA-000,lag_returns,trend_regime,bull,ACB,1,persistence,baseline,0.1248387096774195,0.1248387096774195,0.0,0.17482710353098113,0.17482710353098113,0.0,0.0967741935483871,0.0967741935483871,0.0,31.0,False,Joined to rule-based regime labels by date and ticker; regime deltas are diagnostic.
