model_name,feature_group,feature_name,context_count,mean_importance_value,mean_normalized_importance,mean_rank,top_5_count,top_10_count,sample_size,notes
lightgbm,default_ohlcv,close,18,42.5,0.26904397025456855,1.5,18,18,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,rolling_mean,sma_20,18,22.444444444444443,0.13802218431514862,3.0555555555555554,17,18,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,default_ohlcv,high,18,21.833333333333332,0.13769173202428203,3.5,16,18,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,default_ohlcv,low,18,17.11111111111111,0.1067951826386928,5.388888888888889,11,17,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,rolling_mean,rolling_mean_10,18,11.666666666666666,0.07110563688116528,7.722222222222222,11,14,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,rolling_mean,ma_3,18,7.666666666666667,0.04555975547084085,6.722222222222222,6,18,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,momentum_indicators,rsi_14,18,5.888888888888889,0.036377563292456366,12.944444444444445,4,11,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,volume,volume_mean_10,18,5.666666666666667,0.03569127159408562,11.61111111111111,5,7,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,default_ohlcv,open,18,5.222222222222222,0.0322073792079511,8.777777777777779,1,12,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,rolling_mean,ma_5,18,4.666666666666667,0.02886222023339518,9.555555555555555,0,13,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,volume,volume_mean_5,18,2.8333333333333335,0.017555232500995603,15.5,0,4,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,momentum_indicators,momentum_5,18,2.5,0.0150609549720273,21.72222222222222,0,5,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,rolling_volatility,rolling_std_10,18,2.3333333333333335,0.014206273919821467,15.777777777777779,0,6,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,momentum_indicators,macd_signal_9,18,2.1666666666666665,0.012434420599641385,19.333333333333332,0,3,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,momentum_indicators,macd_12_26,18,1.8333333333333333,0.011392972879822605,17.77777777777778,0,2,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,spread_range,atr_proxy_5,18,1.3333333333333333,0.008528899810668074,23.22222222222222,1,4,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,rolling_mean,rolling_mean_5,18,1.2777777777777777,0.0073831676297498395,16.944444444444443,0,1,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,volume,volume,18,0.9444444444444444,0.005521049187811762,13.555555555555555,0,5,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,rolling_volatility,rolling_std_5,18,0.5555555555555556,0.0032980474935738776,20.61111111111111,0,1,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,rolling_volatility,realized_vol_10,18,0.3888888888888889,0.0023973958573719834,21.72222222222222,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,lag_returns,close_return_lag_3,18,0.1111111111111111,0.0005910165484633556,20.444444444444443,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,spread_range,close_open_return,18,0.05555555555555555,0.0002736726874657889,17.72222222222222,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
lightgbm,lag_returns,close_return_lag_1,18,0.0,0.0,19.055555555555557,0,0,6642,"High feature importance indicates strong model reliance, not causal market influence."
