ticker,model_name,observations,mae,rmse,mape,directional_accuracy
ACB,cart,36,0.05782304137584498,0.06923016590590558,492.03447301768125,0.5833333333333334
ACB,lightgbm,36,0.033477503855957,0.04168977919096595,231.74565357024517,0.25
ACB,xgboost,36,0.03497150137228565,0.042517259893298645,288.17118885416966,0.3888888888888889
DGC,cart,36,0.13889298667089198,0.1563347541655379,290.80703854919835,0.75
DGC,lightgbm,36,0.048661989924289974,0.06439660626310188,99.68409028586449,0.75
DGC,xgboost,36,0.07266823799193961,0.08188051954137056,157.62896174428658,0.3055555555555556
HPG,cart,36,0.0820854840328104,0.08642435771959459,822.6556452870714,0.19444444444444445
HPG,lightgbm,36,0.08097568750604217,0.0925852243138227,761.5507987767968,0.25
HPG,xgboost,36,0.07831276641016283,0.08703992953977632,606.3646338390854,0.25
MWG,cart,36,0.1551416129027362,0.161107726246709,557.2668297313326,0.2777777777777778
MWG,lightgbm,36,0.09628892241832267,0.10576623143462809,329.9413348627683,0.16666666666666666
MWG,xgboost,36,0.0819191424523375,0.08882665402457181,266.40461587625094,0.16666666666666666
OVERALL,cart,144,0.10848578124557089,0.12515814026161798,541.37629979602,0.4513888888888889
OVERALL,lightgbm,144,0.06485102592615294,0.08006790877174301,357.476734385238,0.3541666666666667
OVERALL,xgboost,144,0.0669679120566814,0.07742457728119875,330.22645094076194,0.2777777777777778
