task_name,feature_name,proposed_action,issue,rationale
regression_forecasting,relative_strength_sector_20,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,log_return,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,adx_14,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,close_std_5,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,close_std_10,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,up_down_volume_ratio_5,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,high_low_range_pct,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,breadth_thrust_5,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,relative_strength_sector_60,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,rsi_14_lag_5,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,volume_min_60,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,rolling_corr_market_20,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,breadth_momentum_5,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,stoch_d_14,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,momentum_20,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,rsi_14_lag_2,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,vroc_20,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,abnormal_gap_sigma_20,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,up_volume,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,pct_return_lag_1,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,volume_ratio_20,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,unchanged,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,true_range,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,log_return_lag_1,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,m_ret_5d,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,vroc_60,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,open_to_close_return_1d,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,volume_lag_5,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,volume_lag_1,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,open_close_spread_pct,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,new_high_low_ratio,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,turnover_ratio_20,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,momentum_10,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,volume_lag_2,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,new_high_low_spread,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,up_down_volume_spread,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,turnover,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,m_ret,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,log_return_lag_5,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,close_return_5d,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,high_low_range,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,bb_percent_b,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,up_down_volume_ratio,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,volume_ratio_60,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
regression_forecasting,net_advancers,demote,weak_low_stability,Low walk-forward selection hit rate and weak evidence score across folds.
