feature_name,mean_mutual_information,mean_model_importance,mean_permutation_importance,mean_combined_score,score_std,selection_hit_rate,folds_selected,regime_mean_abs_ic,regime_max_abs_ic,regime_bucket_count,early_score,late_score,decay_ratio,freshness_label,regime_behavior,evidence_score,task_name
rolling_min_20,0.23775478782821105,0.04169308186447795,0.0002536497039653626,0.9379844961240309,0.08123184019993569,1.0,3.0,0.1209930862418658,0.3032490363952298,5,0.9848837209302324,0.9145348837209301,0.9285714276286052,stable,robust,0.8184593023255814,regression_forecasting
rolling_min_5,0.20494137181869032,0.05334091772817547,0.00044817994590280367,0.935174418604651,0.08333091081750164,1.0,3.0,0.13940644493675022,0.32193157309854675,5,0.9738372093023255,0.9158430232558139,0.9404477602283163,stable,robust,0.8393895348837209,regression_forecasting
turnover_ma_60,0.1496317131600482,0.01919950245092843,0.0009711780939463187,0.8787790697674419,0.07713135688012897,1.0,3.0,0.1153217538566694,0.3063822297690246,5,0.9081395348837209,0.8640988372093024,0.9515044803863076,stable,robust,0.8027616279069768,regression_forecasting
rolling_max_60,0.2154797749510807,0.02014248007530004,0.00019601284025546063,0.8753875968992247,0.07921836100317178,1.0,3.0,0.11278755788530179,0.2845161965489669,5,0.9668604651162791,0.8296511627906977,0.8580877922574198,stable,robust,0.7931686046511629,regression_forecasting
close_mean_10,0.183765303799305,0.03846597372824358,0.0002654027999794861,0.862984496124031,0.07391175355695034,1.0,3.0,0.13161044360284277,0.34000854231527305,5,0.9479651162790698,0.8204941860465116,0.8655320444718092,stable,robust,0.829796511627907,regression_forecasting
close_to_sma_200,0.11561626250170054,0.01572907365599867,9.245222872882503e-07,0.8320736434108525,0.08013683060174703,0.6666666666666666,2.0,0.15605264242014408,0.41891447649310604,5,0.8968023255813953,0.7997093023255814,0.8917341967366076,stable,robust,0.8347383720930232,regression_forecasting
rolling_max_20,0.17220431453323926,0.03261920187151244,0.0008142595237576322,0.8294573643410853,0.1310144888410471,0.6666666666666666,2.0,0.12142774011576256,0.32447597726014044,5,0.9715116279069766,0.7584302325581396,0.7806702565273772,stable,robust,0.7719476744186048,regression_forecasting
sma_50,0.18597021613821538,0.01031662384494384,0.0001674051415894523,0.8233527131782945,0.11069984750489004,0.6666666666666666,2.0,0.12054779640754099,0.31089976494583277,5,0.9470930232558139,0.7614825581395348,0.8040208708514942,stable,robust,0.7719476744186047,regression_forecasting
ema_20,0.18807561581450027,0.011319398946055876,0.00014174234402615968,0.8208333333333333,0.06686193965344042,1.0,3.0,0.12650043301371508,0.3301763429225054,5,0.8968023255813954,0.7828488372093023,0.8729335484593544,stable,robust,0.8245639534883721,regression_forecasting
bb_upper,0.18507965376723887,0.010755819664734682,0.00014171693918247076,0.798546511627907,0.13767320326694873,0.6666666666666666,2.0,0.11859134679998527,0.30226096960772597,5,0.9377906976744186,0.7289244186046511,0.7772783624693621,stable,robust,0.75625,regression_forecasting
