feature_name,category,input_source,exact_provenance,formula_logic,expected_availability,leakage_risk_note,usable_for_forecast,usable_for_regime,usable_for_risk,status
advance_decline_ratio,market_context,market/sector/breadth context,derived from vnstock_data,deterministic rolling/lagged transformation,requires market/sector/breadth context joins,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,True,True,active
advance_decline_ratio_5,market_context,market/sector/breadth context,derived from vnstock_data,deterministic rolling/lagged transformation,requires market/sector/breadth context joins,Safe only if context inputs are aligned on date and never forward-filled from the future.,True,True,True,active
advancers,market_context,market/sector/breadth context,derived from vnstock_data,deterministic rolling/lagged transformation,requires market/sector/breadth context joins,Computed from current and past rows only.,True,True,True,active
adx_14,technical_indicator,ohlcv,derived from vnstock_data,14-day average directional index,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
amihud_20,flow_microstructure,ohlcv,derived from vnstock_data,rolling mean of |return| / traded value,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
atr_14,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
atr_proxy_10,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
atr_proxy_5,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
bb_bandwidth_20,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
bb_bandwidth_5,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,deprecated
bb_bandwidth_60,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available with extended OHLCV history after warmup,Computed from current and past rows only.,True,False,True,deprecated
bb_lower,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
bb_percent_b,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
bb_upper,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
bb_width,technical_indicator,ohlcv,derived from vnstock_data,deterministic rolling/lagged transformation,available from OHLCV after standard warmup,Computed from current and past rows only.,True,False,True,active
