regime_bucket,observations,primary_metric,secondary_metric,metric_name,secondary_metric_name,task_name,fold_id
bull,288,0.06661567051332348,0.047528174399448696,rmse,mae,regression_forecasting,fold_001
bear,88,0.10639374348559828,0.03792365490539992,rmse,mae,regression_forecasting,fold_001
sideways,276,0.054657413595949216,0.0379349388771862,rmse,mae,regression_forecasting,fold_001
high_vol,156,0.0781206273592342,0.054559604342223546,rmse,mae,regression_forecasting,fold_001
low_vol,115,0.05579693655350668,0.039690308236334806,rmse,mae,regression_forecasting,fold_001
bull,177,0.05430286487771345,0.040703687490016634,rmse,mae,regression_forecasting,fold_002
bear,271,0.07645636165937988,0.06304219673819264,rmse,mae,regression_forecasting,fold_002
sideways,243,0.0647007573740306,0.04960337564012098,rmse,mae,regression_forecasting,fold_002
high_vol,117,0.04809640800568243,0.04010412509693771,rmse,mae,regression_forecasting,fold_002
low_vol,73,0.09099599446645039,0.0703531816259837,rmse,mae,regression_forecasting,fold_002
bull,81,0.04289154533780339,0.02878693828388963,rmse,mae,regression_forecasting,fold_003
bear,318,0.06923473389570602,0.052874856114655935,rmse,mae,regression_forecasting,fold_003
sideways,289,0.057791411068512856,0.03474242232926194,rmse,mae,regression_forecasting,fold_003
high_vol,73,0.05456158731065762,0.040480344638755356,rmse,mae,regression_forecasting,fold_003
low_vol,243,0.05520350316182993,0.03374104523084215,rmse,mae,regression_forecasting,fold_003
bull,288,0.5616797900262467,0.4201388888888889,f1,accuracy,directional_classification,fold_001
bear,88,0.6829268292682927,0.5568181818181818,f1,accuracy,directional_classification,fold_001
sideways,276,0.6525198938992043,0.5253623188405797,f1,accuracy,directional_classification,fold_001
high_vol,156,0.5933014354066986,0.4551282051282051,f1,accuracy,directional_classification,fold_001
low_vol,115,0.6666666666666666,0.5565217391304348,f1,accuracy,directional_classification,fold_001
bull,177,0.5373134328358209,0.4745762711864407,f1,accuracy,directional_classification,fold_002
bear,271,0.22784810126582278,0.5498154981549815,f1,accuracy,directional_classification,fold_002
sideways,243,0.4957983193277311,0.5061728395061729,f1,accuracy,directional_classification,fold_002
high_vol,117,0.40350877192982454,0.4188034188034188,f1,accuracy,directional_classification,fold_002
low_vol,73,0.45901639344262296,0.547945205479452,f1,accuracy,directional_classification,fold_002
bull,81,0.6382978723404256,0.5802469135802469,f1,accuracy,directional_classification,fold_003
bear,318,0.29045643153526973,0.46226415094339623,f1,accuracy,directional_classification,fold_003
sideways,289,0.49829351535836175,0.4913494809688581,f1,accuracy,directional_classification,fold_003
high_vol,73,0.3333333333333333,0.4520547945205479,f1,accuracy,directional_classification,fold_003
low_vol,243,0.6594202898550725,0.6131687242798354,f1,accuracy,directional_classification,fold_003
bull,288,0.4626865671641791,0.8611111111111112,f1,accuracy,regime_detection,fold_001
bear,88,0.0,0.0,f1,accuracy,regime_detection,fold_001
sideways,276,0.22033898305084745,0.2826086956521739,f1,accuracy,regime_detection,fold_001
high_vol,156,0.29599934213231366,0.6217948717948718,f1,accuracy,regime_detection,fold_001
low_vol,115,0.22964669738863286,0.30434782608695654,f1,accuracy,regime_detection,fold_001
bull,177,0.3002070393374741,0.8192090395480226,f1,accuracy,regime_detection,fold_002
bear,271,0.24748646558391338,0.5904059040590406,f1,accuracy,regime_detection,fold_002
sideways,243,0.16356107660455485,0.32510288065843623,f1,accuracy,regime_detection,fold_002
high_vol,117,0.6604234340083397,0.6752136752136753,f1,accuracy,regime_detection,fold_002
low_vol,73,0.43600212652844234,0.4657534246575342,f1,accuracy,regime_detection,fold_002
bull,81,0.07971014492753624,0.13580246913580246,f1,accuracy,regime_detection,fold_003
bear,318,0.239247311827957,0.559748427672956,f1,accuracy,regime_detection,fold_003
sideways,289,0.2888888888888889,0.7647058823529411,f1,accuracy,regime_detection,fold_003
high_vol,73,0.673612634349638,0.5753424657534246,f1,accuracy,regime_detection,fold_003
low_vol,243,0.41688354387680376,0.5185185185185185,f1,accuracy,regime_detection,fold_003
bull,288,0.04871882574914502,0.03409815320273175,rmse,mae,risk_layer,fold_001
bear,88,0.07863746190166414,0.030108951170632295,rmse,mae,risk_layer,fold_001
sideways,276,0.03982520269895686,0.02795593690606271,rmse,mae,risk_layer,fold_001
high_vol,156,0.05101340851785733,0.03790269679750804,rmse,mae,risk_layer,fold_001
low_vol,115,0.042732102850004644,0.0275140286095199,rmse,mae,risk_layer,fold_001
bull,177,0.03468109962205494,0.02652419926172792,rmse,mae,risk_layer,fold_002
bear,271,0.048677099984607765,0.03745569593104538,rmse,mae,risk_layer,fold_002
sideways,243,0.04777693482892643,0.036270657631318565,rmse,mae,risk_layer,fold_002
high_vol,117,0.03557591151626859,0.028339989671107096,rmse,mae,risk_layer,fold_002
low_vol,73,0.07617946650120429,0.05550429899151489,rmse,mae,risk_layer,fold_002
bull,81,0.035729064269967935,0.028160891197790368,rmse,mae,risk_layer,fold_003
bear,318,0.05802624333491698,0.040061371613743665,rmse,mae,risk_layer,fold_003
sideways,289,0.057290372249039795,0.038005464176862104,rmse,mae,risk_layer,fold_003
high_vol,73,0.04602669792021278,0.03678883878448895,rmse,mae,risk_layer,fold_003
low_vol,243,0.06115010132352031,0.03977726048940691,rmse,mae,risk_layer,fold_003
