feature_name,train_missing_ratio,validation_missing_ratio,train_unique_count,quality_issue,quality_action,task_name,fold_id
m_ret,0.0,0.0,441,,keep,regression_forecasting,fold_001
m_ret_5d,0.0,0.0,683,,keep,regression_forecasting,fold_001
m_ret_20d,0.0,0.0,441,,keep,regression_forecasting,fold_001
rel_to_market,0.0,0.0,3128,,keep,regression_forecasting,fold_001
s_ret,0.0,0.0,1969,,keep,regression_forecasting,fold_001
sector_dispersion,0.0,0.0,1969,,keep,regression_forecasting,fold_001
sector_member_count,0.0,0.0,10,,keep,regression_forecasting,fold_001
s_ret_5d,0.0,0.0,1969,,keep,regression_forecasting,fold_001
rel_to_sector,0.0,0.0,3320,,keep,regression_forecasting,fold_001
advancers,0.0,0.0,304,,keep,regression_forecasting,fold_001
decliners,0.0,0.0,300,,keep,regression_forecasting,fold_001
unchanged,0.0,0.0,247,,keep,regression_forecasting,fold_001
net_advancers,0.0,0.0,359,,keep,regression_forecasting,fold_001
advance_decline_ratio,0.0,0.0,438,,keep,regression_forecasting,fold_001
market_breadth,0.0,0.0,438,,keep,regression_forecasting,fold_001
breadth_member_count,0.0,0.0,52,,keep,regression_forecasting,fold_001
advancing_share,0.0,0.0,431,,keep,regression_forecasting,fold_001
declining_share,0.0,0.0,436,,keep,regression_forecasting,fold_001
pct_above_ma20,0.0,0.0,435,,keep,regression_forecasting,fold_001
pct_above_ma50,0.0,0.0,432,,keep,regression_forecasting,fold_001
new_highs_252,0.0,0.0,156,,keep,regression_forecasting,fold_001
new_lows_252,0.0,0.0,119,,keep,regression_forecasting,fold_001
new_high_low_spread,0.0,0.0,412,,keep,regression_forecasting,fold_001
up_volume,0.0,0.0,441,,keep,regression_forecasting,fold_001
down_volume,0.0,0.0,441,,keep,regression_forecasting,fold_001
up_down_volume_ratio,0.0,0.0,441,,keep,regression_forecasting,fold_001
log_return,0.0,0.0,2582,,keep,regression_forecasting,fold_001
range_5,0.0,0.0,3034,,keep,regression_forecasting,fold_001
range_20,0.0,0.0,2862,,keep,regression_forecasting,fold_001
roc_60,0.0,0.0,3122,,keep,regression_forecasting,fold_001
momentum_5,0.0,0.0,1129,,keep,regression_forecasting,fold_001
momentum_10,0.0,0.0,1334,,keep,regression_forecasting,fold_001
momentum_20,0.0,0.0,1607,,keep,regression_forecasting,fold_001
dist_ma_5,0.0,0.0,3235,,keep,regression_forecasting,fold_001
rolling_min_5,0.0,0.0,919,,keep,regression_forecasting,fold_001
rolling_max_5,0.0,0.0,980,,keep,regression_forecasting,fold_001
dist_ma_20,0.0,0.0,3345,,keep,regression_forecasting,fold_001
rolling_min_20,0.0,0.0,589,,keep,regression_forecasting,fold_001
rolling_max_20,0.0,0.0,649,,keep,regression_forecasting,fold_001
dist_ma_60,0.0,0.0,3351,,keep,regression_forecasting,fold_001
rolling_min_60,0.0,0.0,401,,keep,regression_forecasting,fold_001
rolling_max_60,0.0,0.0,468,,keep,regression_forecasting,fold_001
sma_20,0.0,0.0,3158,,keep,regression_forecasting,fold_001
sma_50,0.0,0.0,3271,,keep,regression_forecasting,fold_001
sma_200,0.0,0.0,3337,,keep,regression_forecasting,fold_001
ema_12,0.0,0.0,3358,,keep,regression_forecasting,fold_001
ema_20,0.0,0.0,3358,,keep,regression_forecasting,fold_001
ema_50,0.0,0.0,3358,,keep,regression_forecasting,fold_001
close_to_sma_200,0.0,0.0,3357,,keep,regression_forecasting,fold_001
turnover,0.0,0.0,3240,,keep,regression_forecasting,fold_001
vroc_5,0.024121500893388922,0.006134969325153374,3104,,keep,regression_forecasting,fold_001
volume_std_5,0.0,0.0,3341,,keep,regression_forecasting,fold_001
volume_min_5,0.0,0.0,994,,keep,regression_forecasting,fold_001
volume_max_5,0.0,0.0,1138,,keep,regression_forecasting,fold_001
turnover_ma_5,0.0,0.0,3353,,keep,regression_forecasting,fold_001
turnover_ratio_5,0.0,0.0,3270,,keep,regression_forecasting,fold_001
vroc_20,0.023525908278737344,0.015337423312883436,3115,,keep,regression_forecasting,fold_001
volume_std_20,0.0,0.0,3347,,keep,regression_forecasting,fold_001
volume_min_20,0.0,0.0,352,,keep,regression_forecasting,fold_001
