feature_name,mutual_information,model_importance,permutation_importance,combined_score,selected_top_k,task_name,fold_id,train_start,train_end,validation_start,validation_end
m_ret,0.054768253082071894,0.0007907127437031379,0.0,0.4066860465116279,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
m_ret_5d,0.03374649763569426,0.0008020018453637449,0.0,0.3212209302325581,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
m_ret_20d,0.07693663520536731,0.017670664339870388,0.0,0.6997093023255813,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
rel_to_market,0.012406625321214726,0.00013294595309313304,0.0,0.2133720930232558,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
s_ret,0.0014656871217129108,0.0006392420966697888,0.0,0.23168604651162789,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
sector_dispersion,0.008829766127095517,0.0019560530698063306,0.0,0.3313953488372093,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
sector_member_count,0.14071489562215378,0.00034130494054212244,0.0,0.4962209302325581,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
s_ret_5d,0.02723620785437486,0.00010657622370501091,0.0,0.24389534883720926,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
rel_to_sector,0.017811574686724896,0.0018054338267663663,0.0,0.3497093023255814,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
advancers,0.03142764304588397,0.0006062069093331391,0.0,0.29273255813953486,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
decliners,0.03890958156092328,0.00024650956667128044,0.0,0.2968023255813953,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
unchanged,0.04541800951226982,0.001466177030385886,0.0,0.4026162790697674,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
net_advancers,0.050076677256544855,0.0011994918729334313,0.0,0.41889534883720925,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
advance_decline_ratio,0.03565370569886461,0.0,0.0,0.24694767441860463,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
market_breadth,0.024312517273077816,0.0,0.0,0.22252906976744186,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
breadth_member_count,0.1172576213798644,0.008202139249368662,0.0003792442960661335,0.8549418604651162,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
advancing_share,0.03082385683162414,7.637991834314389e-05,0.0,0.24389534883720926,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
declining_share,0.042009762987459176,0.0,0.0,0.2672965116279069,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
pct_above_ma20,0.07873542116297472,0.16556150334031872,2.785843564420687e-05,0.8616279069767442,1.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
pct_above_ma50,0.059799352845193,0.012084397893997777,0.0,0.6447674418604651,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
new_highs_252,0.04966152809498148,0.009334845871873481,0.0,0.5979651162790697,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
new_lows_252,0.06748489774759037,0.001200092378561987,0.0,0.46162790697674416,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
new_high_low_spread,0.0573509972996602,0.001201866358100144,0.0,0.443313953488372,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
up_volume,0.04585956284173687,0.0023496068549151935,0.0,0.4473837209302325,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
down_volume,0.03665554040626784,0.0002252357423368764,0.0,0.28255813953488373,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
up_down_volume_ratio,0.049934345696375004,0.0007558217023346003,0.0,0.3863372093023255,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
log_return,0.059835539278656036,0.000543005752018312,0.0,0.4026162790697674,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
range_5,0.10106045526527119,0.0032969170766857622,0.0,0.6142441860465115,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
range_20,0.18229848232271983,0.0176317395449318,0.0,0.7892441860465116,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
roc_60,0.08657420791498893,0.004722238499487323,0.0,0.6366279069767441,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
momentum_5,0.02365724750099396,0.0009530105870019491,0.0,0.3090116279069767,0.0,regression_forecasting,fold_001,2021-03-12,2023-04-06,2023-04-11,2023-08-14
